Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 713
Start Time: 1/25/2023 2:29:49.72 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
0,0.00,16.980
1,0.02,16.971
2,0.04,16.953
3,0.06,16.949
4,0.08,16.976
5,0.10,16.952
6,0.12,16.957
7,0.14,16.937
8,0.16,16.897
9,0.18,16.898
10,0.20,16.944
11,0.22,16.971
12,0.24,16.955
13,0.26,16.957
14,0.28,16.973
15,0.30,16.976
16,0.32,16.973
17,0.34,16.943
18,0.36,16.934
19,0.38,16.940
20,0.40,16.949
21,0.42,16.946
22,0.44,16.928
23,0.46,16.923
24,0.48,16.942
25,0.50,16.933
26,0.52,16.927
27,0.54,16.944
28,0.56,16.922
29,0.58,16.910
30,0.60,16.905
31,0.62,16.909
32,0.64,16.913
33,0.66,16.913
34,0.68,16.813
35,0.70,16.887
36,0.72,16.865
37,0.74,16.822
38,0.76,16.699
39,0.78,16.905
40,0.80,16.853
41,0.82,16.752
42,0.84,16.821
43,0.86,16.836
44,0.88,16.815
45,0.90,16.841
46,0.92,16.872
47,0.94,16.914
48,0.96,16.927
49,0.98,16.903
50,1.00,16.917
51,1.02,16.913
52,1.04,16.883
53,1.06,16.885
54,1.08,16.880
55,1.10,16.832
56,1.12,16.830
57,1.14,16.845
58,1.16,16.855
59,1.18,16.870
60,1.20,16.877
61,1.22,16.854
62,1.24,16.855
63,1.26,16.861
64,1.28,16.864
65,1.30,16.832
66,1.32,16.787
67,1.34,16.789
68,1.36,16.907
69,1.38,16.854
70,1.40,16.923
71,1.42,16.889
72,1.44,16.858
73,1.46,16.856
74,1.48,16.861
75,1.50,16.881
76,1.52,16.920
77,1.54,16.919
78,1.56,16.899
79,1.58,16.895
80,1.60,16.886
81,1.62,16.859
82,1.64,16.830
83,1.66,16.805
84,1.68,16.786
85,1.70,16.794
86,1.72,16.781
87,1.74,16.837
88,1.76,16.856
89,1.78,16.862
90,1.80,16.855
91,1.82,16.857
92,1.84,16.874
93,1.86,16.874
94,1.88,16.858
95,1.90,16.857
96,1.92,16.859
97,1.94,16.859
98,1.96,16.858
99,1.98,16.823
100,2.00,16.877
101,2.02,16.898
102,2.04,16.888
103,2.06,16.859
104,2.08,16.845
105,2.10,16.849
106,2.12,16.858
107,2.14,16.846
108,2.16,16.856
109,2.18,16.871
110,2.20,16.867
111,2.22,16.873
112,2.24,16.879
113,2.26,16.882
114,2.28,16.885
115,2.30,16.883
116,2.32,16.891
117,2.34,16.896
118,2.36,16.897
119,2.38,16.899
120,2.40,16.882
121,2.42,16.871
122,2.44,16.863
123,2.46,16.865
124,2.48,16.860
125,2.50,16.880
126,2.52,16.896
127,2.54,16.850
128,2.56,16.855
129,2.58,16.845
130,2.60,16.839
131,2.62,16.844
132,2.64,16.844
133,2.66,16.837
134,2.68,16.842
135,2.70,16.838
136,2.72,16.843
137,2.74,16.835
138,2.76,16.827
139,2.78,16.816
140,2.80,16.819
141,2.82,16.809
142,2.84,16.799
143,2.86,16.809
144,2.88,16.791
145,2.90,16.797
146,2.92,16.788
147,2.94,16.778
148,2.96,16.781
149,2.98,16.772
150,3.00,16.769
151,3.02,16.769
152,3.04,16.762
153,3.06,16.712
154,3.08,16.748
155,3.10,16.762
156,3.12,16.763
157,3.14,16.735
158,3.16,16.746
159,3.18,16.763
160,3.20,16.784
161,3.22,16.784
162,3.24,16.776
163,3.26,16.783
164,3.28,16.775
165,3.30,16.777
166,3.32,16.763
167,3.34,16.774
168,3.36,16.770
169,3.38,16.761
170,3.40,16.760
171,3.42,16.764
172,3.44,16.766
173,3.46,16.762
174,3.48,16.761
175,3.50,16.757
176,3.52,16.738
177,3.54,16.740
178,3.56,16.737
179,3.58,16.748
180,3.60,16.743
181,3.62,16.738
182,3.64,16.729
183,3.66,16.725
184,3.68,16.723
185,3.70,16.719
186,3.72,16.711
187,3.74,16.715
188,3.76,16.713
189,3.78,16.710
190,3.80,16.713
191,3.82,16.696
