"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1300"
"Start Time: 1/25/2023 2:43:08.66 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","21.384"
"1","0.02","21.379"
"2","0.04","21.388"
"3","0.06","21.390"
"4","0.08","21.389"
"5","0.10","21.391"
"6","0.12","21.398"
"7","0.14","21.397"
"8","0.16","21.392"
"9","0.18","21.393"
"10","0.20","21.385"
"11","0.22","21.378"
"12","0.24","21.375"
"13","0.26","21.373"
"14","0.28","21.375"
"15","0.30","21.363"
"16","0.32","21.374"
"17","0.34","21.373"
"18","0.36","21.377"
"19","0.38","21.377"
"20","0.40","21.386"
"21","0.42","21.391"
"22","0.44","21.393"
"23","0.46","21.389"
"24","0.48","21.387"
"25","0.50","21.384"
"26","0.52","21.383"
"27","0.54","21.381"
"28","0.56","21.372"
"29","0.58","21.369"
"30","0.60","21.361"
"31","0.62","21.367"
"32","0.64","21.372"
"33","0.66","21.368"
"34","0.68","21.367"
"35","0.70","21.375"
"36","0.72","21.384"
"37","0.74","21.390"
"38","0.76","21.393"
"39","0.78","21.393"
"40","0.80","21.390"
"41","0.82","21.380"
"42","0.84","21.381"
"43","0.86","21.379"
"44","0.88","21.376"
"45","0.90","21.374"
"46","0.92","21.365"
"47","0.94","21.363"
"48","0.96","21.368"
"49","0.98","21.359"
"50","1.00","21.365"
"51","1.02","21.365"
"52","1.04","21.379"
"53","1.06","21.386"
"54","1.08","21.387"
"55","1.10","21.388"
"56","1.12","21.393"
"57","1.14","21.393"
"58","1.16","21.386"
"59","1.18","21.377"
"60","1.20","21.377"
"61","1.22","21.368"
"62","1.24","21.362"
"63","1.26","21.364"
"64","1.28","21.359"
"65","1.30","21.371"
"66","1.32","21.371"
"67","1.34","21.369"
"68","1.36","21.372"
"69","1.38","21.375"
"70","1.40","21.382"
"71","1.42","21.388"
"72","1.44","21.384"
"73","1.46","21.388"
"74","1.48","21.383"
"75","1.50","21.385"
"76","1.52","21.376"
"77","1.54","21.374"
"78","1.56","21.375"
"79","1.58","21.366"
"80","1.60","21.357"
"81","1.62","21.360"
"82","1.64","21.356"
"83","1.66","21.364"
"84","1.68","21.362"
"85","1.70","21.376"
"86","1.72","21.384"
"87","1.74","21.381"
"88","1.76","21.389"
"89","1.78","21.389"
"90","1.80","21.383"
"91","1.82","21.382"
"92","1.84","21.374"
"93","1.86","21.372"
"94","1.88","21.367"
"95","1.90","21.366"
"96","1.92","21.363"
"97","1.94","21.349"
"98","1.96","21.359"
"99","1.98","21.366"
"100","2.00","21.364"
"101","2.02","21.368"
"102","2.04","21.370"
"103","2.06","21.381"
"104","2.08","21.376"
"105","2.10","21.385"
"106","2.12","21.385"
"107","2.14","21.376"
"108","2.16","21.377"
"109","2.18","21.376"
"110","2.20","21.364"
"111","2.22","21.362"
"112","2.24","21.366"
"113","2.26","21.358"
"114","2.28","21.351"
"115","2.30","21.356"
"116","2.32","21.362"
"117","2.34","21.362"
"118","2.36","21.371"
"119","2.38","21.372"
"120","2.40","21.380"
"121","2.42","21.386"
"122","2.44","21.383"
"123","2.46","21.384"
"124","2.48","21.382"
"125","2.50","21.377"
"126","2.52","21.374"
"127","2.54","21.359"
"128","2.56","21.355"
"129","2.58","21.353"
"130","2.60","21.353"
"131","2.62","21.350"
"132","2.64","21.363"
"133","2.66","21.354"
"134","2.68","21.371"
"135","2.70","21.377"
"136","2.72","21.374"
"137","2.74","21.377"
"138","2.76","21.381"
"139","2.78","21.381"
"140","2.80","21.383"
"141","2.82","21.379"
"142","2.84","21.375"
"143","2.86","21.369"
"144","2.88","21.369"
"145","2.90","21.359"
"146","2.92","21.355"
"147","2.94","21.352"
"148","2.96","21.352"
"149","2.98","21.355"
"150","3.00","21.359"
"151","3.02","21.368"
"152","3.04","21.370"
"153","3.06","21.375"
"154","3.08","21.379"
"155","3.10","21.386"
"156","3.12","21.369"
"157","3.14","21.381"
"158","3.16","21.374"
"159","3.18","21.372"
"160","3.20","21.365"
"161","3.22","21.359"
"162","3.24","21.354"
"163","3.26","21.355"
"164","3.28","21.352"
"165","3.30","21.351"
"166","3.32","21.360"
"167","3.34","21.361"
"168","3.36","21.372"
"169","3.38","21.366"
"170","3.40","21.375"
"171","3.42","21.375"
"172","3.44","21.378"
"173","3.46","21.380"
"174","3.48","21.371"
"175","3.50","21.376"
"176","3.52","21.372"
"177","3.54","21.360"
"178","3.56","21.359"
"179","3.58","21.364"
"180","3.60","21.355"
"181","3.62","21.357"
"182","3.64","21.360"
"183","3.66","21.372"
"184","3.68","21.368"
"185","3.70","21.374"
"186","3.72","21.383"
"187","3.74","21.380"
"188","3.76","21.384"
"189","3.78","21.382"
"190","3.80","21.376"
"191","3.82","21.385"
"192","3.84","21.373"
"193","3.86","21.365"
