"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1293"
"Start Time: 1/25/2023 2:50:59.95 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","106.238"
"1","0.02","106.235"
"2","0.04","106.229"
"3","0.06","106.212"
"4","0.08","106.223"
"5","0.10","106.256"
"6","0.12","106.265"
"7","0.14","106.284"
"8","0.16","106.278"
"9","0.18","106.276"
"10","0.20","106.306"
"11","0.22","106.327"
"12","0.24","106.342"
"13","0.26","106.352"
"14","0.28","106.342"
"15","0.30","106.339"
"16","0.32","106.333"
"17","0.34","106.342"
"18","0.36","106.348"
"19","0.38","106.341"
"20","0.40","106.337"
"21","0.42","106.344"
"22","0.44","106.327"
"23","0.46","106.326"
"24","0.48","106.334"
"25","0.50","106.331"
"26","0.52","106.313"
"27","0.54","106.292"
"28","0.56","106.293"
"29","0.58","106.281"
"30","0.60","106.272"
"31","0.62","106.260"
"32","0.64","106.271"
"33","0.66","106.289"
"34","0.68","106.262"
"35","0.70","106.250"
"36","0.72","106.248"
"37","0.74","106.262"
"38","0.76","106.271"
"39","0.78","106.261"
"40","0.80","106.240"
"41","0.82","106.250"
"42","0.84","106.271"
"43","0.86","106.282"
"44","0.88","106.261"
"45","0.90","106.248"
"46","0.92","106.231"
"47","0.94","106.230"
"48","0.96","106.245"
"49","0.98","106.241"
"50","1.00","106.228"
"51","1.02","106.226"
"52","1.04","106.215"
"53","1.06","106.219"
"54","1.08","106.221"
"55","1.10","106.224"
"56","1.12","106.233"
"57","1.14","106.229"
"58","1.16","106.245"
"59","1.18","106.256"
"60","1.20","106.249"
"61","1.22","106.251"
"62","1.24","106.261"
"63","1.26","106.264"
"64","1.28","106.286"
"65","1.30","106.295"
"66","1.32","106.316"
"67","1.34","106.317"
"68","1.36","106.319"
"69","1.38","106.334"
"70","1.40","106.345"
"71","1.42","106.350"
"72","1.44","106.363"
"73","1.46","106.369"
"74","1.48","106.380"
"75","1.50","106.388"
"76","1.52","106.403"
"77","1.54","106.418"
"78","1.56","106.406"
"79","1.58","106.417"
"80","1.60","106.421"
"81","1.62","106.433"
"82","1.64","106.441"
"83","1.66","106.443"
"84","1.68","106.424"
"85","1.70","106.428"
"86","1.72","106.430"
"87","1.74","106.443"
"88","1.76","106.426"
"89","1.78","106.420"
"90","1.80","106.425"
"91","1.82","106.439"
"92","1.84","106.438"
"93","1.86","106.422"
"94","1.88","106.412"
"95","1.90","106.398"
"96","1.92","106.399"
"97","1.94","106.416"
"98","1.96","106.428"
"99","1.98","106.422"
"100","2.00","106.402"
"101","2.02","106.404"
"102","2.04","106.413"
"103","2.06","106.428"
"104","2.08","106.425"
"105","2.10","106.389"
"106","2.12","106.379"
"107","2.14","106.413"
"108","2.16","106.442"
"109","2.18","106.459"
"110","2.20","106.475"
"111","2.22","106.479"
"112","2.24","106.506"
"113","2.26","106.498"
"114","2.28","106.501"
"115","2.30","106.501"
"116","2.32","106.490"
"117","2.34","106.478"
"118","2.36","106.482"
"119","2.38","106.455"
"120","2.40","106.437"
"121","2.42","106.431"
"122","2.44","106.411"
"123","2.46","106.397"
"124","2.48","106.377"
"125","2.50","106.357"
"126","2.52","106.365"
"127","2.54","106.369"
"128","2.56","106.356"
