Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1330
Start Time: 1/25/2023 2:51:54.39 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
0,0.00,106.394
1,0.02,106.385
2,0.04,106.398
3,0.06,106.408
4,0.08,106.402
5,0.10,106.404
6,0.12,106.407
7,0.14,106.425
8,0.16,106.430
9,0.18,106.423
10,0.20,106.426
11,0.22,106.431
12,0.24,106.432
13,0.26,106.429
14,0.28,106.437
15,0.30,106.443
16,0.32,106.439
17,0.34,106.451
18,0.36,106.453
19,0.38,106.458
20,0.40,106.471
21,0.42,106.466
22,0.44,106.449
23,0.46,106.467
24,0.48,106.470
25,0.50,106.463
26,0.52,106.458
27,0.54,106.467
28,0.56,106.465
29,0.58,106.469
30,0.60,106.463
31,0.62,106.464
32,0.64,106.467
33,0.66,106.477
34,0.68,106.475
35,0.70,106.475
36,0.72,106.468
37,0.74,106.473
38,0.76,106.467
39,0.78,106.473
40,0.80,106.462
41,0.82,106.460
42,0.84,106.457
43,0.86,106.463
44,0.88,106.463
45,0.90,106.452
46,0.92,106.461
47,0.94,106.456
48,0.96,106.458
49,0.98,106.459
50,1.00,106.461
51,1.02,106.467
52,1.04,106.479
53,1.06,106.479
54,1.08,106.467
55,1.10,106.471
56,1.12,106.475
57,1.14,106.482
58,1.16,106.471
59,1.18,106.483
60,1.20,106.485
61,1.22,106.494
62,1.24,106.495
63,1.26,106.495
64,1.28,106.487
65,1.30,106.485
66,1.32,106.488
67,1.34,106.495
68,1.36,106.499
69,1.38,106.495
70,1.40,106.495
71,1.42,106.505
72,1.44,106.531
73,1.46,106.523
74,1.48,106.513
75,1.50,106.513
76,1.52,106.501
77,1.54,106.501
78,1.56,106.491
79,1.58,106.470
80,1.60,106.458
81,1.62,106.456
82,1.64,106.452
83,1.66,106.461
84,1.68,106.444
85,1.70,106.425
86,1.72,106.406
87,1.74,106.410
88,1.76,106.418
89,1.78,106.424
90,1.80,106.421
91,1.82,106.426
92,1.84,106.420
93,1.86,106.431
94,1.88,106.440
95,1.90,106.457
96,1.92,106.481
97,1.94,106.471
98,1.96,106.475
99,1.98,106.483
100,2.00,106.492
101,2.02,106.488
102,2.04,106.471
103,2.06,106.458
104,2.08,106.454
105,2.10,106.428
106,2.12,106.426
107,2.14,106.418
108,2.16,106.409
109,2.18,106.408
110,2.20,106.395
111,2.22,106.383
112,2.24,106.365
113,2.26,106.377
114,2.28,106.396
115,2.30,106.396
116,2.32,106.398
117,2.34,106.401
118,2.36,106.406
119,2.38,106.408
120,2.40,106.410
121,2.42,106.414
122,2.44,106.426
123,2.46,106.428
124,2.48,106.431
125,2.50,106.410
126,2.52,106.422
