Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 201
Start Time: 1/25/2023 2:26:53.0 PM
Scan Rate: 10
Sample,Time (s),CH1 (°C)
0,0.0,17.096
1,0.1,17.136
2,0.2,17.134
3,0.3,17.128
4,0.4,17.111
5,0.5,17.111
6,0.6,17.092
7,0.7,17.074
8,0.8,17.069
9,0.9,17.092
10,1.0,17.080
11,1.1,17.083
12,1.2,17.061
13,1.3,17.029
14,1.4,17.038
15,1.5,17.030
16,1.6,17.038
17,1.7,17.002
18,1.8,16.992
19,1.9,16.984
20,2.0,16.966
21,2.1,16.958
22,2.2,16.955
23,2.3,16.967
24,2.4,16.933
25,2.5,16.927
26,2.6,16.918
27,2.7,16.911
28,2.8,16.885
29,2.9,16.878
30,3.0,16.871
31,3.1,16.858
32,3.2,16.845
33,3.3,16.837
34,3.4,16.829
35,3.5,16.823
36,3.6,16.816
37,3.7,16.797
38,3.8,16.796
39,3.9,16.793
40,4.0,16.780
41,4.1,16.781
42,4.2,16.787
43,4.3,16.781
44,4.4,16.773
45,4.5,16.772
46,4.6,16.765
47,4.7,16.771
48,4.8,16.776
49,4.9,16.760
50,5.0,16.760
51,5.1,16.752
52,5.2,16.754
53,5.3,16.756
54,5.4,16.759
55,5.5,16.755
56,5.6,16.746
57,5.7,16.750
58,5.8,16.747
59,5.9,16.749
60,6.0,16.749
61,6.1,16.747
62,6.2,16.763
63,6.3,16.755
64,6.4,16.746
65,6.5,16.743
66,6.6,16.750
67,6.7,16.737
68,6.8,16.748
69,6.9,16.741
70,7.0,16.744
71,7.1,16.755
72,7.2,16.754
73,7.3,16.743
74,7.4,16.750
75,7.5,16.749
76,7.6,16.738
77,7.7,16.787
78,7.8,16.760
79,7.9,16.784
80,8.0,16.776
81,8.1,16.784
82,8.2,16.781
83,8.3,16.786
84,8.4,16.802
85,8.5,16.788
86,8.6,16.791
87,8.7,16.803
88,8.8,16.788
89,8.9,16.758
90,9.0,6.752
91,9.1,1.442
92,9.2,0.488
93,9.3,0.225
94,9.4,0.089
95,9.5,0.043
96,9.6,-0.010
97,9.7,-0.033
98,9.8,-0.037
99,9.9,-0.047
100,10.0,0.008
101,10.1,-0.006
102,10.2,-0.009
103,10.3,-0.016
104,10.4,-0.015
105,10.5,-0.020
106,10.6,-0.023
107,10.7,-0.027
108,10.8,-0.038
109,10.9,-0.045
110,11.0,-0.042
111,11.1,-0.046
112,11.2,-0.038
113,11.3,-0.047
114,11.4,-0.053
115,11.5,-0.056
116,11.6,-0.044
117,11.7,-0.055
118,11.8,-0.066
119,11.9,-0.055
120,12.0,-0.073
121,12.1,-0.063
122,12.2,-0.063
123,12.3,-0.070
124,12.4,-0.057
125,12.5,-0.072
126,12.6,-0.065
127,12.7,-0.057
128,12.8,-0.056
129,12.9,-0.072
130,13.0,-0.071
131,13.1,-0.076
132,13.2,-0.059
133,13.3,-0.082
134,13.4,-0.056
135,13.5,-0.068
136,13.6,-0.074
137,13.7,-0.071
138,13.8,-0.048
139,13.9,-0.075
140,14.0,-0.054
141,14.1,-0.084
142,14.2,-0.054
143,14.3,-0.078
144,14.4,-0.082
145,14.5,-0.077
146,14.6,-0.066
147,14.7,-0.073
148,14.8,-0.083
149,14.9,-0.089
150,15.0,-0.038
151,15.1,-0.092
152,15.2,-0.078
153,15.3,-0.082
154,15.4,-0.092
155,15.5,-0.089
156,15.6,-0.088
157,15.7,-0.074
158,15.8,-0.091
159,15.9,-0.077
160,16.0,-0.083
161,16.1,-0.089
162,16.2,-0.088
163,16.3,-0.086
164,16.4,-0.092
165,16.5,-0.089
166,16.6,-0.095
167,16.7,-0.090
168,16.8,-0.087
169,16.9,-0.090
170,17.0,-0.084
171,17.1,-0.084
172,17.2,-0.094
173,17.3,-0.102
174,17.4,-0.092
175,17.5,-0.081
176,17.6,-0.089
177,17.7,-0.091
178,17.8,-0.085
179,17.9,-0.086
180,18.0,-0.081
181,18.1,-0.091
182,18.2,-0.095
183,18.3,-0.089
184,18.4,-0.077
185,18.5,-0.086
186,18.6,-0.074
187,18.7,-0.086
188,18.8,-0.084
189,18.9,-0.092
190,19.0,-0.088
191,19.1,-0.086
192,19.2,-0.094
193,19.3,-0.097
194,19.4,-0.091
195,19.5,-0.089
196,19.6,-0.090
197,19.7,-0.087
198,19.8,-0.083
199,19.9,-0.086
200,20.0,-0.092
