"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1311"
"Start Time: 1/25/2023 2:41:12.23 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","21.327"
"1","0.02","21.312"
"2","0.04","21.302"
"3","0.06","21.303"
"4","0.08","21.299"
"5","0.10","21.304"
"6","0.12","21.296"
"7","0.14","21.301"
"8","0.16","21.307"
"9","0.18","21.308"
"10","0.20","21.320"
"11","0.22","21.316"
"12","0.24","21.324"
"13","0.26","21.321"
"14","0.28","21.322"
"15","0.30","21.330"
"16","0.32","21.315"
"17","0.34","21.317"
"18","0.36","21.315"
"19","0.38","21.302"
"20","0.40","21.295"
"21","0.42","21.299"
"22","0.44","21.292"
"23","0.46","21.296"
"24","0.48","21.295"
"25","0.50","21.302"
"26","0.52","21.312"
"27","0.54","21.309"
"28","0.56","21.322"
"29","0.58","21.321"
"30","0.60","21.332"
"31","0.62","21.324"
"32","0.64","21.320"
"33","0.66","21.318"
"34","0.68","21.315"
"35","0.70","21.301"
"36","0.72","21.307"
"37","0.74","21.310"
"38","0.76","21.305"
"39","0.78","21.300"
"40","0.80","21.297"
"41","0.82","21.302"
"42","0.84","21.304"
"43","0.86","21.317"
"44","0.88","21.317"
"45","0.90","21.316"
"46","0.92","21.323"
"47","0.94","21.324"
"48","0.96","21.319"
"49","0.98","21.326"
"50","1.00","21.319"
"51","1.02","21.320"
"52","1.04","21.314"
"53","1.06","21.303"
"54","1.08","21.301"
"55","1.10","21.301"
"56","1.12","21.301"
"57","1.14","21.300"
"58","1.16","21.300"
"59","1.18","21.317"
"60","1.20","21.317"
"61","1.22","21.323"
"62","1.24","21.321"
"63","1.26","21.319"
"64","1.28","21.328"
"65","1.30","21.330"
"66","1.32","21.320"
"67","1.34","21.322"
"68","1.36","21.307"
"69","1.38","21.307"
"70","1.40","21.294"
"71","1.42","21.292"
"72","1.44","21.290"
"73","1.46","21.294"
"74","1.48","21.295"
"75","1.50","21.304"
"76","1.52","21.302"
"77","1.54","21.313"
"78","1.56","21.324"
"79","1.58","21.320"
"80","1.60","21.323"
"81","1.62","21.317"
"82","1.64","21.313"
"83","1.66","21.309"
"84","1.68","21.305"
"85","1.70","21.297"
"86","1.72","21.291"
"87","1.74","21.287"
"88","1.76","21.292"
"89","1.78","21.282"
"90","1.80","21.285"
"91","1.82","21.290"
"92","1.84","21.298"
"93","1.86","21.296"
"94","1.88","21.298"
"95","1.90","21.316"
"96","1.92","21.314"
"97","1.94","21.312"
"98","1.96","21.306"
"99","1.98","21.305"
"100","2.00","21.311"
"101","2.02","21.300"
"102","2.04","21.298"
"103","2.06","21.293"
"104","2.08","21.282"
"105","2.10","21.282"
"106","2.12","21.280"
"107","2.14","21.280"
"108","2.16","21.280"
"109","2.18","21.288"
"110","2.20","21.295"
"111","2.22","21.298"
"112","2.24","21.295"
"113","2.26","21.313"
"114","2.28","21.301"
"115","2.30","21.303"
"116","2.32","21.297"
"117","2.34","21.290"
"118","2.36","21.282"
"119","2.38","21.282"
"120","2.40","21.274"
"121","2.42","21.271"
"122","2.44","21.264"
"123","2.46","21.269"
"124","2.48","21.272"
"125","2.50","21.270"
"126","2.52","21.280"
"127","2.54","21.289"
"128","2.56","21.295"
"129","2.58","21.297"
"130","2.60","21.303"
"131","2.62","21.297"
"132","2.64","21.299"
"133","2.66","21.293"
"134","2.68","21.294"
"135","2.70","21.288"
"136","2.72","21.280"
"137","2.74","21.277"
"138","2.76","21.276"
"139","2.78","21.276"
"140","2.80","21.278"
"141","2.82","21.282"
"142","2.84","21.281"
"143","2.86","21.288"
