Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 514
Start Time: 1/18/2023 2:55:29.3 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,20.313,20.379
1,0.1,20.322,20.386
2,0.2,20.315,20.385
3,0.3,20.314,20.381
4,0.4,20.313,20.377
5,0.5,20.319,20.387
6,0.6,20.312,20.386
7,0.7,20.320,20.384
8,0.8,20.319,20.392
9,0.9,20.303,20.390
10,1.0,20.313,20.387
11,1.1,20.304,20.388
12,1.2,20.310,20.379
13,1.3,20.304,20.398
14,1.4,20.312,20.385
15,1.5,20.316,20.399
16,1.6,20.313,20.393
17,1.7,20.321,20.390
18,1.8,20.312,20.403
19,1.9,20.317,20.404
20,2.0,20.320,20.404
21,2.1,20.315,20.419
22,2.2,20.313,20.405
23,2.3,20.311,20.414
24,2.4,20.317,20.422
25,2.5,20.315,20.426
26,2.6,20.308,20.425
27,2.7,20.313,20.432
28,2.8,20.313,20.437
29,2.9,20.319,20.443
30,3.0,20.320,20.445
31,3.1,20.314,20.443
32,3.2,20.308,20.448
33,3.3,20.318,20.459
34,3.4,20.316,20.450
35,3.5,20.318,20.451
36,3.6,20.321,20.465
37,3.7,20.315,20.469
38,3.8,20.305,20.457
39,3.9,20.311,20.469
40,4.0,20.310,20.476
41,4.1,20.308,20.474
42,4.2,20.316,20.483
43,4.3,20.296,20.474
44,4.4,20.304,20.473
45,4.5,20.308,20.479
46,4.6,20.300,20.477
47,4.7,20.312,20.490
48,4.8,20.302,20.494
49,4.9,20.306,20.484
50,5.0,20.308,20.502
51,5.1,20.304,20.492
52,5.2,20.304,20.488
53,5.3,20.308,20.495
54,5.4,20.308,20.490
55,5.5,20.300,20.485
56,5.6,20.307,20.487
57,5.7,20.300,20.488
58,5.8,20.291,20.482
59,5.9,20.298,20.490
60,6.0,20.306,20.482
61,6.1,20.300,20.489
62,6.2,20.295,20.494
63,6.3,20.301,20.496
64,6.4,20.303,20.502
65,6.5,20.296,20.508
66,6.6,20.297,20.501
67,6.7,20.291,20.505
68,6.8,20.299,20.514
69,6.9,20.298,20.510
70,7.0,20.289,20.507
71,7.1,20.296,20.506
72,7.2,20.301,20.504
73,7.3,20.288,20.488
74,7.4,20.299,20.503
75,7.5,20.290,20.491
76,7.6,20.289,20.487
77,7.7,20.297,20.486
78,7.8,20.295,20.476
79,7.9,20.294,20.475
80,8.0,20.295,20.472
81,8.1,20.288,20.473
82,8.2,20.289,20.472
83,8.3,20.294,20.480
84,8.4,20.292,20.463
85,8.5,20.289,20.475
86,8.6,20.297,20.472
87,8.7,20.291,20.476
88,8.8,20.291,20.476
89,8.9,20.289,20.469
90,9.0,20.286,20.470
91,9.1,20.284,20.478
92,9.2,20.296,20.479
93,9.3,20.285,20.477
94,9.4,20.291,20.472
95,9.5,20.293,20.476
96,9.6,20.284,20.472
97,9.7,20.291,20.483
98,9.8,20.291,20.481
99,9.9,20.281,20.473
100,10.0,20.284,20.471
101,10.1,20.288,20.474
102,10.2,20.283,20.488
103,10.3,20.281,20.488
104,10.4,20.284,20.492
105,10.5,20.292,20.500
106,10.6,20.287,20.510
107,10.7,20.291,20.499
108,10.8,20.276,20.497
109,10.9,20.287,20.508
110,11.0,20.284,20.514
111,11.1,20.300,20.519
112,11.2,20.290,20.522
113,11.3,20.289,20.525
114,11.4,20.279,20.525
115,11.5,20.281,20.531
116,11.6,20.280,20.532
117,11.7,20.269,20.528
118,11.8,20.284,20.535
119,11.9,20.277,20.537
120,12.0,20.276,20.534
121,12.1,20.282,20.543
122,12.2,20.276,20.545
123,12.3,20.280,20.544
124,12.4,20.282,20.557
125,12.5,20.275,20.551
126,12.6,20.282,20.561
127,12.7,20.284,20.567
128,12.8,20.274,20.567
129,12.9,20.278,20.569
130,13.0,20.279,20.567
131,13.1,20.275,20.564
132,13.2,20.278,20.571
133,13.3,20.275,20.570
134,13.4,20.278,20.567
135,13.5,20.269,20.568
136,13.6,20.271,20.559
137,13.7,20.272,20.557
138,13.8,20.275,20.561
139,13.9,20.273,20.554
140,14.0,20.279,20.561
141,14.1,20.273,20.554
142,14.2,20.282,20.553
143,14.3,20.276,20.563
144,14.4,20.281,20.566
145,14.5,20.272,20.559
146,14.6,20.266,20.556
147,14.7,20.275,20.564
148,14.8,20.280,20.557
149,14.9,20.268,20.558
150,15.0,20.278,20.568
151,15.1,20.269,20.564
152,15.2,20.277,20.566
153,15.3,20.273,20.561
154,15.4,20.265,20.552
155,15.5,20.268,20.563
156,15.6,20.270,20.547
157,15.7,20.269,20.553
158,15.8,20.266,20.546
159,15.9,20.270,20.554
160,16.0,20.275,20.541
161,16.1,20.274,20.544
162,16.2,20.270,20.542
163,16.3,20.268,20.542
164,16.4,20.273,20.526
165,16.5,20.271,20.530
166,16.6,20.267,20.522
167,16.7,20.270,20.526
168,16.8,20.270,20.527
169,16.9,20.271,20.514
170,17.0,20.263,20.515
171,17.1,20.272,20.514
172,17.2,20.266,20.507
173,17.3,20.270,20.501
174,17.4,20.272,20.496
175,17.5,20.259,20.484
176,17.6,20.267,20.493
177,17.7,20.268,20.471
178,17.8,20.264,20.474
179,17.9,20.261,20.474
180,18.0,20.258,20.473
181,18.1,20.264,20.468
182,18.2,20.268,20.457
183,18.3,20.264,20.453
184,18.4,20.264,20.447
185,18.5,20.265,20.461
186,18.6,20.263,20.437
187,18.7,20.257,20.427
188,18.8,20.264,20.436
189,18.9,20.261,20.420
190,19.0,20.261,20.421
191,19.1,20.263,20.415
192,19.2,20.251,20.408
193,19.3,20.264,20.410
194,19.4,20.265,20.406
195,19.5,20.262,20.399
196,19.6,20.256,20.393
197,19.7,20.258,20.398
198,19.8,20.259,20.384
199,19.9,20.249,20.383
200,20.0,20.259,20.386
201,20.1,20.260,20.380
202,20.2,20.258,20.379
203,20.3,20.256,20.385
204,20.4,20.249,20.379
205,20.5,20.254,20.386
206,20.6,20.256,20.389
207,20.7,20.251,20.392
208,20.8,20.254,20.391
209,20.9,20.250,20.396
210,21.0,20.251,20.395
211,21.1,20.253,20.400
212,21.2,20.255,20.395
213,21.3,20.250,20.385
214,21.4,20.248,20.390
215,21.5,20.250,20.392
216,21.6,20.250,20.387
217,21.7,20.250,20.397
218,21.8,20.245,20.393
219,21.9,20.239,20.388
220,22.0,20.249,20.398
221,22.1,20.245,20.390
222,22.2,20.242,20.394
223,22.3,20.245,20.397
224,22.4,20.254,20.399
225,22.5,20.242,20.383
226,22.6,20.248,20.385
227,22.7,20.248,20.380
228,22.8,20.237,20.380
229,22.9,20.250,20.376
230,23.0,20.240,20.368
231,23.1,20.245,20.371
232,23.2,20.240,20.362
233,23.3,20.240,20.362
234,23.4,20.236,20.360
235,23.5,20.237,20.358
236,23.6,20.236,20.356
237,23.7,20.235,20.339
238,23.8,20.235,20.345
239,23.9,20.245,20.336
240,24.0,20.231,20.335
241,24.1,20.244,20.333
242,24.2,20.228,20.324
243,24.3,20.235,20.312
244,24.4,20.232,20.319
245,24.5,20.231,20.305
246,24.6,20.233,20.312
247,24.7,20.238,20.304
248,24.8,20.234,20.290
249,24.9,20.232,20.284
250,25.0,20.231,20.280
251,25.1,20.233,20.273
252,25.2,20.223,20.261
253,25.3,20.235,20.263
254,25.4,20.231,20.260
255,25.5,20.228,20.253
256,25.6,20.224,20.249
257,25.7,20.225,20.236
258,25.8,20.224,20.233
259,25.9,20.224,20.236
260,26.0,20.226,20.220
261,26.1,20.221,20.206
262,26.2,20.216,20.206
263,26.3,20.223,20.199
264,26.4,20.224,20.204
265,26.5,20.224,20.179
266,26.6,20.221,20.177
267,26.7,20.230,20.179
268,26.8,20.222,20.186
269,26.9,20.220,20.175
270,27.0,20.219,20.186
271,27.1,20.218,20.197
272,27.2,20.222,20.183
273,27.3,20.226,20.199
274,27.4,20.219,20.199
275,27.5,20.221,20.201
276,27.6,20.222,20.199
277,27.7,20.219,20.194
278,27.8,20.218,20.202
279,27.9,20.228,20.202
280,28.0,20.218,20.191
281,28.1,20.218,20.190
282,28.2,20.221,20.191
283,28.3,20.212,20.183
284,28.4,20.205,20.187
285,28.5,20.213,20.197
286,28.6,20.211,20.199
287,28.7,20.217,20.202
288,28.8,20.218,20.204
289,28.9,20.206,20.210
290,29.0,20.227,20.220
291,29.1,20.222,20.221
292,29.2,20.201,20.199
293,29.3,20.210,20.201
294,29.4,20.214,20.214
295,29.5,20.215,20.214
296,29.6,20.206,20.208
297,29.7,20.211,20.209
298,29.8,20.217,20.199
299,29.9,20.229,20.209
300,30.0,20.212,20.202
301,30.1,20.216,20.210
302,30.2,20.211,20.210
303,30.3,20.215,20.208
304,30.4,20.214,20.210
305,30.5,20.212,20.222
306,30.6,20.210,20.226
307,30.7,20.206,20.215
308,30.8,20.208,20.219
309,30.9,20.204,20.228
310,31.0,20.202,20.228
311,31.1,20.202,20.228
312,31.2,20.201,20.235
313,31.3,20.199,20.236
314,31.4,20.202,20.242
315,31.5,20.200,20.249
316,31.6,20.205,20.245
317,31.7,20.209,20.250
318,31.8,20.204,20.251
319,31.9,20.215,20.251
320,32.0,20.209,20.260
321,32.1,20.194,20.258
322,32.2,20.200,20.271
323,32.3,20.208,20.269
324,32.4,20.202,20.270
325,32.5,20.198,20.272
326,32.6,20.199,20.280
327,32.7,20.200,20.278
328,32.8,20.205,20.289
329,32.9,20.201,20.287
330,33.0,20.205,20.289
331,33.1,20.202,20.291
332,33.2,20.199,20.294
333,33.3,20.196,20.299
