Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 511
Start Time: 1/18/2023 3:02:38.0 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,100.186,100.283
1,0.1,100.285,99.980
2,0.2,100.301,100.462
3,0.3,100.268,100.444
4,0.4,100.280,100.222
5,0.5,100.457,100.163
6,0.6,100.332,100.291
7,0.7,100.223,100.338
8,0.8,100.316,100.152
9,0.9,100.396,100.105
10,1.0,100.313,100.227
11,1.1,100.244,100.285
12,1.2,100.282,100.080
13,1.3,100.243,100.145
14,1.4,100.116,100.269
15,1.5,100.228,100.236
16,1.6,100.349,100.176
17,1.7,100.231,100.259
18,1.8,100.124,100.235
19,1.9,100.199,100.088
20,2.0,100.227,100.150
21,2.1,100.200,100.291
22,2.2,100.221,100.271
23,2.3,100.376,100.023
24,2.4,100.260,100.195
25,2.5,100.152,100.319
26,2.6,100.272,100.169
27,2.7,100.342,100.187
28,2.8,100.263,100.335
29,2.9,100.233,100.479
30,3.0,100.309,100.266
31,3.1,100.285,100.320
32,3.2,100.155,100.396
33,3.3,100.263,100.317
34,3.4,100.412,100.231
35,3.5,100.314,100.190
36,3.6,100.225,100.303
37,3.7,100.317,100.354
38,3.8,100.371,100.155
39,3.9,100.355,100.561
40,4.0,100.345,100.540
41,4.1,100.482,100.225
42,4.2,100.337,100.205
43,4.3,100.238,100.512
44,4.4,100.346,100.401
45,4.5,100.456,100.188
46,4.6,100.341,100.248
47,4.7,100.271,100.482
48,4.8,100.293,100.162
49,4.9,100.314,100.155
50,5.0,100.229,100.498
51,5.1,100.322,100.083
52,5.2,100.501,100.131
53,5.3,100.395,100.083
54,5.4,100.269,100.445
55,5.5,100.376,100.358
56,5.6,100.408,100.339
57,5.7,100.373,100.663
58,5.8,100.338,100.535
59,5.9,100.492,100.253
60,6.0,100.405,100.341
61,6.1,100.288,100.569
62,6.2,100.378,100.493
63,6.3,100.489,100.415
64,6.4,100.405,100.569
65,6.5,100.360,100.563
66,6.6,100.446,100.270
67,6.7,100.457,100.398
68,6.8,100.285,100.730
69,6.9,100.367,100.602
70,7.0,100.492,100.424
71,7.1,100.359,100.427
72,7.2,100.252,100.706
73,7.3,100.322,100.523
74,7.4,100.358,100.371
75,7.5,100.310,100.547
76,7.6,100.252,100.592
77,7.7,100.444,100.244
78,7.8,100.320,100.313
79,7.9,100.246,100.587
80,8.0,100.371,100.510
81,8.1,100.509,100.362
82,8.2,100.407,100.468
83,8.3,100.301,100.622
84,8.4,100.386,100.281
85,8.5,100.405,100.356
86,8.6,100.309,100.568
87,8.7,100.427,100.580
88,8.8,100.548,100.348
89,8.9,100.498,100.405
90,9.0,100.506,100.439
91,9.1,100.538,100.522
92,9.2,100.581,100.351
93,9.3,100.486,100.607
94,9.4,100.399,100.722
95,9.5,100.398,100.248
96,9.6,100.360,100.308
97,9.7,100.189,100.546
98,9.8,100.258,100.354
99,9.9,100.335,100.208
100,10.0,100.259,100.232
101,10.1,100.136,100.456
102,10.2,100.202,100.221
103,10.3,100.245,100.227
104,10.4,100.164,100.519
105,10.5,100.175,100.537
106,10.6,100.327,100.254
107,10.7,100.194,100.239
108,10.8,100.102,100.533
109,10.9,100.143,100.359
110,11.0,100.259,100.194
111,11.1,100.171,100.161
112,11.2,100.118,100.289
113,11.3,100.237,100.164
114,11.4,100.238,100.115
115,11.5,100.071,100.257
116,11.6,100.134,100.145
117,11.7,100.261,100.032
118,11.8,100.223,100.172
119,11.9,100.125,100.048
120,12.0,100.211,100.101
121,12.1,100.308,99.996
122,12.2,100.228,100.261
123,12.3,100.138,100.331
124,12.4,100.243,100.113
125,12.5,100.216,100.186
126,12.6,100.165,100.392
127,12.7,100.187,100.337
128,12.8,100.318,100.133
129,12.9,100.189,100.242
130,13.0,100.087,100.220
131,13.1,100.197,100.253
132,13.2,100.257,100.115
133,13.3,100.207,100.308
134,13.4,100.216,100.303
135,13.5,100.347,100.235
136,13.6,100.276,100.073
137,13.7,100.182,100.333
138,13.8,100.316,100.014
139,13.9,100.444,100.158
140,14.0,100.292,100.287
141,14.1,100.206,100.304
142,14.2,100.322,100.057
143,14.3,100.348,100.137
144,14.4,100.299,100.453
145,14.5,100.308,100.442
146,14.6,100.482,100.172
147,14.7,100.342,100.240
148,14.8,100.239,100.319
149,14.9,100.374,100.238
150,15.0,100.433,100.174
151,15.1,100.349,100.335
152,15.2,100.264,100.371
153,15.3,100.348,100.135
154,15.4,100.336,100.294
155,15.5,100.277,100.547
156,15.6,100.318,100.325
157,15.7,100.458,100.315
158,15.8,100.291,100.372
159,15.9,100.190,100.402
160,16.0,100.301,100.182
161,16.1,100.326,100.165
162,16.2,100.289,100.480
163,16.3,100.276,100.523
164,16.4,100.471,100.200
165,16.5,100.371,100.237
166,16.6,100.265,100.359
167,16.7,100.376,100.246
168,16.8,100.470,100.106
169,16.9,100.408,100.240
170,17.0,100.356,100.451
171,17.1,100.470,100.065
172,17.2,100.464,100.079
173,17.3,100.398,100.427
174,17.4,100.416,100.508
175,17.5,100.569,100.324
176,17.6,100.454,100.318
177,17.7,100.334,100.446
178,17.8,100.437,100.142
179,17.9,100.467,100.114
180,18.0,100.430,100.519
181,18.1,100.389,100.406
182,18.2,100.504,100.187
183,18.3,100.429,100.244
184,18.4,100.296,100.424
185,18.5,100.386,100.292
186,18.6,100.491,100.272
187,18.7,100.395,100.300
188,18.8,100.318,100.341
189,18.9,100.405,100.089
190,19.0,100.438,100.010
191,19.1,100.365,100.342
192,19.2,100.339,100.103
193,19.3,100.492,100.104
194,19.4,100.386,100.169
195,19.5,100.292,100.366
196,19.6,100.408,100.228
197,19.7,100.473,100.238
198,19.8,100.399,100.493
199,19.9,100.370,100.426
200,20.0,100.579,100.143
201,20.1,100.534,100.239
202,20.2,100.382,100.424
203,20.3,100.499,100.203
204,20.4,100.638,100.199
205,20.5,100.536,100.358
206,20.6,100.476,100.229
207,20.7,100.554,100.196
208,20.8,100.635,100.337
209,20.9,100.514,100.413
210,21.0,100.524,100.413
211,21.1,100.673,100.116
212,21.2,100.501,100.363
213,21.3,100.400,100.534
214,21.4,100.507,100.412
215,21.5,100.560,100.240
216,21.6,100.511,100.401
217,21.7,100.455,100.410
218,21.8,100.543,100.132
219,21.9,100.508,100.447
220,22.0,100.354,100.505
221,22.1,100.415,100.408
222,22.2,100.592,100.361
223,22.3,100.462,100.399
224,22.4,100.359,100.484
225,22.5,100.500,100.167
226,22.6,100.524,100.246
227,22.7,100.456,100.489
228,22.8,100.400,100.391
229,22.9,100.521,100.069
230,23.0,100.448,100.257
231,23.1,100.336,100.531
232,23.2,100.476,100.411
233,23.3,100.601,100.128
234,23.4,100.474,100.328
235,23.5,100.351,100.364
236,23.6,100.467,100.212
237,23.7,100.507,100.403
238,23.8,100.454,100.386
239,23.9,100.483,100.341
240,24.0,100.629,100.109
241,24.1,100.496,100.315
242,24.2,100.342,100.582
243,24.3,100.495,100.507
244,24.4,100.600,100.356
245,24.5,100.547,100.407
246,24.6,100.492,100.348
247,24.7,100.591,100.359
248,24.8,100.537,100.352
249,24.9,100.385,100.402
250,25.0,100.561,100.289
251,25.1,100.646,100.242
252,25.2,100.477,100.410
253,25.3,100.359,100.511
254,25.4,100.540,100.100
255,25.5,100.565,100.197
256,25.6,100.496,100.424
257,25.7,100.435,100.353
258,25.8,100.551,100.257
259,25.9,100.330,100.126
260,26.0,100.228,100.321
261,26.1,100.373,100.227
262,26.2,100.507,100.257
263,26.3,100.409,100.348
264,26.4,100.366,100.362
265,26.5,100.440,100.105
266,26.6,100.467,100.254
267,26.7,100.335,100.317
268,26.8,100.466,100.245
269,26.9,100.592,100.185
270,27.0,100.444,100.304
271,27.1,100.312,100.404
272,27.2,100.446,100.285
273,27.3,100.543,100.295
274,27.4,100.467,100.475
275,27.5,100.489,100.289
276,27.6,100.616,100.351
277,27.7,100.397,100.241
278,27.8,100.389,100.570
279,27.9,100.518,100.425
280,28.0,100.647,100.328
281,28.1,100.547,100.440
282,28.2,100.404,100.619
283,28.3,100.470,100.331
284,28.4,100.499,100.438
285,28.5,100.442,100.573
286,28.6,100.522,100.529
287,28.7,100.707,100.399
288,28.8,100.528,100.451
289,28.9,100.394,100.605
290,29.0,100.507,100.470
291,29.1,100.551,100.279
292,29.2,100.492,100.640
293,29.3,100.429,100.535
294,29.4,100.524,100.279
295,29.5,100.493,100.453
296,29.6,100.367,100.559
297,29.7,100.489,100.482
298,29.8,100.618,100.465
299,29.9,100.483,100.494
300,30.0,100.391,100.636
301,30.1,100.559,100.093
302,30.2,100.669,100.189
303,30.3,100.597,100.517
304,30.4,100.536,100.584
305,30.5,100.686,100.385
306,30.6,100.583,100.426
307,30.7,100.461,100.610
308,30.8,100.579,100.357
309,30.9,100.708,100.301
310,31.0,100.584,100.372
311,31.1,100.500,100.466
312,31.2,100.600,100.238
313,31.3,100.642,100.324
314,31.4,100.544,100.514
315,31.5,100.642,100.372
316,31.6,100.737,100.309
317,31.7,100.559,100.297
318,31.8,100.412,100.454
319,31.9,100.530,100.339
320,32.0,100.569,100.302
321,32.1,100.487,100.443
322,32.2,100.466,100.441
323,32.3,100.606,100.332
324,32.4,100.523,100.266
325,32.5,100.375,100.577
326,32.6,100.486,100.481
327,32.7,100.601,100.331
328,32.8,100.515,100.433
329,32.9,100.434,100.469
330,33.0,100.531,100.195
331,33.1,100.576,100.237
332,33.2,100.513,100.433
333,33.3,100.540,100.396
334,33.4,100.671,100.334
335,33.5,100.499,100.316
336,33.6,100.400,100.379
337,33.7,100.536,100.140
338,33.8,100.573,100.206
339,33.9,100.460,100.649
340,34.0,100.395,100.499
341,34.1,100.534,100.209
342,34.2,100.549,100.352
343,34.3,100.463,100.417
344,34.4,100.637,100.307
345,34.5,100.757,100.314
346,34.6,100.581,100.377
347,34.7,100.416,100.435
348,34.8,100.533,100.317
349,34.9,100.549,100.312
350,35.0,100.501,100.473
351,35.1,100.471,100.385
352,35.2,100.636,100.216
353,35.3,100.508,100.311
354,35.4,100.397,100.484
355,35.5,100.506,100.426
356,35.6,100.625,100.277
357,35.7,100.539,100.422
358,35.8,100.468,100.481
359,35.9,100.530,99.991
360,36.0,100.574,100.299
361,36.1,100.516,100.469
362,36.2,100.586,100.468
363,36.3,100.740,100.305
364,36.4,100.626,100.398
365,36.5,100.488,100.558
366,36.6,100.623,100.346
367,36.7,100.695,100.152
368,36.8,100.577,100.431
369,36.9,100.469,100.296
370,37.0,100.630,100.197
371,37.1,100.494,100.250
372,37.2,100.396,100.361
373,37.3,100.501,100.210
374,37.4,100.611,100.256
375,37.5,100.474,100.406
376,37.6,100.370,100.457
377,37.7,100.423,100.249
378,37.8,100.411,100.183
379,37.9,100.316,100.382
380,38.0,100.317,100.168
381,38.1,100.444,100.125
382,38.2,100.310,100.251
383,38.3,100.227,100.408
384,38.4,100.366,100.227
385,38.5,100.409,100.005
386,38.6,100.369,100.236
387,38.7,100.282,100.334
388,38.8,100.376,100.057
389,38.9,100.342,100.319
390,39.0,100.226,100.427
391,39.1,100.327,100.281
392,39.2,100.428,100.125
393,39.3,100.332,100.186
394,39.4,100.208,100.335
395,39.5,100.288,100.230
396,39.6,100.299,100.277
397,39.7,100.274,100.256
398,39.8,100.267,100.287
399,39.9,100.393,100.028
400,40.0,100.274,100.120
401,40.1,100.163,100.374
402,40.2,100.287,100.306
403,40.3,100.375,100.115
404,40.4,100.336,100.270
405,40.5,100.269,100.240
406,40.6,100.352,99.981
407,40.7,100.328,100.209
408,40.8,100.206,100.285
409,40.9,100.312,100.165
410,41.0,100.406,100.163
411,41.1,100.286,100.189
412,41.2,100.185,100.290
413,41.3,100.285,100.015
414,41.4,100.315,100.069
415,41.5,100.267,100.274
416,41.6,100.242,100.217
417,41.7,100.340,100.232
418,41.8,100.248,100.098
419,41.9,100.123,100.364
420,42.0,100.237,100.331
421,42.1,100.342,100.356
422,42.2,100.274,100.418
