Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 513
Start Time: 1/18/2023 3:08:21.8 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,0.251,1.401
1,0.1,0.252,1.419
2,0.2,0.240,1.399
3,0.3,0.238,1.385
4,0.4,0.239,1.367
5,0.5,0.231,1.383
6,0.6,0.221,1.379
7,0.7,0.229,1.377
8,0.8,0.231,1.395
9,0.9,0.236,1.392
10,1.0,0.227,1.391
11,1.1,0.228,1.392
12,1.2,0.222,1.402
13,1.3,0.224,1.389
14,1.4,0.228,1.392
15,1.5,0.213,1.401
16,1.6,0.210,1.399
17,1.7,0.215,1.405
18,1.8,0.216,1.401
19,1.9,0.218,1.392
20,2.0,0.218,1.402
21,2.1,0.208,1.413
22,2.2,0.215,1.390
23,2.3,0.214,1.406
24,2.4,0.222,1.392
25,2.5,0.219,1.404
26,2.6,0.212,1.412
27,2.7,0.210,1.407
28,2.8,0.217,1.401
29,2.9,0.209,1.401
30,3.0,0.207,1.403
31,3.1,0.214,1.392
32,3.2,0.210,1.392
33,3.3,0.212,1.403
34,3.4,0.214,1.399
35,3.5,0.248,1.412
36,3.6,0.195,1.389
37,3.7,0.202,1.389
38,3.8,0.135,1.425
39,3.9,0.212,1.414
40,4.0,0.205,1.429
41,4.1,0.209,1.410
42,4.2,0.216,1.411
43,4.3,0.213,1.385
44,4.4,0.216,1.424
45,4.5,0.203,1.435
46,4.6,0.198,1.411
47,4.7,0.206,1.395
48,4.8,0.188,1.378
49,4.9,0.192,1.343
50,5.0,0.198,1.391
51,5.1,0.185,1.374
52,5.2,0.173,1.364
53,5.3,0.167,1.358
54,5.4,0.146,1.317
55,5.5,0.115,1.381
56,5.6,0.135,1.325
57,5.7,0.144,1.344
58,5.8,0.174,1.383
59,5.9,0.192,1.389
60,6.0,0.201,1.399
61,6.1,0.200,1.452
62,6.2,0.202,1.442
63,6.3,0.427,1.763
64,6.4,0.270,1.501
65,6.5,0.215,1.488
66,6.6,0.230,1.487
67,6.7,0.210,1.464
68,6.8,0.208,1.470
69,6.9,0.204,1.468
70,7.0,0.211,1.452
71,7.1,0.198,1.464
72,7.2,0.206,1.472
73,7.3,0.204,1.470
74,7.4,0.211,1.481
75,7.5,0.206,1.474
76,7.6,0.203,1.489
77,7.7,0.203,1.479
78,7.8,0.198,1.476
79,7.9,0.208,1.491
80,8.0,0.195,1.488
81,8.1,0.193,1.490
82,8.2,0.199,1.490
83,8.3,0.199,1.493
84,8.4,0.200,1.486
85,8.5,0.205,1.480
86,8.6,0.213,1.469
87,8.7,0.207,1.485
88,8.8,0.210,1.462
89,8.9,0.204,1.487
90,9.0,0.199,1.493
91,9.1,0.198,1.501
92,9.2,0.203,1.500
93,9.3,0.206,1.486
94,9.4,0.203,1.502
95,9.5,0.206,1.500
96,9.6,0.208,1.490
97,9.7,0.211,1.500
98,9.8,0.206,1.506
99,9.9,0.209,1.504
100,10.0,0.204,1.505
101,10.1,0.200,1.506
102,10.2,0.203,1.506
103,10.3,0.204,1.512
104,10.4,0.210,1.501
105,10.5,0.208,1.499
106,10.6,0.213,1.516
107,10.7,0.204,1.512
108,10.8,0.222,1.525
109,10.9,0.213,1.519
110,11.0,0.206,1.514
111,11.1,0.210,1.521
112,11.2,0.204,1.525
113,11.3,0.210,1.522
114,11.4,0.209,1.524
115,11.5,0.209,1.528
116,11.6,0.210,1.522
117,11.7,0.216,1.525
118,11.8,0.202,1.530
119,11.9,0.204,1.526
120,12.0,0.210,1.530
