Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 508
Start Time: 1/18/2023 3:25:03.8 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-212.751
1,0.1,-212.500
2,0.2,-212.770
3,0.3,-213.124
4,0.4,-212.621
5,0.5,-212.910
6,0.6,-212.817
7,0.7,-212.817
8,0.8,-212.584
9,0.9,-212.593
10,1.0,-212.537
11,1.1,-212.695
12,1.2,-212.723
13,1.3,-212.938
14,1.4,-212.509
15,1.5,-212.518
16,1.6,-212.481
17,1.7,-212.789
18,1.8,-212.854
19,1.9,-212.677
20,2.0,-212.779
21,2.1,-212.817
22,2.2,-212.938
23,2.3,-212.872
24,2.4,-212.910
25,2.5,-212.817
26,2.6,-212.882
27,2.7,-213.059
28,2.8,-212.966
29,2.9,-213.385
30,3.0,-213.226
31,3.1,-213.310
32,3.2,-213.142
33,3.3,-213.124
34,3.4,-213.189
35,3.5,-213.226
36,3.6,-213.245
37,3.7,-213.450
38,3.8,-213.291
39,3.9,-213.450
40,4.0,-213.590
41,4.1,-213.590
42,4.2,-213.608
43,4.3,-213.515
44,4.4,-213.832
45,4.5,-213.664
46,4.6,-213.776
47,4.7,-213.720
48,4.8,-213.562
49,4.9,-213.664
50,5.0,-213.981
51,5.1,-213.943
52,5.2,-214.046
53,5.3,-213.934
54,5.4,-214.120
55,5.5,-214.046
56,5.6,-213.683
57,5.7,-213.897
58,5.8,-214.279
59,5.9,-214.148
60,6.0,-214.037
61,6.1,-214.232
62,6.2,-214.055
63,6.3,-213.953
64,6.4,-213.878
65,6.5,-213.888
66,6.6,-214.158
67,6.7,-213.943
68,6.8,-214.223
69,6.9,-213.897
70,7.0,-213.906
71,7.1,-213.897
72,7.2,-213.860
73,7.3,-213.776
74,7.4,-214.111
75,7.5,-213.990
76,7.6,-214.176
77,7.7,-214.409
78,7.8,-214.251
79,7.9,-214.428
80,8.0,-213.915
81,8.1,-214.325
82,8.2,-213.990
83,8.3,-214.269
84,8.4,-214.288
85,8.5,-214.064
86,8.6,-214.120
87,8.7,-214.279
88,8.8,-214.046
89,8.9,-214.074
90,9.0,-214.381
91,9.1,-214.195
92,9.2,-214.418
93,9.3,-214.335
94,9.4,-214.493
95,9.5,-214.214
96,9.6,-214.335
97,9.7,-214.353
98,9.8,-214.223
99,9.9,-214.456
100,10.0,-214.167
101,10.1,-214.092
102,10.2,-214.167
103,10.3,-214.111
104,10.4,-214.307
105,10.5,-214.214
106,10.6,-214.558
107,10.7,-214.214
108,10.8,-214.446
109,10.9,-214.363
110,11.0,-214.418
111,11.1,-214.549
112,11.2,-214.456
113,11.3,-214.502
114,11.4,-214.456
115,11.5,-214.297
116,11.6,-214.241
117,11.7,-214.195
118,11.8,-214.223
119,11.9,-214.232
120,12.0,-214.512
121,12.1,-214.214
122,12.2,-214.195
123,12.3,-214.214
124,12.4,-214.344
125,12.5,-214.335
126,12.6,-214.707
127,12.7,-214.381
128,12.8,-214.344
129,12.9,-214.279
130,13.0,-214.363
131,13.1,-214.390
132,13.2,-214.428
133,13.3,-214.307
134,13.4,-214.446
135,13.5,-213.878
136,13.6,-214.083
137,13.7,-213.934
138,13.8,-214.074
139,13.9,-213.832
140,14.0,-213.943
141,14.1,-214.381
