Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 509
Start Time: 1/18/2023 3:39:44.4 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,3037.779
1,0.1,3036.410
2,0.2,3035.627
3,0.3,3038.580
4,0.4,3035.292
5,0.5,3033.960
6,0.6,3036.652
7,0.7,3039.204
8,0.8,3038.822
9,0.9,3031.492
10,1.0,3029.844
11,1.1,3036.465
12,1.2,3038.272
13,1.3,3032.880
14,1.4,3030.440
15,1.5,3034.705
16,1.6,3036.261
17,1.7,3034.491
18,1.8,3031.818
19,1.9,3035.171
20,2.0,3038.738
21,2.1,3035.609
22,2.2,3030.598
23,2.3,3035.078
24,2.4,3034.100
25,2.5,3028.996
26,2.6,3032.265
27,2.7,3036.354
28,2.8,3036.279
29,2.9,3033.411
30,3.0,3029.266
31,3.1,3032.042
32,3.2,3031.576
33,3.3,3029.043
34,3.4,3030.822
35,3.5,3037.294
36,3.6,3036.931
37,3.7,3030.337
38,3.8,3029.127
39,3.9,3032.964
40,4.0,3033.271
41,4.1,3030.095
42,4.2,3032.368
43,4.3,3035.720
44,4.4,3033.755
45,4.5,3028.829
46,4.6,3027.860
47,4.7,3031.529
48,4.8,3030.365
49,4.9,3027.795
50,5.0,3028.857
51,5.1,3030.840
52,5.2,3030.971
53,5.3,3027.935
54,5.4,3029.089
55,5.5,3032.899
56,5.6,3033.346
57,5.7,3027.925
58,5.8,3027.935
59,5.9,3033.094
60,6.0,3032.358
61,6.1,3026.482
62,6.2,3025.969
63,6.3,3030.309
64,6.4,3030.859
65,6.5,3025.830
66,6.6,3028.633
67,6.7,3032.312
68,6.8,3034.007
69,6.9,3024.517
70,7.0,3030.114
71,7.1,3034.901
72,7.2,3034.100
73,7.3,3028.791
74,7.4,3029.043
75,7.5,3038.114
76,7.6,3031.027
77,7.7,3025.718
78,7.8,3026.519
79,7.9,3030.077
80,8.0,3029.378
81,8.1,3027.031
82,8.2,3028.400
83,8.3,3031.669
84,8.4,3027.488
85,8.5,3022.999
86,8.6,3026.677
87,8.7,3032.079
88,8.8,3031.185
89,8.9,3024.787
90,9.0,3027.860
91,9.1,3034.202
92,9.2,3028.875
93,9.3,3020.922
94,9.4,3027.134
95,9.5,3030.803
96,9.6,3026.119
97,9.7,3021.993
98,9.8,3026.873
99,9.9,3028.056
100,10.0,3027.450
101,10.1,3025.848
102,10.2,3028.130
103,10.3,3030.850
104,10.4,3025.727
105,10.5,3023.595
106,10.6,3027.851
107,10.7,3031.017
108,10.8,3027.180
109,10.9,3026.854
110,11.0,3031.315
111,11.1,3031.204
112,11.2,3027.162
113,11.3,3026.491
114,11.4,3028.838
115,11.5,3030.943
116,11.6,3026.389
117,11.7,3023.194
118,11.8,3026.072
119,11.9,3030.337
120,12.0,3026.826
121,12.1,3023.427
122,12.2,3030.133
123,12.3,3029.834
124,12.4,3026.491
125,12.5,3023.678
126,12.6,3027.963
127,12.7,3027.357
128,12.8,3023.464
129,12.9,3021.946
130,13.0,3029.993
131,13.1,3033.103
132,13.2,3026.975
133,13.3,3024.209
134,13.4,3027.255
135,13.5,3031.809
136,13.6,3029.071
137,13.7,3024.358
138,13.8,3029.071
139,13.9,3029.788
140,14.0,3026.165
141,14.1,3022.617
142,14.2,3027.795
143,14.3,3026.910
144,14.4,3021.853
145,14.5,3026.715
146,14.6,3030.933
147,14.7,3027.618
148,14.8,3025.690
149,14.9,3026.025
150,15.0,3029.592
151,15.1,3028.037
152,15.2,3025.187
153,15.3,3025.979
154,15.4,3029.928
155,15.5,3028.847
156,15.6,3026.649
157,15.7,3023.343
158,15.8,3027.869
159,15.9,3026.677
160,16.0,3025.103
161,16.1,3025.327
162,16.2,3035.469
163,16.3,3033.690
164,16.4,3026.249
165,16.5,3027.339
166,16.6,3033.401
167,16.7,3033.606
168,16.8,3026.808
169,16.9,3028.726
170,17.0,3029.667
171,17.1,3027.497
172,17.2,3023.893
173,17.3,3025.066
174,17.4,3028.819
175,17.5,3028.298
176,17.6,3021.052
177,17.7,3022.524
178,17.8,3031.669
179,17.9,3031.101
180,18.0,3026.435
181,18.1,3030.179
182,18.2,3029.322
183,18.3,3028.493
184,18.4,3022.971
185,18.5,3023.855
186,18.6,3030.207
187,18.7,3029.713
188,18.8,3018.742
189,18.9,3023.921
190,19.0,3026.221
191,19.1,3024.219
192,19.2,3019.208
193,19.3,3020.242
194,19.4,3026.715
195,19.5,3025.252
196,19.6,3025.346
197,19.7,3026.444
198,19.8,3029.499
199,19.9,3025.662
200,20.0,3018.491
201,20.1,3023.129
202,20.2,3025.979
203,20.3,3027.264
204,20.4,3018.863
205,20.5,3023.995
206,20.6,3031.641
207,20.7,3026.566
208,20.8,3021.387
209,20.9,3024.479
210,21.0,3029.229
211,21.1,3024.060
212,21.2,3017.820
213,21.3,3022.859
214,21.4,3026.873
215,21.5,3027.953
216,21.6,3022.160
217,21.7,3025.094
218,21.8,3029.862
219,21.9,3026.472
220,22.0,3021.304
221,22.1,3022.123
222,22.2,3024.815
223,22.3,3024.321
224,22.4,3023.688
225,22.5,3032.628
226,22.6,3034.463
227,22.7,3029.145
228,22.8,3018.295
229,22.9,3025.914
230,23.0,3029.481
231,23.1,3025.094
232,23.2,3024.079
233,23.3,3031.315
234,23.4,3033.737
235,23.5,3027.683
236,23.6,3025.914
237,23.7,3026.854
238,23.8,3030.505
239,23.9,3029.434
240,24.0,3025.634
241,24.1,3027.245
242,24.2,3028.987
243,24.3,3024.004
244,24.4,3019.674
245,24.5,3024.917
246,24.6,3031.790
247,24.7,3026.379
248,24.8,3021.732
249,24.9,3026.957
250,25.0,3034.724
251,25.1,3024.181
252,25.2,3023.865
253,25.3,3023.949
254,25.4,3025.252
255,25.5,3022.254
256,25.6,3020.205
257,25.7,3023.222
258,25.8,3026.184
259,25.9,3024.125
260,26.0,3022.915
261,26.1,3026.268
262,26.2,3030.356
263,26.3,3023.315
264,26.4,3021.434
265,26.5,3020.074
266,26.6,3030.179
267,26.7,3033.476
268,26.8,3031.371
269,26.9,3029.956
270,27.0,3030.235
271,27.1,3024.116
272,27.2,3016.908
273,27.3,3019.534
274,27.4,3024.852
275,27.5,3029.509
276,27.6,3026.119
277,27.7,3025.709
278,27.8,3025.783
279,27.9,3024.125
280,28.0,3023.734
281,28.1,3028.791
282,28.2,3031.436
283,28.3,3030.440
284,28.4,3026.193
285,28.5,3028.838
286,28.6,3032.396
287,28.7,3022.030
288,28.8,3023.008
289,28.9,3028.028
290,29.0,3029.527
291,29.1,3025.997
292,29.2,3018.100
293,29.3,3022.933
294,29.4,3024.386
295,29.5,3022.486
296,29.6,3022.728
297,29.7,3026.500
298,29.8,3025.914
299,29.9,3023.865
300,30.0,3025.085
301,30.1,3024.954
302,30.2,3023.250
303,30.3,3023.688
304,30.4,3022.393
305,30.5,3025.141
306,30.6,3027.571
307,30.7,3020.279
308,30.8,3022.030
309,30.9,3028.950
310,31.0,3029.006
311,31.1,3020.307
312,31.2,3020.950
313,31.3,3027.990
314,31.4,3023.986
315,31.5,3018.100
316,31.6,3021.304
317,31.7,3035.106
318,31.8,3030.170
319,31.9,3018.938
320,32.0,3025.001
321,32.1,3030.030
322,32.2,3025.979
323,32.3,3021.248
324,32.4,3021.909
325,32.5,3030.906
326,32.6,3027.217
327,32.7,3014.794
328,32.8,3020.698
329,32.9,3029.527
330,33.0,3027.022
331,33.1,3018.798
332,33.2,3022.589
333,33.3,3030.309
334,33.4,3025.243
335,33.5,3019.702
336,33.6,3018.985
337,33.7,3025.178
338,33.8,3022.021
339,33.9,3019.329
340,34.0,3025.215
341,34.1,3029.536
342,34.2,3024.954
343,34.3,3016.256
344,34.4,3020.419
345,34.5,3028.922
346,34.6,3023.315
347,34.7,3019.199
348,34.8,3022.654
349,34.9,3035.050
350,35.0,3029.555
351,35.1,3018.482
352,35.2,3025.904
353,35.3,3036.149
354,35.4,3036.158
355,35.5,3025.196
356,35.6,3024.386
357,35.7,3033.066
358,35.8,3018.985
359,35.9,3016.936
360,36.0,3020.754
361,36.1,3029.658
362,36.2,3031.297
363,36.3,3023.930
364,36.4,3025.029
365,36.5,3030.906
366,36.6,3025.606
367,36.7,3018.780
368,36.8,3025.103
369,36.9,3033.699
370,37.0,3025.476
371,37.1,3023.827
372,37.2,3032.554
373,37.3,3034.081
374,37.4,3021.974
375,37.5,3027.292
376,37.6,3031.986
377,37.7,3030.179
378,37.8,3023.325
379,37.9,3022.030
380,38.0,3030.067
381,38.1,3037.388
382,38.2,3033.532
383,38.3,3029.471
384,38.4,3031.883
385,38.5,3032.237
386,38.6,3034.994
387,38.7,3029.732
388,38.8,3032.228
389,38.9,3034.240
390,39.0,3037.341
391,39.1,3036.996
392,39.2,3032.330
393,39.3,3032.750
394,39.4,3024.144
395,39.5,3028.512
396,39.6,3032.964
397,39.7,3035.329
398,39.8,3024.898
399,39.9,3029.862
400,40.0,3027.953
401,40.1,3027.543
402,40.2,3020.251
403,40.3,3027.217
404,40.4,3038.123
405,40.5,3031.269
406,40.6,3026.966
407,40.7,3025.820
408,40.8,3027.786
409,40.9,3031.548
410,41.0,3027.888
411,41.1,3027.022
412,41.2,3030.617
413,41.3,3035.739
414,41.4,3017.643
415,41.5,3017.606
416,41.6,3029.453
417,41.7,3036.465
418,41.8,3021.248
419,41.9,3022.151
420,42.0,3037.574
421,42.1,3030.766
422,42.2,3024.638
423,42.3,3025.467
424,42.4,3030.607
425,42.5,3031.138
426,42.6,3026.910
427,42.7,3024.675
428,42.8,3025.876
429,42.9,3023.278
430,43.0,3014.440
431,43.1,3027.031
432,43.2,3035.692
433,43.3,3036.875
434,43.4,3022.924
435,43.5,3024.973
436,43.6,3026.901
437,43.7,3024.209
438,43.8,3022.011
439,43.9,3020.288
440,44.0,3027.422
441,44.1,3025.057
442,44.2,3017.187
443,44.3,3023.269
444,44.4,3031.678
445,44.5,3030.580
446,44.6,3021.332
447,44.7,3025.383
448,44.8,3033.755
449,44.9,3029.229
450,45.0,3020.121
451,45.1,3024.777
452,45.2,3032.861
453,45.3,3025.988
454,45.4,3019.152
455,45.5,3019.199
456,45.6,3030.272
457,45.7,3025.299
458,45.8,3027.990
459,45.9,3028.763
460,46.0,3036.465
461,46.1,3033.048
462,46.2,3025.578
463,46.3,3022.105
464,46.4,3033.187
465,46.5,3029.471
466,46.6,3018.994
467,46.7,3026.323
468,46.8,3038.635
469,46.9,3026.612
470,47.0,3013.248
471,47.1,3019.916
472,47.2,3029.322
473,47.3,3029.015
474,47.4,3020.568
475,47.5,3026.137
476,47.6,3028.838
477,47.7,3021.052
478,47.8,3016.349
479,47.9,3026.482
480,48.0,3035.460
481,48.1,3028.633
482,48.2,3010.361
483,48.3,3023.800
484,48.4,3030.840
485,48.5,3023.576
486,48.6,3012.801
487,48.7,3018.379
488,48.8,3038.272
489,48.9,3031.073
490,49.0,3017.448
491,49.1,3022.877
492,49.2,3029.443
493,49.3,3027.925
494,49.4,3021.089
495,49.5,3024.293
496,49.6,3028.912
497,49.7,3028.838
498,49.8,3019.078
499,49.9,3023.110
500,50.0,3034.649
501,50.1,3020.465
502,50.2,3014.952
503,50.3,3020.996
504,50.4,3036.056
505,50.5,3026.025
506,50.6,3019.199
507,50.7,3018.714
508,50.8,3023.194
