Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 510
Start Time: 1/18/2023 3:35:08.1 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,3035.637
1,0.1,3034.091
2,0.2,3036.354
3,0.3,3035.357
4,0.4,3034.985
5,0.5,3035.432
6,0.6,3038.589
7,0.7,3036.866
8,0.8,3034.873
9,0.9,3033.467
10,1.0,3034.621
11,1.1,3032.200
12,1.2,3031.446
13,1.3,3031.753
14,1.4,3034.053
15,1.5,3032.601
16,1.6,3031.818
17,1.7,3031.073
18,1.8,3032.526
19,1.9,3030.533
20,2.0,3029.453
21,2.1,3030.179
22,2.2,3031.818
23,2.3,3030.607
24,2.4,3030.384
25,2.5,3031.539
26,2.6,3033.858
27,2.7,3033.094
28,2.8,3032.880
29,2.9,3034.016
30,3.0,3035.301
31,3.1,3033.383
32,3.2,3032.126
33,3.3,3032.526
34,3.4,3032.433
35,3.5,3029.993
36,3.6,3028.922
37,3.7,3029.425
38,3.8,3030.896
39,3.9,3029.257
40,4.0,3029.434
41,4.1,3030.933
42,4.2,3032.126
43,4.3,3030.421
44,4.4,3030.226
45,4.5,3031.911
46,4.6,3032.601
47,4.7,3029.946
48,4.8,3029.387
49,4.9,3031.250
50,5.0,3033.020
51,5.1,3031.157
52,5.2,3031.110
53,5.3,3032.936
54,5.4,3033.299
55,5.5,3031.204
56,5.6,3030.226
57,5.7,3030.021
58,5.8,3029.257
59,5.9,3026.621
60,6.0,3026.854
61,6.1,3029.602
62,6.2,3031.474
63,6.3,3029.462
64,6.4,3029.648
65,6.5,3031.772
66,6.6,3032.451
67,6.7,3029.937
68,6.8,3030.449
69,6.9,3032.899
70,7.0,3034.687
71,7.1,3033.131
72,7.2,3034.063
73,7.3,3036.056
74,7.4,3035.618
75,7.5,3032.396
76,7.6,3031.958
77,7.7,3033.085
78,7.8,3032.591
79,7.9,3030.486
80,8.0,3032.135
81,8.1,3034.845
82,8.2,3035.273
83,8.3,3032.526
84,8.4,3032.731
85,8.5,3034.566
86,8.6,3035.786
87,8.7,3032.684
88,8.8,3032.861
89,8.9,3034.575
90,9.0,3035.124
91,9.1,3031.436
92,9.2,3031.213
93,9.3,3032.675
94,9.4,3033.988
95,9.5,3030.105
96,9.6,3031.110
97,9.7,3034.743
98,9.8,3038.654
99,9.9,3031.818
100,10.0,3031.455
101,10.1,3033.569
102,10.2,3036.754
103,10.3,3030.859
104,10.4,3030.878
105,10.5,3033.681
106,10.6,3036.940
107,10.7,3030.822
108,10.8,3031.380
109,10.9,3034.780
110,11.0,3038.486
111,11.1,3032.163
112,11.2,3032.684
113,11.3,3035.385
114,11.4,3038.105
115,11.5,3031.446
116,11.6,3030.756
117,11.7,3033.495
118,11.8,3040.060
119,11.9,3032.451
120,12.0,3030.906
121,12.1,3035.618
122,12.2,3040.973
123,12.3,3031.539
124,12.4,3027.394
125,12.5,3034.854
126,12.6,3041.616
127,12.7,3033.476
128,12.8,3029.639
129,12.9,3036.354
130,13.0,3040.703
131,13.1,3031.818
132,13.2,3026.808
133,13.3,3035.869
134,13.4,3040.079
135,13.5,3033.364
136,13.6,3028.465
137,13.7,3037.062
138,13.8,3040.060
139,13.9,3032.833
140,14.0,3028.531
141,14.1,3037.462
142,14.2,3039.306
143,14.3,3033.727
144,14.4,3029.071
145,14.5,3036.400
146,14.6,3037.527
147,14.7,3033.057
148,14.8,3029.415
149,14.9,3037.248
150,15.0,3037.443
151,15.1,3032.787
152,15.2,3029.173
153,15.3,3036.018
154,15.4,3035.432
155,15.5,3030.980
156,15.6,3029.210
157,15.7,3035.683
158,15.8,3035.069
159,15.9,3032.601
160,16.0,3032.545
161,16.1,3038.459
162,16.2,3035.916
163,16.3,3031.231
164,16.4,3030.766
165,16.5,3035.879
166,16.6,3033.504
167,16.7,3030.896
168,16.8,3029.546
169,16.9,3034.491
170,17.0,3033.187
171,17.1,3030.663
172,17.2,3029.639
173,17.3,3034.752
174,17.4,3033.550
175,17.5,3032.098
176,17.6,3032.386
177,17.7,3037.686
178,17.8,3034.966
179,17.9,3032.526
180,18.0,3032.619
181,18.1,3036.791
182,18.2,3034.174
183,18.3,3032.032
184,18.4,3032.191
185,18.5,3035.627
186,18.6,3033.467
187,18.7,3031.204
188,18.8,3030.896
189,18.9,3034.286
190,19.0,3031.185
191,19.1,3029.974
192,19.2,3031.362
193,19.3,3034.789
194,19.4,3033.169
195,19.5,3031.455
196,19.6,3032.060
197,19.7,3034.379
198,19.8,3031.753
199,19.9,3031.371
200,20.0,3032.601
201,20.1,3035.516
202,20.2,3032.768
203,20.3,3031.604
204,20.4,3032.079
205,20.5,3033.690
206,20.6,3031.166
207,20.7,3029.872
208,20.8,3029.844
209,20.9,3032.908
210,21.0,3030.933
211,21.1,3030.179
212,21.2,3030.915
213,21.3,3032.824
214,21.4,3030.449
215,21.5,3029.704
216,21.6,3031.297
217,21.7,3033.523
218,21.8,3031.250
219,21.9,3029.946
220,22.0,3031.362
221,22.1,3032.591
222,22.2,3030.729
223,22.3,3031.399
224,22.4,3033.457
225,22.5,3034.361
226,22.6,3031.762
227,22.7,3031.213
228,22.8,3033.169
229,22.9,3034.174
230,23.0,3033.085
231,23.1,3033.476
232,23.2,3035.050
233,23.3,3035.050
234,23.4,3032.042
235,23.5,3031.138
236,23.6,3032.014
237,23.7,3032.377
238,23.8,3031.092
239,23.9,3031.986
240,24.0,3034.063
241,24.1,3034.268
242,24.2,3031.045
243,24.3,3031.055
244,24.4,3032.302
245,24.5,3033.299
246,24.6,3031.492
