Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 509
Start Time: 1/18/2023 3:29:11.2 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-976.073
1,0.1,-977.088
2,0.2,-977.917
3,0.3,-979.481
4,0.4,-980.664
5,0.5,-981.325
6,0.6,-982.201
7,0.7,-982.834
8,0.8,-983.598
9,0.9,-983.356
10,1.0,-983.896
11,1.1,-983.849
12,1.2,-983.821
13,1.3,-984.259
14,1.4,-984.585
15,1.5,-985.023
16,1.6,-984.762
17,1.7,-984.985
18,1.8,-985.740
19,1.9,-985.898
20,2.0,-986.410
21,2.1,-986.513
22,2.2,-987.034
23,2.3,-987.174
24,2.4,-986.932
25,2.5,-987.742
26,2.6,-987.183
27,2.7,-987.537
28,2.8,-987.472
29,2.9,-987.053
30,3.0,-987.491
31,3.1,-986.895
32,3.2,-987.640
33,3.3,-987.817
34,3.4,-988.003
35,3.5,-988.385
36,3.6,-988.040
37,3.7,-988.822
38,3.8,-988.478
39,3.9,-988.543
40,4.0,-988.720
41,4.1,-988.357
42,4.2,-988.860
43,4.3,-988.478
44,4.4,-988.636
45,4.5,-988.636
46,4.6,-988.562
47,4.7,-989.158
48,4.8,-989.176
49,4.9,-988.999
50,5.0,-989.027
51,5.1,-989.242
52,5.2,-989.493
53,5.3,-989.111
54,5.4,-989.605
55,5.5,-989.791
56,5.6,-989.391
57,5.7,-989.847
58,5.8,-989.782
59,5.9,-990.136
60,6.0,-989.856
61,6.1,-990.033
62,6.2,-990.173
63,6.3,-990.182
64,6.4,-990.285
65,6.5,-990.424
66,6.6,-990.368
67,6.7,-990.573
68,6.8,-990.052
69,6.9,-990.489
70,7.0,-990.042
71,7.1,-990.601
72,7.2,-990.620
73,7.3,-990.257
74,7.4,-990.573
75,7.5,-990.108
76,7.6,-990.117
77,7.7,-990.499
78,7.8,-990.313
79,7.9,-990.583
80,8.0,-990.126
81,8.1,-990.825
82,8.2,-990.340
83,8.3,-990.331
84,8.4,-990.508
85,8.5,-990.387
86,8.6,-991.104
87,8.7,-990.685
88,8.8,-991.030
89,8.9,-991.421
90,9.0,-991.030
91,9.1,-992.063
92,9.2,-991.812
93,9.3,-992.268
94,9.4,-992.306
95,9.5,-992.222
96,9.6,-992.483
97,9.7,-992.334
98,9.8,-992.855
99,9.9,-992.352
100,10.0,-992.734
101,10.1,-993.153
102,10.2,-993.060
103,10.3,-993.405
104,10.4,-993.619
105,10.5,-993.731
106,10.6,-994.159
107,10.7,-993.693
108,10.8,-994.485
109,10.9,-993.945
110,11.0,-994.215
111,11.1,-994.382
112,11.2,-994.075
113,11.3,-994.541
114,11.4,-994.140
115,11.5,-994.550
116,11.6,-994.680
117,11.7,-994.373
118,11.8,-994.746
119,11.9,-994.252
120,12.0,-994.438
121,12.1,-994.494
122,12.2,-994.587
123,12.3,-994.932
124,12.4,-994.541
125,12.5,-994.625
126,12.6,-994.699
127,12.7,-994.820
128,12.8,-994.941
129,12.9,-994.839
130,13.0,-995.304
131,13.1,-995.137
132,13.2,-995.239
133,13.3,-995.602
134,13.4,-995.267
135,13.5,-995.789
136,13.6,-995.919
137,13.7,-995.994
138,13.8,-996.115
139,13.9,-995.900
140,14.0,-996.524
141,14.1,-995.835
142,14.2,-996.199
143,14.3,-996.189
144,14.4,-996.450
145,14.5,-996.636
146,14.6,-995.873
147,14.7,-996.441
148,14.8,-996.385
149,14.9,-996.180
150,15.0,-996.264
151,15.1,-996.301
152,15.2,-996.515
153,15.3,-996.180
154,15.4,-996.515
155,15.5,-996.226
156,15.6,-996.077
157,15.7,-996.226
158,15.8,-996.124
159,15.9,-996.012
160,16.0,-996.031
161,16.1,-996.022
162,16.2,-996.701
163,16.3,-995.984
164,16.4,-996.497
165,16.5,-996.152
166,16.6,-996.375
167,16.7,-996.422
168,16.8,-996.022
169,16.9,-996.497
170,17.0,-996.115
171,17.1,-996.338
172,17.2,-996.217
173,17.3,-996.357
174,17.4,-996.646
175,17.5,-996.329
176,17.6,-996.273
177,17.7,-996.543
178,17.8,-996.161
179,17.9,-996.822
180,18.0,-996.860
181,18.1,-996.934
182,18.2,-996.906
183,18.3,-996.888
184,18.4,-996.804
185,18.5,-996.618
186,18.6,-996.757
187,18.7,-996.776
188,18.8,-996.804
189,18.9,-997.130
190,19.0,-997.325
191,19.1,-997.018
192,19.2,-997.139
193,19.3,-997.121
194,19.4,-997.102
195,19.5,-996.999
196,19.6,-997.614
197,19.7,-996.990
198,19.8,-997.167
199,19.9,-997.530
200,20.0,-997.167
201,20.1,-997.782
202,20.2,-997.381
203,20.3,-997.474
204,20.4,-997.297
205,20.5,-997.121
206,20.6,-997.940
207,20.7,-997.102
208,20.8,-997.698
209,20.9,-997.707
210,21.0,-997.633
211,21.1,-997.763
212,21.2,-997.372
213,21.3,-997.689
214,21.4,-997.316
215,21.5,-997.642
216,21.6,-997.940
217,21.7,-997.679
218,21.8,-997.866
219,21.9,-997.875
220,22.0,-998.098
221,22.1,-998.285
222,22.2,-997.670
223,22.3,-997.996
224,22.4,-997.921
225,22.5,-997.959
226,22.6,-998.303
227,22.7,-997.931
228,22.8,-998.164
229,22.9,-998.406
230,23.0,-998.462
231,23.1,-998.406
232,23.2,-998.480
233,23.3,-999.058
234,23.4,-998.257
235,23.5,-998.797
236,23.6,-998.303
237,23.7,-998.592
238,23.8,-998.462
239,23.9,-998.331
240,24.0,-998.555
241,24.1,-998.229
242,24.2,-998.303
243,24.3,-998.611
244,24.4,-998.108
245,24.5,-998.555
246,24.6,-998.331
247,24.7,-998.462
248,24.8,-998.490
249,24.9,-998.229
250,25.0,-998.825
251,25.1,-998.154
252,25.2,-998.517
253,25.3,-998.396
254,25.4,-998.247
255,25.5,-999.067
256,25.6,-998.778
257,25.7,-998.769
258,25.8,-998.806
259,25.9,-998.834
