Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 506
Start Time: 1/18/2023 3:43:48.1 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-1056.902
1,0.1,-1056.902
2,0.2,-1056.707
3,0.3,-1056.781
4,0.4,-1056.688
5,0.5,-1056.911
6,0.6,-1056.585
7,0.7,-1056.772
8,0.8,-1056.828
9,0.9,-1056.734
10,1.0,-1056.846
11,1.1,-1056.846
12,1.2,-1056.902
13,1.3,-1056.325
14,1.4,-1056.241
15,1.5,-1056.613
16,1.6,-1056.846
17,1.7,-1056.353
18,1.8,-1056.679
19,1.9,-1056.585
20,2.0,-1056.585
21,2.1,-1056.585
22,2.2,-1056.707
23,2.3,-1056.511
24,2.4,-1056.297
25,2.5,-1056.129
26,2.6,-1056.166
27,2.7,-1055.729
28,2.8,-1055.943
29,2.9,-1056.204
30,3.0,-1056.278
31,3.1,-1056.362
32,3.2,-1055.701
33,3.3,-1056.017
34,3.4,-1056.176
35,3.5,-1055.971
36,3.6,-1056.306
37,3.7,-1056.027
38,3.8,-1056.222
39,3.9,-1056.176
40,4.0,-1056.287
41,4.1,-1056.157
42,4.2,-1055.989
43,4.3,-1056.017
44,4.4,-1056.129
45,4.5,-1056.138
46,4.6,-1056.129
47,4.7,-1056.017
48,4.8,-1056.222
49,4.9,-1056.381
50,5.0,-1056.017
51,5.1,-1056.036
52,5.2,-1055.999
53,5.3,-1056.129
54,5.4,-1056.129
55,5.5,-1056.101
56,5.6,-1056.064
57,5.7,-1056.222
58,5.8,-1055.580
59,5.9,-1055.906
60,6.0,-1056.110
61,6.1,-1056.166
62,6.2,-1056.269
63,6.3,-1056.157
64,6.4,-1055.989
65,6.5,-1056.073
66,6.6,-1055.868
67,6.7,-1056.138
68,6.8,-1056.455
69,6.9,-1055.971
70,7.0,-1055.896
71,7.1,-1056.166
72,7.2,-1056.185
73,7.3,-1055.878
74,7.4,-1056.418
75,7.5,-1057.591
76,7.6,-1055.580
77,7.7,-1055.487
78,7.8,-1055.691
79,7.9,-1055.971
80,8.0,-1055.701
81,8.1,-1055.337
82,8.2,-1055.766
83,8.3,-1055.794
84,8.4,-1055.514
85,8.5,-1055.077
86,8.6,-1055.812
87,8.7,-1055.552
88,8.8,-1055.896
89,8.9,-1055.487
90,9.0,-1055.831
91,9.1,-1055.403
92,9.2,-1055.449
93,9.3,-1055.710
94,9.4,-1055.570
95,9.5,-1055.617
96,9.6,-1055.701
97,9.7,-1055.580
98,9.8,-1055.496
99,9.9,-1055.477
100,10.0,-1055.403
101,10.1,-1055.356
102,10.2,-1055.328
103,10.3,-1055.487
104,10.4,-1055.105
105,10.5,-1055.142
106,10.6,-1055.282
107,10.7,-1055.496
108,10.8,-1055.291
109,10.9,-1055.347
110,11.0,-1055.421
111,11.1,-1055.365
112,11.2,-1055.328
113,11.3,-1055.617
114,11.4,-1055.570
115,11.5,-1054.984
116,11.6,-1055.272
117,11.7,-1055.216
118,11.8,-1055.747
119,11.9,-1055.747
120,12.0,-1055.216
121,12.1,-1055.421
122,12.2,-1055.319
123,12.3,-1055.710
124,12.4,-1055.710
125,12.5,-1054.984
126,12.6,-1055.375
127,12.7,-1055.030
128,12.8,-1055.235
129,12.9,-1055.272
130,13.0,-1055.002
131,13.1,-1054.956
132,13.2,-1054.937
133,13.3,-1054.825
134,13.4,-1054.797
135,13.5,-1054.890
136,13.6,-1054.863
137,13.7,-1054.788
138,13.8,-1055.179
139,13.9,-1055.021
140,14.0,-1054.974
141,14.1,-1055.030
142,14.2,-1054.863
143,14.3,-1055.291
144,14.4,-1055.365
145,14.5,-1054.751
146,14.6,-1054.807
147,14.7,-1054.863
148,14.8,-1055.105
149,14.9,-1054.909
150,15.0,-1055.142
151,15.1,-1054.863
152,15.2,-1054.751
153,15.3,-1054.741
154,15.4,-1054.928
155,15.5,-1054.397
156,15.6,-1054.723
157,15.7,-1055.188
158,15.8,-1055.002
159,15.9,-1055.291
160,16.0,-1055.105
161,16.1,-1055.030
162,16.2,-1055.077
163,16.3,-1054.965
164,16.4,-1055.235
165,16.5,-1054.863
166,16.6,-1054.937
167,16.7,-1054.779
168,16.8,-1054.751
169,16.9,-1055.226
170,17.0,-1055.179
171,17.1,-1055.002
172,17.2,-1054.853
173,17.3,-1055.235
174,17.4,-1055.123
175,17.5,-1055.030
176,17.6,-1054.984
177,17.7,-1054.984
178,17.8,-1055.319
179,17.9,-1055.431
180,18.0,-1055.272
181,18.1,-1055.356
182,18.2,-1055.086
183,18.3,-1055.216
184,18.4,-1054.769
185,18.5,-1054.918
186,18.6,-1054.844
187,18.7,-1054.909
188,18.8,-1054.639
189,18.9,-1054.928
190,19.0,-1054.732
191,19.1,-1055.039
192,19.2,-1055.086
193,19.3,-1054.946
194,19.4,-1055.188
195,19.5,-1054.816
196,19.6,-1054.723
197,19.7,-1055.328
198,19.8,-1054.788
199,19.9,-1054.937
200,20.0,-1054.471
201,20.1,-1054.723
202,20.2,-1054.732
203,20.3,-1054.499
204,20.4,-1054.751
205,20.5,-1054.816
206,20.6,-1054.583
207,20.7,-1054.984
208,20.8,-1054.900
209,20.9,-1054.918
210,21.0,-1054.788
211,21.1,-1054.928
212,21.2,-1054.853
213,21.3,-1054.611
214,21.4,-1054.574
215,21.5,-1054.723
216,21.6,-1054.667
217,21.7,-1054.509
218,21.8,-1054.443
219,21.9,-1054.648
220,22.0,-1054.639
221,22.1,-1054.779
222,22.2,-1054.648
223,22.3,-1054.630
224,22.4,-1054.527
225,22.5,-1054.741
226,22.6,-1054.648
227,22.7,-1054.583
228,22.8,-1054.853
229,22.9,-1054.835
230,23.0,-1054.639
231,23.1,-1054.369
232,23.2,-1054.658
233,23.3,-1054.909
234,23.4,-1054.946
235,23.5,-1054.825
236,23.6,-1054.760
237,23.7,-1054.965
238,23.8,-1054.658
239,23.9,-1054.378
240,24.0,-1054.425
241,24.1,-1054.350
242,24.2,-1054.704
243,24.3,-1054.322
244,24.4,-1054.266
245,24.5,-1054.583
246,24.6,-1054.825
247,24.7,-1054.667
248,24.8,-1054.369
249,24.9,-1054.620
250,25.0,-1054.294
251,25.1,-1054.434
252,25.2,-1054.239
253,25.3,-1054.248
254,25.4,-1054.509
255,25.5,-1054.294
256,25.6,-1054.388
257,25.7,-1054.714
258,25.8,-1054.406
259,25.9,-1054.425
260,26.0,-1054.695
261,26.1,-1054.453
262,26.2,-1054.332
263,26.3,-1054.397
264,26.4,-1054.313
265,26.5,-1054.602
266,26.6,-1054.667
267,26.7,-1054.602
268,26.8,-1054.434
269,26.9,-1054.052
270,27.0,-1054.360
271,27.1,-1054.136
272,27.2,-1054.648
273,27.3,-1054.350
274,27.4,-1054.453
275,27.5,-1054.397
276,27.6,-1054.313
277,27.7,-1054.453
278,27.8,-1054.425
279,27.9,-1054.471
280,28.0,-1054.369
281,28.1,-1054.090
282,28.2,-1054.090
283,28.3,-1054.574
284,28.4,-1053.987
285,28.5,-1054.071
286,28.6,-1054.164
287,28.7,-1053.903
288,28.8,-1054.155
289,28.9,-1054.164
290,29.0,-1053.978
291,29.1,-1054.117
292,29.2,-1054.173
293,29.3,-1054.201
294,29.4,-1053.726
295,29.5,-1054.248
296,29.6,-1054.043
297,29.7,-1054.192
298,29.8,-1054.257
299,29.9,-1054.378
300,30.0,-1054.369
301,30.1,-1054.015
302,30.2,-1054.015
303,30.3,-1054.220
304,30.4,-1054.173
305,30.5,-1054.062
306,30.6,-1053.941
307,30.7,-1054.136
308,30.8,-1053.978
309,30.9,-1054.173
310,31.0,-1053.810
311,31.1,-1053.968
312,31.2,-1053.754
313,31.3,-1053.745
314,31.4,-1053.978
315,31.5,-1053.996
316,31.6,-1053.847
317,31.7,-1053.903
318,31.8,-1054.183
319,31.9,-1053.764
320,32.0,-1053.810
321,32.1,-1054.266
322,32.2,-1054.173
323,32.3,-1053.931
324,32.4,-1054.164
325,32.5,-1054.155
326,32.6,-1053.875
327,32.7,-1053.521
328,32.8,-1053.642
329,32.9,-1053.857
330,33.0,-1053.764
331,33.1,-1053.996
332,33.2,-1053.875
333,33.3,-1053.950
334,33.4,-1053.987
335,33.5,-1054.136
336,33.6,-1054.015
337,33.7,-1054.043
338,33.8,-1055.244
339,33.9,-1053.764
340,34.0,-1053.549
341,34.1,-1054.052
342,34.2,-1054.183
343,34.3,-1054.304
344,34.4,-1054.015
345,34.5,-1054.024
346,34.6,-1053.829
347,34.7,-1054.490
348,34.8,-1054.052
349,34.9,-1053.950
350,35.0,-1054.006
351,35.1,-1053.996
352,35.2,-1053.875
353,35.3,-1054.741
354,35.4,-1054.285
355,35.5,-1054.453
356,35.6,-1054.434
357,35.7,-1054.173
358,35.8,-1054.415
359,35.9,-1054.509
360,36.0,-1053.764
361,36.1,-1054.024
362,36.2,-1053.968
363,36.3,-1054.360
364,36.4,-1054.378
365,36.5,-1054.304
366,36.6,-1054.145
367,36.7,-1054.266
368,36.8,-1054.257
369,36.9,-1053.996
370,37.0,-1053.875
371,37.1,-1054.490
372,37.2,-1054.211
373,37.3,-1054.406
374,37.4,-1054.415
375,37.5,-1054.239
376,37.6,-1053.987
377,37.7,-1054.006
378,37.8,-1054.099
379,37.9,-1054.164
380,38.0,-1053.875
381,38.1,-1054.090
382,38.2,-1054.006
383,38.3,-1053.801
384,38.4,-1054.006
385,38.5,-1053.968
386,38.6,-1054.211
387,38.7,-1054.266
388,38.8,-1053.829
389,38.9,-1054.090
390,39.0,-1053.754
391,39.1,-1054.248
392,39.2,-1053.754
393,39.3,-1054.183
394,39.4,-1054.322
395,39.5,-1053.810
396,39.6,-1053.987
397,39.7,-1053.941
398,39.8,-1053.587
399,39.9,-1053.642
400,40.0,-1053.531
401,40.1,-1053.847
402,40.2,-1053.875
403,40.3,-1053.959
