Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 5455
Start Time: 2/1/2023 2:31:17.021 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.245
1,0.001,0.245
2,0.002,0.245
3,0.003,0.246
4,0.004,0.245
5,0.005,0.246
6,0.006,0.245
7,0.007,0.245
8,0.008,0.245
9,0.009,0.245
10,0.010,0.246
11,0.011,0.245
12,0.012,0.244
13,0.013,0.245
14,0.014,0.247
15,0.015,0.245
16,0.016,0.245
17,0.017,0.246
18,0.018,0.244
19,0.019,0.246
20,0.020,0.245
21,0.021,0.245
22,0.022,0.245
23,0.023,0.246
24,0.024,0.245
25,0.025,0.245
26,0.026,0.246
27,0.027,0.245
28,0.028,0.246
29,0.029,0.246
30,0.030,0.246
31,0.031,0.245
32,0.032,0.243
33,0.033,0.246
34,0.034,0.246
35,0.035,0.245
36,0.036,0.245
37,0.037,0.247
38,0.038,0.245
39,0.039,0.247
40,0.040,0.246
41,0.041,0.247
42,0.042,0.245
43,0.043,0.245
44,0.044,0.245
45,0.045,0.245
46,0.046,0.245
47,0.047,0.244
48,0.048,0.245
49,0.049,0.246
50,0.050,0.245
51,0.051,0.245
52,0.052,0.247
53,0.053,0.247
54,0.054,0.246
55,0.055,0.245
56,0.056,0.246
57,0.057,0.246
58,0.058,0.246
59,0.059,0.245
60,0.060,0.245
61,0.061,0.245
62,0.062,0.246
63,0.063,0.245
64,0.064,0.244
65,0.065,0.246
66,0.066,0.245
67,0.067,0.245
68,0.068,0.244
69,0.069,0.245
70,0.070,0.244
71,0.071,0.246
72,0.072,0.246
73,0.073,0.245
74,0.074,0.247
75,0.075,0.246
76,0.076,0.246
77,0.077,0.245
78,0.078,0.245
79,0.079,0.245
80,0.080,0.245
81,0.081,0.247
82,0.082,0.246
83,0.083,0.244
84,0.084,0.244
85,0.085,0.246
86,0.086,0.245
87,0.087,0.246
88,0.088,0.244
89,0.089,0.245
90,0.090,0.245
91,0.091,0.245
92,0.092,0.246
93,0.093,0.245
94,0.094,0.246
95,0.095,0.246
96,0.096,0.246
97,0.097,0.246
98,0.098,0.246
99,0.099,0.246
100,0.100,0.245
101,0.101,0.246
102,0.102,0.245
103,0.103,0.245
104,0.104,0.244
105,0.105,0.245
106,0.106,0.246
107,0.107,0.247
108,0.108,0.245
109,0.109,0.245
110,0.110,0.247
111,0.111,0.245
112,0.112,0.246
113,0.113,0.245
114,0.114,0.245
115,0.115,0.245
116,0.116,0.244
117,0.117,0.245
118,0.118,0.247
119,0.119,0.245
120,0.120,0.245
121,0.121,0.246
122,0.122,0.244
123,0.123,0.247
124,0.124,0.246
125,0.125,0.246
126,0.126,0.248
127,0.127,0.246
128,0.128,0.246
129,0.129,0.247
130,0.130,0.246
131,0.131,0.245
132,0.132,0.247
133,0.133,0.247
134,0.134,0.247
135,0.135,0.247
136,0.136,0.246
137,0.137,0.245
138,0.138,0.245
139,0.139,0.246
140,0.140,0.244
141,0.141,0.245
142,0.142,0.247
143,0.143,0.245
144,0.144,0.245
145,0.145,0.247
146,0.146,0.245
147,0.147,0.246
148,0.148,0.246
149,0.149,0.248
150,0.150,0.245
151,0.151,0.245
152,0.152,0.246
153,0.153,0.245
154,0.154,0.247
155,0.155,0.247
156,0.156,0.246
157,0.157,0.245
158,0.158,0.244
159,0.159,0.244
160,0.160,0.247
161,0.161,0.248
162,0.162,0.245
163,0.163,0.246
164,0.164,0.245
165,0.165,0.246
166,0.166,0.246
167,0.167,0.244
168,0.168,0.246
169,0.169,0.246
170,0.170,0.246
171,0.171,0.246
172,0.172,0.246
173,0.173,0.246
174,0.174,0.245
175,0.175,0.246
176,0.176,0.245
177,0.177,0.245
178,0.178,0.246
179,0.179,0.245
180,0.180,0.244
181,0.181,0.246
182,0.182,0.244
183,0.183,0.246
184,0.184,0.245
185,0.185,0.247
186,0.186,0.246
187,0.187,0.246
188,0.188,0.245
189,0.189,0.246
190,0.190,0.246
191,0.191,0.246
192,0.192,0.246
193,0.193,0.247
194,0.194,0.245
195,0.195,0.246
196,0.196,0.245
197,0.197,0.245
198,0.198,0.245
199,0.199,0.246
200,0.200,0.246
