Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 10127
Start Time: 2/8/2023 2:37:17.004 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.285
1,0.001,0.286
2,0.002,0.286
3,0.003,0.285
4,0.004,0.284
5,0.005,0.283
6,0.006,0.283
7,0.007,0.284
8,0.008,0.286
9,0.009,0.284
10,0.010,0.285
11,0.011,0.285
12,0.012,0.284
13,0.013,0.282
14,0.014,0.282
15,0.015,0.279
16,0.016,0.281
17,0.017,0.277
18,0.018,0.278
19,0.019,0.279
20,0.020,0.279
21,0.021,0.278
22,0.022,0.278
23,0.023,0.277
24,0.024,0.277
25,0.025,0.277
26,0.026,0.279
27,0.027,0.279
28,0.028,0.281
29,0.029,0.282
30,0.030,0.284
31,0.031,0.285
32,0.032,0.288
33,0.033,0.284
34,0.034,0.289
35,0.035,0.287
36,0.036,0.286
37,0.037,0.286
38,0.038,0.288
39,0.039,0.284
40,0.040,0.289
41,0.041,0.286
42,0.042,0.283
43,0.043,0.285
44,0.044,0.288
45,0.045,0.285
46,0.046,0.280
47,0.047,0.285
48,0.048,0.277
49,0.049,0.280
50,0.050,0.279
51,0.051,0.279
52,0.052,0.278
53,0.053,0.276
54,0.054,0.278
55,0.055,0.281
56,0.056,0.280
57,0.057,0.281
58,0.058,0.280
59,0.059,0.286
60,0.060,0.286
61,0.061,0.283
62,0.062,0.286
63,0.063,0.287
64,0.064,0.288
65,0.065,0.291
66,0.066,0.290
67,0.067,0.288
68,0.068,0.292
69,0.069,0.291
70,0.070,0.287
71,0.071,0.291
72,0.072,0.287
73,0.073,0.285
74,0.074,0.286
75,0.075,0.287
76,0.076,0.286
77,0.077,0.286
78,0.078,0.285
79,0.079,0.288
80,0.080,0.287
81,0.081,0.285
82,0.082,0.282
83,0.083,0.283
84,0.084,0.282
85,0.085,0.281
86,0.086,0.281
87,0.087,0.282
88,0.088,0.283
89,0.089,0.284
90,0.090,0.282
91,0.091,0.286
92,0.092,0.283
93,0.093,0.283
94,0.094,0.288
95,0.095,0.288
96,0.096,0.285
97,0.097,0.289
98,0.098,0.290
99,0.099,0.288
100,0.100,0.290
101,0.101,0.289
102,0.102,0.289
103,0.103,0.289
104,0.104,0.287
105,0.105,0.287
106,0.106,0.287
107,0.107,0.286
108,0.108,0.287
109,0.109,0.285
110,0.110,0.286
111,0.111,0.288
112,0.112,0.284
113,0.113,0.285
114,0.114,0.285
115,0.115,0.284
116,0.116,0.283
117,0.117,0.285
118,0.118,0.284
119,0.119,0.284
120,0.120,0.284
121,0.121,0.284
122,0.122,0.285
123,0.123,0.284
124,0.124,0.284
125,0.125,0.285
126,0.126,0.284
127,0.127,0.285
128,0.128,0.284
129,0.129,0.285
130,0.130,0.284
131,0.131,0.285
132,0.132,0.286
133,0.133,0.284
134,0.134,0.285
135,0.135,0.287
136,0.136,0.285
137,0.137,0.286
138,0.138,0.285
139,0.139,0.283
140,0.140,0.283
141,0.141,0.284
142,0.142,0.285
143,0.143,0.286
144,0.144,0.284
145,0.145,0.287
146,0.146,0.284
147,0.147,0.284
148,0.148,0.286
149,0.149,0.284
150,0.150,0.284
151,0.151,0.284
152,0.152,0.284
153,0.153,0.283
154,0.154,0.284
155,0.155,0.283
156,0.156,0.283
157,0.157,0.283
158,0.158,0.285
159,0.159,0.283
160,0.160,0.285
161,0.161,0.285
162,0.162,0.285
163,0.163,0.285
164,0.164,0.284
165,0.165,0.284
166,0.166,0.285
167,0.167,0.284
168,0.168,0.283
169,0.169,0.283
170,0.170,0.284
171,0.171,0.284
172,0.172,0.283
173,0.173,0.282
174,0.174,0.284
175,0.175,0.284
176,0.176,0.285
177,0.177,0.285
178,0.178,0.283
179,0.179,0.285
180,0.180,0.283
181,0.181,0.284
182,0.182,0.283
183,0.183,0.284
184,0.184,0.284
185,0.185,0.284
186,0.186,0.286
187,0.187,0.284
188,0.188,0.284
189,0.189,0.284
190,0.190,0.283
191,0.191,0.285
192,0.192,0.286
193,0.193,0.286
194,0.194,0.285
195,0.195,0.285
196,0.196,0.284
197,0.197,0.285
198,0.198,0.285
199,0.199,0.285
200,0.200,0.284
201,0.201,0.284
202,0.202,0.284
203,0.203,0.286
204,0.204,0.284
205,0.205,0.285
206,0.206,0.285
207,0.207,0.283
208,0.208,0.284
209,0.209,0.285
210,0.210,0.283
211,0.211,0.284
212,0.212,0.284
213,0.213,0.285
214,0.214,0.285
215,0.215,0.285
216,0.216,0.285
217,0.217,0.285
218,0.218,0.284
219,0.219,0.284
220,0.220,0.285
221,0.221,0.284
222,0.222,0.282
223,0.223,0.283
224,0.224,0.283
225,0.225,0.285
226,0.226,0.283
227,0.227,0.285
228,0.228,0.285
229,0.229,0.285
230,0.230,0.283
231,0.231,0.285
232,0.232,0.284
233,0.233,0.284
234,0.234,0.284
235,0.235,0.284
236,0.236,0.284
237,0.237,0.285
238,0.238,0.285
239,0.239,0.284
240,0.240,0.285
241,0.241,0.285
242,0.242,0.285
243,0.243,0.287
244,0.244,0.284
245,0.245,0.286
246,0.246,0.284
247,0.247,0.286
248,0.248,0.283
249,0.249,0.283
250,0.250,0.284
251,0.251,0.284
252,0.252,0.285
253,0.253,0.284
254,0.254,0.285
255,0.255,0.284
256,0.256,0.286
257,0.257,0.284
258,0.258,0.282
259,0.259,0.287
260,0.260,0.285
261,0.261,0.286
262,0.262,0.286
263,0.263,0.283
264,0.264,0.285
265,0.265,0.285
266,0.266,0.284
267,0.267,0.285
268,0.268,0.285
269,0.269,0.284
270,0.270,0.286
271,0.271,0.285
272,0.272,0.284
273,0.273,0.284
274,0.274,0.285
275,0.275,0.282
276,0.276,0.285
277,0.277,0.283
278,0.278,0.284
279,0.279,0.284
280,0.280,0.283
281,0.281,0.282
282,0.282,0.284
283,0.283,0.284
284,0.284,0.283
285,0.285,0.283
286,0.286,0.281
287,0.287,0.282
288,0.288,0.285
289,0.289,0.286
290,0.290,0.283
291,0.291,0.285
292,0.292,0.286
293,0.293,0.285
294,0.294,0.284
295,0.295,0.282
296,0.296,0.285
297,0.297,0.284
298,0.298,0.284
299,0.299,0.284
300,0.300,0.282
