Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 4079
Start Time: 2/1/2023 2:49:07.595 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.843
1,0.001,0.842
2,0.002,0.840
3,0.003,0.841
4,0.004,0.840
5,0.005,0.843
6,0.006,0.841
7,0.007,0.842
8,0.008,0.842
9,0.009,0.840
10,0.010,0.841
11,0.011,0.841
12,0.012,0.841
13,0.013,0.842
14,0.014,0.841
15,0.015,0.838
16,0.016,0.841
17,0.017,0.841
18,0.018,0.840
19,0.019,0.841
20,0.020,0.841
21,0.021,0.840
22,0.022,0.842
23,0.023,0.840
24,0.024,0.840
25,0.025,0.839
26,0.026,0.840
27,0.027,0.839
28,0.028,0.841
29,0.029,0.840
30,0.030,0.838
31,0.031,0.838
32,0.032,0.840
33,0.033,0.839
34,0.034,0.838
35,0.035,0.839
36,0.036,0.840
37,0.037,0.840
38,0.038,0.839
39,0.039,0.839
40,0.040,0.839
41,0.041,0.838
42,0.042,0.839
43,0.043,0.840
44,0.044,0.838
45,0.045,0.841
46,0.046,0.839
47,0.047,0.839
48,0.048,0.842
49,0.049,0.841
50,0.050,0.839
51,0.051,0.839
52,0.052,0.839
53,0.053,0.838
54,0.054,0.839
55,0.055,0.839
56,0.056,0.839
57,0.057,0.840
58,0.058,0.839
59,0.059,0.839
60,0.060,0.839
61,0.061,0.838
62,0.062,0.838
63,0.063,0.838
64,0.064,0.839
65,0.065,0.839
66,0.066,0.838
67,0.067,0.838
68,0.068,0.839
69,0.069,0.840
70,0.070,0.839
71,0.071,0.838
72,0.072,0.839
73,0.073,0.839
74,0.074,0.840
75,0.075,0.839
76,0.076,0.839
77,0.077,0.838
78,0.078,0.838
79,0.079,0.841
80,0.080,0.838
81,0.081,0.839
82,0.082,0.839
83,0.083,0.839
84,0.084,0.838
85,0.085,0.839
86,0.086,0.840
87,0.087,0.839
88,0.088,0.838
89,0.089,0.840
90,0.090,0.840
91,0.091,0.840
92,0.092,0.840
93,0.093,0.839
94,0.094,0.840
95,0.095,0.840
96,0.096,0.839
97,0.097,0.840
98,0.098,0.838
99,0.099,0.839
100,0.100,0.841
101,0.101,0.841
102,0.102,0.839
103,0.103,0.841
104,0.104,0.840
105,0.105,0.839
106,0.106,0.841
107,0.107,0.840
108,0.108,0.839
109,0.109,0.841
110,0.110,0.840
111,0.111,0.840
112,0.112,0.839
113,0.113,0.839
114,0.114,0.842
115,0.115,0.842
116,0.116,0.840
117,0.117,0.840
118,0.118,0.841
119,0.119,0.839
120,0.120,0.840
121,0.121,0.840
122,0.122,0.840
123,0.123,0.841
124,0.124,0.840
125,0.125,0.839
126,0.126,0.839
127,0.127,0.840
128,0.128,0.841
129,0.129,0.841
130,0.130,0.840
131,0.131,0.840
132,0.132,0.840
133,0.133,0.840
134,0.134,0.841
135,0.135,0.838
136,0.136,0.839
137,0.137,0.840
138,0.138,0.840
139,0.139,0.841
140,0.140,0.839
141,0.141,0.839
142,0.142,0.839
143,0.143,0.839
144,0.144,0.839
145,0.145,0.839
146,0.146,0.841
147,0.147,0.838
148,0.148,0.839
149,0.149,0.839
150,0.150,0.838
151,0.151,0.840
152,0.152,0.840
153,0.153,0.840
154,0.154,0.839
155,0.155,0.841
156,0.156,0.838
157,0.157,0.839
158,0.158,0.839
159,0.159,0.840
160,0.160,0.839
161,0.161,0.838
162,0.162,0.840
163,0.163,0.839
164,0.164,0.839
165,0.165,0.840
166,0.166,0.841
167,0.167,0.839
168,0.168,0.840
169,0.169,0.841
170,0.170,0.840
171,0.171,0.842
172,0.172,0.840
173,0.173,0.840
174,0.174,0.840
175,0.175,0.840
176,0.176,0.841
177,0.177,0.842
178,0.178,0.840
179,0.179,0.841
180,0.180,0.841
181,0.181,0.839
182,0.182,0.840
183,0.183,0.840
184,0.184,0.840
185,0.185,0.840
186,0.186,0.839
187,0.187,0.840
188,0.188,0.839
189,0.189,0.838
190,0.190,0.840
191,0.191,0.839
192,0.192,0.839
193,0.193,0.840
194,0.194,0.840
195,0.195,0.841
196,0.196,0.841
197,0.197,0.841
198,0.198,0.840
199,0.199,0.842
200,0.200,0.841
201,0.201,0.841
202,0.202,0.841
203,0.203,0.840
204,0.204,0.841
205,0.205,0.841
206,0.206,0.841
207,0.207,0.842
208,0.208,0.841
209,0.209,0.843
210,0.210,0.841
211,0.211,0.842
212,0.212,0.841
213,0.213,0.841
214,0.214,0.841
215,0.215,0.841
216,0.216,0.842
217,0.217,0.840
218,0.218,0.841
219,0.219,0.841
220,0.220,0.840
221,0.221,0.842
222,0.222,0.842
223,0.223,0.840
224,0.224,0.840
225,0.225,0.839
226,0.226,0.840
227,0.227,0.839
228,0.228,0.841
229,0.229,0.840
230,0.230,0.840
231,0.231,0.840
232,0.232,0.841
233,0.233,0.838
234,0.234,0.842
235,0.235,0.839
236,0.236,0.839
237,0.237,0.839
238,0.238,0.840
239,0.239,0.840
240,0.240,0.841
241,0.241,0.839
242,0.242,0.839
243,0.243,0.838
244,0.244,0.840
245,0.245,0.839
246,0.246,0.840
247,0.247,0.840
248,0.248,0.838
249,0.249,0.838
250,0.250,0.838
251,0.251,0.839
252,0.252,0.840
253,0.253,0.838
254,0.254,0.840
255,0.255,0.839
256,0.256,0.839
257,0.257,0.839
258,0.258,0.837
259,0.259,0.840
260,0.260,0.839
261,0.261,0.839
262,0.262,0.839
263,0.263,0.837
264,0.264,0.837
265,0.265,0.837
266,0.266,0.837
267,0.267,0.837
268,0.268,0.838
269,0.269,0.839
270,0.270,0.839
271,0.271,0.838
272,0.272,0.838
273,0.273,0.836
274,0.274,0.838
275,0.275,0.839
276,0.276,0.837
277,0.277,0.837
278,0.278,0.837
279,0.279,0.838
280,0.280,0.838
281,0.281,0.839
282,0.282,0.839
283,0.283,0.837
284,0.284,0.838
285,0.285,0.838
286,0.286,0.838
287,0.287,0.838
288,0.288,0.839
289,0.289,0.840
290,0.290,0.838
291,0.291,0.837
292,0.292,0.836
293,0.293,0.838
294,0.294,0.838
295,0.295,0.837
296,0.296,0.838
297,0.297,0.838
298,0.298,0.839
299,0.299,0.839
300,0.300,0.838
301,0.301,0.839
302,0.302,0.840
303,0.303,0.839
304,0.304,0.839
305,0.305,0.837
306,0.306,0.839
307,0.307,0.839
308,0.308,0.839
309,0.309,0.839
310,0.310,0.838
311,0.311,0.838
312,0.312,0.838
313,0.313,0.840
314,0.314,0.838
315,0.315,0.839
316,0.316,0.839
317,0.317,0.840
318,0.318,0.839
319,0.319,0.839
320,0.320,0.839
321,0.321,0.838
322,0.322,0.836
323,0.323,0.838
324,0.324,0.838
325,0.325,0.839
326,0.326,0.838
327,0.327,0.838
328,0.328,0.838
329,0.329,0.839
330,0.330,0.838
331,0.331,0.840
332,0.332,0.840
333,0.333,0.839
334,0.334,0.839
335,0.335,0.839
336,0.336,0.840
337,0.337,0.839
338,0.338,0.839
339,0.339,0.840
340,0.340,0.839
341,0.341,0.839
342,0.342,0.837
343,0.343,0.839
344,0.344,0.840
345,0.345,0.840
346,0.346,0.838
347,0.347,0.838
348,0.348,0.839
349,0.349,0.840
350,0.350,0.839
351,0.351,0.839
352,0.352,0.839
353,0.353,0.840
354,0.354,0.838
355,0.355,0.839
356,0.356,0.839
357,0.357,0.838
358,0.358,0.838
359,0.359,0.839
360,0.360,0.838
361,0.361,0.838
362,0.362,0.840
363,0.363,0.838
364,0.364,0.838
365,0.365,0.839
366,0.366,0.839
367,0.367,0.839
368,0.368,0.838
369,0.369,0.838
370,0.370,0.840
371,0.371,0.839
372,0.372,0.840
373,0.373,0.839
374,0.374,0.841
375,0.375,0.840
376,0.376,0.840
377,0.377,0.840
378,0.378,0.838
379,0.379,0.839
380,0.380,0.840
381,0.381,0.840
382,0.382,0.840
383,0.383,0.838
384,0.384,0.840
385,0.385,0.840
386,0.386,0.839
387,0.387,0.841
388,0.388,0.838
389,0.389,0.841
390,0.390,0.838
391,0.391,0.838
392,0.392,0.839
393,0.393,0.840
394,0.394,0.838
395,0.395,0.839
396,0.396,0.839
397,0.397,0.840
398,0.398,0.839
399,0.399,0.840
400,0.400,0.839
401,0.401,0.840
402,0.402,0.839
403,0.403,0.840
404,0.404,0.839
405,0.405,0.841
406,0.406,0.839
407,0.407,0.840
408,0.408,0.840
409,0.409,0.839
410,0.410,0.840
411,0.411,0.840
412,0.412,0.840
413,0.413,0.839
414,0.414,0.839
415,0.415,0.841
416,0.416,0.839
417,0.417,0.840
418,0.418,0.840
419,0.419,0.841
420,0.420,0.841
421,0.421,0.842
422,0.422,0.841
423,0.423,0.841
424,0.424,0.841
425,0.425,0.841
426,0.426,0.840
427,0.427,0.841
428,0.428,0.841
429,0.429,0.840
430,0.430,0.841
431,0.431,0.841
432,0.432,0.842
433,0.433,0.842
434,0.434,0.841
435,0.435,0.843
436,0.436,0.841
437,0.437,0.840
438,0.438,0.840
439,0.439,0.841
440,0.440,0.842
441,0.441,0.840
442,0.442,0.840
443,0.443,0.841
444,0.444,0.841
445,0.445,0.840
446,0.446,0.842
447,0.447,0.841
448,0.448,0.840
449,0.449,0.840
450,0.450,0.841
451,0.451,0.840
452,0.452,0.841
453,0.453,0.841
454,0.454,0.840
455,0.455,0.841
456,0.456,0.841
457,0.457,0.840
458,0.458,0.840
459,0.459,0.840
460,0.460,0.840
461,0.461,0.840
