Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 418
Start Time: 2/8/2023 2:57:30.64 PM
Scan Rate: 20
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.00,20.813,-9999.000
1,0.05,20.821,-9999.000
2,0.10,20.838,-9999.000
3,0.15,20.822,-9999.000
4,0.20,20.825,-9999.000
5,0.25,20.845,-9999.000
6,0.30,20.845,-9999.000
7,0.35,20.833,-9999.000
8,0.40,20.846,-9999.000
9,0.45,20.871,-9999.000
10,0.50,20.862,-9999.000
11,0.55,20.869,-9999.000
12,0.60,20.859,-9999.000
13,0.65,20.871,-9999.000
14,0.70,20.877,-9999.000
15,0.75,20.874,-9999.000
16,0.80,20.878,-9999.000
17,0.85,20.883,-9999.000
18,0.90,20.879,-9999.000
19,0.95,20.893,-9999.000
20,1.00,20.895,-9999.000
21,1.05,20.888,-9999.000
22,1.10,20.904,-9999.000
23,1.15,20.888,-9999.000
24,1.20,20.896,-9999.000
25,1.25,20.904,-9999.000
26,1.30,20.906,-9999.000
27,1.35,20.889,-9999.000
28,1.40,20.908,-9999.000
29,1.45,20.898,-9999.000
30,1.50,20.896,-9999.000
31,1.55,20.897,-9999.000
32,1.60,20.898,-9999.000
33,1.65,20.904,-9999.000
34,1.70,20.900,-9999.000
35,1.75,20.911,-9999.000
36,1.80,20.910,-9999.000
37,1.85,20.910,-9999.000
38,1.90,20.904,-9999.000
39,1.95,20.908,-9999.000
40,2.00,20.917,-9999.000
41,2.05,20.906,-9999.000
42,2.10,20.911,-9999.000
43,2.15,20.902,-9999.000
44,2.20,20.908,-9999.000
45,2.25,20.906,-9999.000
46,2.30,20.904,-9999.000
47,2.35,20.905,-9999.000
48,2.40,20.900,-9999.000
49,2.45,20.903,-9999.000
50,2.50,20.893,-9999.000
51,2.55,20.897,-9999.000
52,2.60,20.902,-9999.000
53,2.65,20.903,-9999.000
54,2.70,20.901,-9999.000
55,2.75,20.901,-9999.000
56,2.80,20.883,-9999.000
57,2.85,20.896,-9999.000
58,2.90,20.891,-9999.000
