Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1024
Start Time: 2/8/2023 2:55:35.84 PM
Scan Rate: 50
Sample,Time (s),CH2 (µV)
0,0.00,-215.406
1,0.02,-216.439
2,0.04,-216.160
3,0.06,-216.309
4,0.08,-215.340
5,0.10,-215.853
6,0.12,-216.132
7,0.14,-217.305
8,0.16,-219.233
9,0.18,-220.202
10,0.20,-219.969
11,0.22,-218.721
12,0.24,-218.013
13,0.26,-216.980
14,0.28,-216.877
15,0.30,-217.389
16,0.32,-217.985
17,0.34,-217.296
18,0.36,-216.458
19,0.38,-215.983
20,0.40,-215.638
21,0.42,-217.054
22,0.44,-218.553
23,0.46,-220.099
24,0.48,-220.025
25,0.50,-219.792
26,0.52,-219.801
27,0.54,-220.025
28,0.56,-218.861
29,0.58,-218.377
30,0.60,-218.563
31,0.62,-219.010
32,0.64,-219.150
33,0.66,-219.336
34,0.68,-219.671
35,0.70,-220.258
36,0.72,-220.956
37,0.74,-220.696
38,0.76,-220.947
39,0.78,-219.466
40,0.80,-218.321
41,0.82,-217.315
42,0.84,-218.591
43,0.86,-220.481
44,0.88,-221.347
45,0.90,-222.493
46,0.92,-221.143
47,0.94,-219.634
48,0.96,-217.976
49,0.98,-220.649
50,1.00,-223.080
51,1.02,-222.800
52,1.04,-222.232
53,1.06,-220.742
54,1.08,-220.425
55,1.10,-220.062
56,1.12,-220.286
57,1.14,-220.956
58,1.16,-220.174
59,1.18,-219.792
60,1.20,-219.317
61,1.22,-220.425
62,1.24,-221.226
63,1.26,-222.605
64,1.28,-222.651
65,1.30,-222.232
66,1.32,-221.804
67,1.34,-220.947
68,1.36,-220.304
69,1.38,-220.556
70,1.40,-221.580
71,1.42,-222.465
72,1.44,-223.108
73,1.46,-223.229
74,1.48,-222.595
75,1.50,-221.487
76,1.52,-221.198
77,1.54,-221.310
78,1.56,-222.223
79,1.58,-222.865
80,1.60,-223.545
81,1.62,-223.275
82,1.64,-222.856
83,1.66,-222.540
84,1.68,-221.971
85,1.70,-222.344
86,1.72,-222.577
87,1.74,-223.117
88,1.76,-223.629
89,1.78,-223.797
90,1.80,-223.089
91,1.82,-222.689
92,1.84,-222.372
93,1.86,-222.251
94,1.88,-222.344
95,1.90,-223.080
96,1.92,-224.030
97,1.94,-224.272
98,1.96,-223.918
99,1.98,-223.005
100,2.00,-222.567
101,2.02,-222.791
102,2.04,-223.015
103,2.06,-223.666
104,2.08,-224.104
105,2.10,-224.207
106,2.12,-224.058
107,2.14,-223.452
108,2.16,-223.061
109,2.18,-222.819
110,2.20,-223.257
111,2.22,-223.583
112,2.24,-224.020
113,2.26,-224.123
114,2.28,-223.899
115,2.30,-223.648
116,2.32,-223.191
117,2.34,-222.856
118,2.36,-223.201
119,2.38,-223.629
120,2.40,-224.039
121,2.42,-224.179
122,2.44,-224.011
123,2.46,-223.424
124,2.48,-223.275
125,2.50,-223.117
126,2.52,-223.238
127,2.54,-223.620
128,2.56,-223.555
129,2.58,-224.160
130,2.60,-224.067
131,2.62,-224.113
132,2.64,-223.732
133,2.66,-223.564
134,2.68,-223.517
135,2.70,-223.704
136,2.72,-223.890
137,2.74,-224.262
138,2.76,-224.281
139,2.78,-224.188
140,2.80,-223.564
141,2.82,-223.564
142,2.84,-223.778
143,2.86,-223.899
144,2.88,-224.356
145,2.90,-224.290
146,2.92,-224.300
147,2.94,-224.039
148,2.96,-223.918
149,2.98,-223.741
150,3.00,-224.095
151,3.02,-223.862
152,3.04,-224.309
153,3.06,-224.020
154,3.08,-224.421
155,3.10,-224.067
156,3.12,-224.272
157,3.14,-223.629
158,3.16,-223.834
159,3.18,-223.983
160,3.20,-224.030
161,3.22,-224.262
162,3.24,-223.983
163,3.26,-224.123
164,3.28,-224.039
165,3.30,-223.750
166,3.32,-224.104
167,3.34,-224.281
168,3.36,-224.169
169,3.38,-224.197
170,3.40,-224.020
171,3.42,-223.918
172,3.44,-223.741
173,3.46,-223.713
174,3.48,-223.648
175,3.50,-223.722
176,3.52,-223.676
177,3.54,-223.722
178,3.56,-224.030
179,3.58,-223.704
180,3.60,-223.378
181,3.62,-223.322
182,3.64,-223.257
183,3.66,-223.387
184,3.68,-223.732
185,3.70,-223.508
186,3.72,-223.666
187,3.74,-223.415
188,3.76,-223.285
189,3.78,-223.443
190,3.80,-223.452
191,3.82,-223.210
192,3.84,-223.583
193,3.86,-223.219
194,3.88,-223.164
195,3.90,-223.434
196,3.92,-223.406
197,3.94,-223.052
198,3.96,-223.098
199,3.98,-223.378
200,4.00,-223.350
201,4.02,-223.322
202,4.04,-223.191
203,4.06,-223.545
204,4.08,-223.080
205,4.10,-223.415
206,4.12,-222.782
207,4.14,-223.210
208,4.16,-223.136
209,4.18,-223.452
210,4.20,-223.275
211,4.22,-223.340
212,4.24,-223.238
213,4.26,-223.257
214,4.28,-223.331
215,4.30,-222.977
216,4.32,-223.098
217,4.34,-223.145
218,4.36,-223.126
219,4.38,-223.015
220,4.40,-222.893
221,4.42,-222.893
222,4.44,-222.791
223,4.46,-222.921
224,4.48,-223.136
225,4.50,-223.042
226,4.52,-222.949
227,4.54,-223.033
228,4.56,-222.763
229,4.58,-222.754
230,4.60,-222.949
231,4.62,-222.772
232,4.64,-222.828
233,4.66,-222.679
234,4.68,-222.856
235,4.70,-222.567
236,4.72,-222.642
237,4.74,-222.456
238,4.76,-222.502
239,4.78,-222.521
240,4.80,-222.530
241,4.82,-222.465
242,4.84,-222.707
243,4.86,-222.754
244,4.88,-222.642
245,4.90,-222.493
246,4.92,-222.418
247,4.94,-222.595
248,4.96,-222.642
249,4.98,-222.577
250,5.00,-222.325
251,5.02,-222.372
252,5.04,-222.521
253,5.06,-222.577
254,5.08,-222.595
255,5.10,-222.446
256,5.12,-222.400
257,5.14,-222.484
258,5.16,-222.633
259,5.18,-222.586
260,5.20,-222.437
261,5.22,-222.120
262,5.24,-222.055
263,5.26,-222.307
264,5.28,-222.223
265,5.30,-222.335
266,5.32,-222.204
267,5.34,-222.186
268,5.36,-222.418
269,5.38,-222.232
270,5.40,-222.363
271,5.42,-222.214
272,5.44,-222.102
273,5.46,-222.586
274,5.48,-222.232
275,5.50,-222.251
276,5.52,-222.186
277,5.54,-222.260
278,5.56,-222.158
279,5.58,-222.297
280,5.60,-222.204
281,5.62,-222.372
282,5.64,-222.251
283,5.66,-222.595
284,5.68,-222.363
285,5.70,-222.251
286,5.72,-222.307
287,5.74,-222.456
288,5.76,-222.363
289,5.78,-222.409
290,5.80,-221.934
291,5.82,-222.130
292,5.84,-222.195
293,5.86,-222.242
294,5.88,-222.065
295,5.90,-221.850
296,5.92,-222.111
297,5.94,-222.428
298,5.96,-222.120
299,5.98,-222.092
300,6.00,-221.971
301,6.02,-221.953
302,6.04,-222.065
303,6.06,-222.120
304,6.08,-221.990
305,6.10,-221.776
306,6.12,-222.223
307,6.14,-221.934
308,6.16,-222.158
309,6.18,-222.009
310,6.20,-221.860
311,6.22,-221.999
312,6.24,-222.092
313,6.26,-222.335
314,6.28,-222.391
315,6.30,-222.363
316,6.32,-222.418
317,6.34,-222.027
318,6.36,-222.297
319,6.38,-221.925
320,6.40,-221.925
321,6.42,-221.971
322,6.44,-222.316
323,6.46,-221.971
324,6.48,-222.074
325,6.50,-221.850
326,6.52,-222.027
327,6.54,-222.027
328,6.56,-221.906
329,6.58,-221.934
330,6.60,-221.990
331,6.62,-221.953
332,6.64,-221.999
333,6.66,-222.214
334,6.68,-222.074
335,6.70,-222.111
336,6.72,-222.037
337,6.74,-222.260
338,6.76,-222.214
339,6.78,-222.214
340,6.80,-222.027
341,6.82,-222.158
342,6.84,-222.158
343,6.86,-222.130
344,6.88,-222.363
345,6.90,-222.074
346,6.92,-222.381
347,6.94,-222.065
348,6.96,-222.269
349,6.98,-222.139
350,7.00,-222.092
351,7.02,-222.232
352,7.04,-222.046
353,7.06,-222.260
354,7.08,-222.055
355,7.10,-222.232
356,7.12,-222.139
357,7.14,-221.953
358,7.16,-222.363
359,7.18,-222.260
360,7.20,-222.567
361,7.22,-222.446
362,7.24,-221.934
363,7.26,-222.269
364,7.28,-222.493
365,7.30,-222.316
366,7.32,-222.800
367,7.34,-222.735
368,7.36,-222.502
369,7.38,-222.707
370,7.40,-222.679
371,7.42,-222.763
372,7.44,-222.614
373,7.46,-222.363
374,7.48,-222.437
375,7.50,-222.530
376,7.52,-222.577
377,7.54,-222.307
378,7.56,-222.577
379,7.58,-222.726
380,7.60,-222.716
381,7.62,-222.642
382,7.64,-222.651
383,7.66,-222.865
384,7.68,-222.959
385,7.70,-222.772
386,7.72,-222.661
387,7.74,-222.800
388,7.76,-222.642
389,7.78,-222.893
390,7.80,-222.931
391,7.82,-222.633
392,7.84,-222.689
393,7.86,-222.884
394,7.88,-222.372
395,7.90,-222.856
396,7.92,-222.642
397,7.94,-222.754
398,7.96,-222.735
399,7.98,-222.735
400,8.00,-222.772
401,8.02,-222.800
402,8.04,-222.549
403,8.06,-222.707
404,8.08,-222.363
405,8.10,-222.679
406,8.12,-222.838
407,8.14,-222.558
408,8.16,-222.530
409,8.18,-222.344
410,8.20,-222.512
411,8.22,-222.586
412,8.24,-222.949
413,8.26,-222.828
414,8.28,-222.847
415,8.30,-222.903
416,8.32,-222.893
417,8.34,-222.912
418,8.36,-223.024
419,8.38,-222.856
420,8.40,-222.959
421,8.42,-222.828
422,8.44,-222.949
423,8.46,-222.661
424,8.48,-222.735
425,8.50,-223.080
426,8.52,-223.201
427,8.54,-222.931
428,8.56,-223.005
429,8.58,-223.136
430,8.60,-222.987
431,8.62,-222.912
432,8.64,-222.577
433,8.66,-223.126
434,8.68,-223.098
435,8.70,-223.126
436,8.72,-223.247
437,8.74,-223.126
438,8.76,-223.117
439,8.78,-222.940
440,8.80,-223.238
441,8.82,-222.772
442,8.84,-223.415
443,8.86,-223.089
444,8.88,-223.275
445,8.90,-223.210
446,8.92,-223.042
447,8.94,-223.396
448,8.96,-223.089
449,8.98,-223.182
450,9.00,-223.378
451,9.02,-223.443
452,9.04,-223.499
453,9.06,-223.629
454,9.08,-223.983
455,9.10,-223.545
456,9.12,-223.499
457,9.14,-223.638
458,9.16,-223.704
459,9.18,-223.666
460,9.20,-223.555
461,9.22,-223.937
462,9.24,-223.648
463,9.26,-223.992
464,9.28,-224.179
465,9.30,-223.555
466,9.32,-223.788
467,9.34,-224.086
468,9.36,-223.694
469,9.38,-223.788
470,9.40,-223.592
471,9.42,-223.555
472,9.44,-223.797
473,9.46,-223.862
474,9.48,-223.769
475,9.50,-224.011
476,9.52,-224.030
477,9.54,-223.890
478,9.56,-223.769
479,9.58,-223.815
480,9.60,-224.020
481,9.62,-223.862
482,9.64,-223.881
483,9.66,-223.815
484,9.68,-223.881
485,9.70,-224.086
486,9.72,-224.067
487,9.74,-224.272
488,9.76,-223.881
489,9.78,-224.356
490,9.80,-224.300
491,9.82,-224.216
492,9.84,-224.384
493,9.86,-224.272
494,9.88,-224.356
495,9.90,-224.635
496,9.92,-224.290
497,9.94,-224.179
498,9.96,-224.458
499,9.98,-224.309
500,10.00,-224.654
501,10.02,-224.225
502,10.04,-224.710
503,10.06,-224.560
504,10.08,-224.411
505,10.10,-224.514
506,10.12,-224.877
507,10.14,-224.458
508,10.16,-224.812
509,10.18,-224.756
510,10.20,-224.477
511,10.22,-224.719
512,10.24,-224.924
513,10.26,-224.663
514,10.28,-224.616
515,10.30,-224.756
516,10.32,-224.924
517,10.34,-224.635
518,10.36,-224.896
519,10.38,-224.831
520,10.40,-225.045
521,10.42,-224.877
522,10.44,-225.045
523,10.46,-224.728
524,10.48,-224.877
525,10.50,-225.026
526,10.52,-224.970
527,10.54,-224.980
528,10.56,-224.914
529,10.58,-224.439
530,10.60,-224.598
531,10.62,-224.793
532,10.64,-224.747
533,10.66,-224.970
534,10.68,-224.905
535,10.70,-225.073
536,10.72,-224.719
537,10.74,-225.203
538,10.76,-224.775
539,10.78,-224.877
540,10.80,-224.682
541,10.82,-224.737
542,10.84,-224.747
543,10.86,-224.710
544,10.88,-224.588
545,10.90,-224.877
546,10.92,-224.765
547,10.94,-224.747
548,10.96,-224.542
549,10.98,-224.849
550,11.00,-225.203
551,11.02,-224.886
552,11.04,-224.672
553,11.06,-224.719
554,11.08,-224.672
555,11.10,-224.635
556,11.12,-224.672
557,11.14,-224.430
558,11.16,-224.486
559,11.18,-224.533
560,11.20,-224.588
561,11.22,-224.421
562,11.24,-224.244
563,11.26,-224.523
564,11.28,-224.467
565,11.30,-224.663
566,11.32,-224.402
567,11.34,-224.188
568,11.36,-224.225
569,11.38,-224.225
570,11.40,-224.439
571,11.42,-224.160
572,11.44,-224.505
573,11.46,-224.384
574,11.48,-224.346
575,11.50,-224.467
576,11.52,-224.505
577,11.54,-224.467
578,11.56,-224.356
579,11.58,-224.197
580,11.60,-224.076
581,11.62,-224.216
582,11.64,-224.216
583,11.66,-224.188
584,11.68,-224.020
585,11.70,-224.086
586,11.72,-223.890
587,11.74,-224.104
588,11.76,-224.160
589,11.78,-224.104
590,11.80,-224.151
591,11.82,-224.188
592,11.84,-224.300
