TTB Table No. 6:  SHOWING RESPECTIVE VOLUMES OF ALCOHOL AND WATER AND THE SPECIFIC GRAVITY IN BOTH AIR AND VACUUM OF SPIRITUOUS LIQUOR,,,,,,,,,
,,,,,,,,,
"Digitized, proofread, and edited by Max Oppedahl and Greg Miller.   Please report errors/problems to grgmiller@ucdavis.edu.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Proof,Alcohol,Water,"Specific
gravity
in air","Specific
gravity in
vacuum",,,,,
1,0.50,99.53,0.99925,0.99925,,,,,
2,1.00,99.06,0.99850,0.99850,,,,,
3,1.50,98.58,0.99776,0.99776,,,,,
4,2.00,98.12,0.99703,0.99703,,,,,
5,2.50,97.65,0.99630,0.99630,,,,,
6,3.00,97.18,0.99559,0.99559,,,,,
7,3.50,96.71,0.99487,0.99488,,,,,
8,4.00,96.24,0.99418,0.99419,,,,,
9,4.50,95.78,0.99349,0.99350,,,,,
10,5.00,95.31,0.99281,0.99282,,,,,
11,5.50,94.85,0.99214,0.99215,,,,,
12,6.00,94.39,0.99149,0.99150,,,,,
13,6.50,93.93,0.99084,0.99085,,,,,
14,7.00,93.46,0.99021,0.99022,,,,,
15,7.50,93.01,0.98959,0.98960,,,,,
16,8.00,92.55,0.98898,0.98899,,,,,
17,8.50,92.09,0.98837,0.98838,,,,,
18,9.00,91.63,0.98778,0.98779,,,,,
19,9.50,91.18,0.98719,0.98720,,,,,
20,10.00,90.72,0.98660,0.98661,,,,,
21,10.50,90.27,0.98601,0.98602,,,,,
22,11.00,89.81,0.98543,0.98544,,,,,
23,11.50,89.36,0.98485,0.98487,,,,,
24,12.00,88.90,0.98428,0.98430,,,,,
25,12.50,88.45,0.98372,0.98374,,,,,
26,13.00,88.00,0.98317,0.98319,,,,,
27,13.50,87.55,0.98262,0.98264,,,,,
28,14.00,87.10,0.98208,0.98210,,,,,
29,14.50,86.65,0.98155,0.98157,,,,,
30,15.00,86.20,0.98102,0.98104,,,,,
31,15.50,85.75,0.98049,0.98051,,,,,
32,16.00,85.30,0.97996,0.97998,,,,,
33,16.50,84.85,0.97944,0.97946,,,,,
34,17.00,84.40,0.97893,0.97895,,,,,
35,17.50,83.95,0.97842,0.97844,,,,,
36,18.00,83.50,0.97792,0.97794,,,,,
37,18.50,83.06,0.97742,0.97744,,,,,
38,19.00,82.61,0.97692,0.97694,,,,,
39,19.50,82.16,0.97643,0.97645,,,,,
40,20.00,81.72,0.97594,0.97596,,,,,
41,20.50,81.27,0.97544,0.97546,,,,,
42,21.00,80.82,0.97492,0.97496,,,,,
43,21.50,80.38,0.97442,0.97446,,,,,
44,22.00,79.93,0.97391,0.97395,,,,,
45,22.50,79.48,0.97340,0.97344,,,,,
46,23.00,79.03,0.97289,0.97293,,,,,
47,23.50,78.58,0.97237,0.97241,,,,,
48,24.00,78.14,0.97185,0.97189,,,,,
49,24.50,77.69,0.97133,0.97137,,,,,
50,25.00,77.24,0.97080,0.97084,,,,,
51,25.50,76.79,0.97027,0.97031,,,,,
52,26.00,76.34,0.96974,0.96978,,,,,
53,26.50,75.89,0.96920,0.96924,,,,,
54,27.00,75.44,0.96866,0.96870,,,,,
55,27.50,74.98,0.96811,0.96815,,,,,
56,28.00,74.53,0.96756,0.96760,,,,,
57,28.50,74.08,0.96700,0.96704,,,,,
58,29.00,73.62,0.96644,0.96648,,,,,
59,29.50,73.17,0.96587,0.96591,,,,,
60,30.00,72.72,0.96530,0.96534,,,,,
