Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 519
Start Time: 1/18/2023 3:09:28.4 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,0.720,1.383
1,0.1,0.698,1.396
2,0.2,0.701,1.382
3,0.3,0.690,1.377
4,0.4,0.674,1.362
5,0.5,0.669,1.363
6,0.6,0.662,1.362
7,0.7,0.645,1.357
8,0.8,0.636,1.362
9,0.9,0.637,1.347
10,1.0,0.615,1.307
11,1.1,0.596,1.320
12,1.2,0.574,1.341
13,1.3,0.545,1.360
14,1.4,0.535,1.358
15,1.5,0.512,1.361
16,1.6,0.485,1.355
17,1.7,0.458,1.350
18,1.8,0.455,1.346
19,1.9,0.431,1.347
20,2.0,0.420,1.349
21,2.1,0.426,1.344
22,2.2,0.420,1.352
23,2.3,0.409,1.347
24,2.4,0.396,1.341
25,2.5,0.395,1.351
26,2.6,0.395,1.345
27,2.7,0.390,1.347
28,2.8,0.388,1.341
29,2.9,0.379,1.341
30,3.0,0.376,1.345
31,3.1,0.372,1.341
32,3.2,0.374,1.334
33,3.3,0.369,1.346
34,3.4,0.361,1.342
35,3.5,0.378,1.335
36,3.6,0.357,1.344
37,3.7,0.362,1.341
38,3.8,0.359,1.339
39,3.9,0.349,1.342
40,4.0,0.355,1.334
41,4.1,0.358,1.334
42,4.2,0.351,1.346
43,4.3,0.349,1.334
44,4.4,0.352,1.345
45,4.5,0.337,1.346
46,4.6,0.347,1.345
47,4.7,0.340,1.336
48,4.8,0.327,1.341
49,4.9,0.333,1.336
50,5.0,0.323,1.342
51,5.1,0.317,1.355
52,5.2,0.318,1.338
53,5.3,0.317,1.345
54,5.4,0.316,1.355
55,5.5,0.314,1.344
56,5.6,0.316,1.344
57,5.7,0.316,1.369
58,5.8,0.312,1.343
59,5.9,0.309,1.352
60,6.0,0.308,1.354
61,6.1,0.312,1.359
62,6.2,0.318,1.354
63,6.3,0.305,1.360
64,6.4,0.315,1.350
65,6.5,0.309,1.351
66,6.6,0.309,1.364
67,6.7,0.312,1.355
68,6.8,0.303,1.362
69,6.9,0.304,1.362
70,7.0,0.306,1.356
71,7.1,0.304,1.365
72,7.2,0.303,1.360
73,7.3,0.300,1.369
74,7.4,0.296,1.359
75,7.5,0.298,1.370
76,7.6,0.303,1.365
77,7.7,0.300,1.365
78,7.8,0.298,1.366
79,7.9,0.302,1.362
80,8.0,0.292,1.373
81,8.1,0.298,1.354
82,8.2,0.300,1.369
83,8.3,0.294,1.375
84,8.4,0.289,1.366
85,8.5,0.284,1.373
86,8.6,0.283,1.376
87,8.7,0.287,1.380
88,8.8,0.286,1.370
89,8.9,0.281,1.388
90,9.0,0.275,1.367
91,9.1,0.284,1.373
92,9.2,0.271,1.394
93,9.3,0.275,1.376
94,9.4,0.285,1.387
95,9.5,0.267,1.388
96,9.6,0.276,1.374
97,9.7,0.275,1.380
98,9.8,0.275,1.391
99,9.9,0.276,1.395
100,10.0,0.280,1.386
101,10.1,0.276,1.399
102,10.2,0.274,1.391
103,10.3,0.272,1.396
104,10.4,0.276,1.395
105,10.5,0.267,1.392
106,10.6,0.271,1.392
107,10.7,0.265,1.384
108,10.8,0.266,1.389
109,10.9,0.273,1.397
110,11.0,0.266,1.402
111,11.1,0.269,1.402
112,11.2,0.269,1.394
113,11.3,0.268,1.395
114,11.4,0.274,1.383
115,11.5,0.267,1.401
116,11.6,0.258,1.402
117,11.7,0.267,1.394
118,11.8,0.268,1.406
119,11.9,0.262,1.405
120,12.0,0.271,1.399
121,12.1,0.254,1.405
122,12.2,0.264,1.405
123,12.3,0.256,1.405
124,12.4,0.274,1.411
125,12.5,0.260,1.406
126,12.6,0.265,1.405
127,12.7,0.269,1.414
128,12.8,0.267,1.407
129,12.9,0.264,1.411
130,13.0,0.261,1.412
131,13.1,0.259,1.403
132,13.2,0.269,1.418
133,13.3,0.257,1.419
134,13.4,0.257,1.406
135,13.5,0.259,1.419
136,13.6,0.257,1.425
137,13.7,0.272,1.430
138,13.8,0.265,1.415
139,13.9,0.258,1.427
140,14.0,0.260,1.426
141,14.1,0.260,1.419
142,14.2,0.266,1.424
143,14.3,0.264,1.427
144,14.4,0.262,1.428
145,14.5,0.255,1.434
146,14.6,0.266,1.425
147,14.7,0.264,1.421
148,14.8,0.257,1.426
149,14.9,0.259,1.433
150,15.0,0.255,1.431
151,15.1,0.257,1.438
152,15.2,0.255,1.426
153,15.3,0.262,1.426
154,15.4,0.249,1.437
155,15.5,0.264,1.434
156,15.6,0.256,1.439
157,15.7,0.258,1.444
158,15.8,0.253,1.433
159,15.9,0.264,1.442
160,16.0,0.266,1.452
161,16.1,0.265,1.433
162,16.2,0.253,1.450
163,16.3,0.260,1.440
164,16.4,0.259,1.443
165,16.5,0.257,1.453
166,16.6,0.246,1.438
167,16.7,0.242,1.426
168,16.8,0.266,1.456
169,16.9,0.265,1.444
170,17.0,0.271,1.451
171,17.1,0.260,1.460
172,17.2,0.257,1.451
173,17.3,0.263,1.454
174,17.4,0.256,1.445
175,17.5,0.255,1.457
176,17.6,0.256,1.455
177,17.7,0.265,1.454
178,17.8,0.256,1.453
179,17.9,0.263,1.457
180,18.0,0.260,1.461
181,18.1,0.270,1.460
182,18.2,0.269,1.459
183,18.3,0.259,1.456
184,18.4,0.278,1.458
185,18.5,0.270,1.460
186,18.6,0.263,1.464
187,18.7,0.270,1.453
188,18.8,0.265,1.464
189,18.9,0.262,1.466
190,19.0,0.269,1.461
191,19.1,0.275,1.477
192,19.2,0.272,1.473
193,19.3,0.276,1.468
194,19.4,0.275,1.477
195,19.5,0.277,1.487
196,19.6,0.280,1.484
197,19.7,0.281,1.479
198,19.8,0.269,1.478
199,19.9,0.283,1.468
200,20.0,0.275,1.488
201,20.1,0.278,1.488
202,20.2,0.275,1.478
203,20.3,0.274,1.487
204,20.4,0.273,1.497
205,20.5,0.284,1.483
206,20.6,0.271,1.496
207,20.7,0.277,1.487
208,20.8,0.287,1.476
209,20.9,0.274,1.486
210,21.0,0.281,1.485
211,21.1,0.278,1.487
212,21.2,0.278,1.490
213,21.3,0.277,1.483
214,21.4,0.284,1.498
215,21.5,0.276,1.498
216,21.6,0.279,1.490
217,21.7,0.286,1.489
218,21.8,0.280,1.506
219,21.9,0.285,1.501
