Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 510
Start Time: 1/18/2023 3:24:03.0 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-209.352
1,0.1,-209.967
2,0.2,-209.864
3,0.3,-210.106
4,0.4,-209.929
5,0.5,-210.078
6,0.6,-210.097
7,0.7,-209.892
8,0.8,-209.920
9,0.9,-209.976
10,1.0,-210.041
11,1.1,-209.585
12,1.2,-210.041
13,1.3,-210.023
14,1.4,-209.920
15,1.5,-210.339
16,1.6,-210.209
17,1.7,-210.013
18,1.8,-210.246
19,1.9,-210.432
20,2.0,-210.172
21,2.1,-209.995
22,2.2,-209.939
23,2.3,-209.948
24,2.4,-210.349
25,2.5,-210.172
26,2.6,-210.172
27,2.7,-210.181
28,2.8,-210.060
29,2.9,-210.246
30,3.0,-210.227
31,3.1,-210.423
32,3.2,-210.209
33,3.3,-209.920
34,3.4,-210.246
35,3.5,-210.507
36,3.6,-209.939
37,3.7,-209.734
38,3.8,-210.311
39,3.9,-210.097
40,4.0,-210.227
41,4.1,-210.032
42,4.2,-209.808
43,4.3,-209.920
44,4.4,-210.041
45,4.5,-209.976
46,4.6,-210.106
47,4.7,-210.032
48,4.8,-210.153
49,4.9,-210.078
50,5.0,-209.995
51,5.1,-209.622
52,5.2,-209.967
53,5.3,-210.125
54,5.4,-209.743
55,5.5,-209.697
56,5.6,-209.790
57,5.7,-210.153
58,5.8,-209.697
59,5.9,-209.752
60,6.0,-210.200
61,6.1,-210.032
62,6.2,-209.836
63,6.3,-209.864
64,6.4,-209.762
65,6.5,-209.827
66,6.6,-209.920
67,6.7,-209.631
68,6.8,-209.734
69,6.9,-209.622
70,7.0,-209.864
71,7.1,-209.715
72,7.2,-209.967
73,7.3,-210.209
74,7.4,-209.976
75,7.5,-210.106
76,7.6,-209.948
77,7.7,-210.106
78,7.8,-210.088
79,7.9,-210.088
80,8.0,-209.957
81,8.1,-209.864
82,8.2,-210.013
83,8.3,-210.078
84,8.4,-209.725
85,8.5,-209.939
86,8.6,-209.948
87,8.7,-209.901
88,8.8,-209.836
89,8.9,-209.687
90,9.0,-209.985
91,9.1,-209.985
92,9.2,-209.743
93,9.3,-210.134
94,9.4,-210.125
95,9.5,-210.106
96,9.6,-210.060
97,9.7,-209.929
98,9.8,-209.976
99,9.9,-209.995
100,10.0,-209.454
101,10.1,-210.144
102,10.2,-209.901
103,10.3,-210.293
104,10.4,-210.293
105,10.5,-210.078
106,10.6,-209.846
107,10.7,-210.134
108,10.8,-210.209
109,10.9,-210.181
110,11.0,-210.125
111,11.1,-210.274
112,11.2,-209.976
113,11.3,-210.209
114,11.4,-210.060
115,11.5,-210.227
116,11.6,-209.929
117,11.7,-210.218
118,11.8,-210.349
119,11.9,-210.097
120,12.0,-210.302
121,12.1,-209.957
122,12.2,-210.246
123,12.3,-210.153
124,12.4,-210.386
125,12.5,-210.227
126,12.6,-210.283
127,12.7,-210.088
128,12.8,-210.190
129,12.9,-210.162
130,13.0,-210.078
131,13.1,-210.544
132,13.2,-210.404
133,13.3,-210.507
134,13.4,-210.218
135,13.5,-210.339
136,13.6,-210.395
137,13.7,-210.013
138,13.8,-210.349
139,13.9,-210.283
140,14.0,-210.349
141,14.1,-210.237
142,14.2,-210.246
143,14.3,-210.237
144,14.4,-210.358
145,14.5,-210.125
146,14.6,-210.470
147,14.7,-210.274
148,14.8,-210.432
149,14.9,-210.665
150,15.0,-210.535
151,15.1,-210.451
152,15.2,-210.600
153,15.3,-210.674
154,15.4,-210.796
155,15.5,-210.525
156,15.6,-210.395
157,15.7,-210.525
158,15.8,-210.395
159,15.9,-210.637
160,16.0,-210.274
161,16.1,-210.684
162,16.2,-210.200
163,16.3,-210.330
164,16.4,-210.386
165,16.5,-210.404
166,16.6,-210.330
167,16.7,-210.414
168,16.8,-210.693
169,16.9,-210.721
170,17.0,-210.814
171,17.1,-210.889
172,17.2,-210.879
173,17.3,-210.395
174,17.4,-210.414
175,17.5,-210.572
176,17.6,-210.702
177,17.7,-210.283
178,17.8,-210.619
179,17.9,-210.870
180,18.0,-210.581
181,18.1,-210.917
182,18.2,-210.917
183,18.3,-210.693
184,18.4,-210.879
185,18.5,-210.721
186,18.6,-210.684
187,18.7,-210.665
188,18.8,-210.702
189,18.9,-211.000
190,19.0,-210.935
191,19.1,-211.205
192,19.2,-210.963
193,19.3,-210.926
194,19.4,-211.224
195,19.5,-211.224
196,19.6,-211.122
197,19.7,-211.131
198,19.8,-211.047
199,19.9,-211.075
200,20.0,-211.196
201,20.1,-211.103
202,20.2,-211.271
203,20.3,-211.392
204,20.4,-211.140
205,20.5,-210.954
206,20.6,-211.010
207,20.7,-211.047
208,20.8,-211.429
209,20.9,-211.047
210,21.0,-211.103
211,21.1,-211.038
212,21.2,-210.730
213,21.3,-210.535
214,21.4,-210.721
215,21.5,-211.010
216,21.6,-210.777
217,21.7,-210.805
218,21.8,-210.870
219,21.9,-210.796
220,22.0,-210.693
221,22.1,-210.842
222,22.2,-210.917
223,22.3,-210.870
224,22.4,-210.376
225,22.5,-210.553
226,22.6,-210.674
227,22.7,-210.740
228,22.8,-210.591
229,22.9,-210.246
230,23.0,-210.116
231,23.1,-210.367
232,23.2,-210.525
233,23.3,-210.414
234,23.4,-210.386
235,23.5,-210.432
236,23.6,-210.162
237,23.7,-210.293
238,23.8,-210.404
239,23.9,-210.516
240,24.0,-210.349
241,24.1,-210.153
242,24.2,-210.181
243,24.3,-210.172
244,24.4,-210.330
245,24.5,-210.050
246,24.6,-210.330
247,24.7,-210.218
248,24.8,-210.172
249,24.9,-210.293
250,25.0,-210.200
251,25.1,-210.535
252,25.2,-210.451
253,25.3,-210.172
254,25.4,-210.423
255,25.5,-210.134
256,25.6,-210.488
257,25.7,-210.833
258,25.8,-210.628
259,25.9,-210.451
260,26.0,-210.498
261,26.1,-210.488
262,26.2,-210.553
