Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 510
Start Time: 1/18/2023 3:19:05.0 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-250.079
1,0.1,-249.781
2,0.2,-249.883
3,0.3,-249.902
4,0.4,-250.125
5,0.5,-249.585
6,0.6,-249.678
7,0.7,-249.846
8,0.8,-250.088
9,0.9,-249.725
10,1.0,-249.818
11,1.1,-249.986
12,1.2,-250.284
13,1.3,-249.976
14,1.4,-250.200
15,1.5,-250.135
16,1.6,-250.312
17,1.7,-250.060
18,1.8,-250.591
19,1.9,-250.181
20,2.0,-250.470
21,2.1,-250.619
22,2.2,-250.656
23,2.3,-250.628
24,2.4,-250.414
25,2.5,-250.600
26,2.6,-250.470
27,2.7,-250.833
28,2.8,-250.554
29,2.9,-250.572
30,3.0,-250.731
31,3.1,-250.945
32,3.2,-250.880
33,3.3,-250.703
34,3.4,-250.619
35,3.5,-250.302
36,3.6,-250.600
37,3.7,-250.610
38,3.8,-250.693
39,3.9,-250.805
40,4.0,-251.047
41,4.1,-250.833
42,4.2,-251.317
43,4.3,-250.936
44,4.4,-251.075
45,4.5,-250.889
46,4.6,-251.215
47,4.7,-251.336
48,4.8,-251.262
49,4.9,-251.113
50,5.0,-251.457
51,5.1,-251.662
52,5.2,-251.811
53,5.3,-251.653
54,5.4,-251.792
55,5.5,-252.211
56,5.6,-252.267
57,5.7,-252.305
58,5.8,-252.388
59,5.9,-252.528
60,6.0,-252.519
61,6.1,-252.705
62,6.2,-252.966
63,6.3,-252.929
64,6.4,-253.161
65,6.5,-253.022
66,6.6,-253.096
67,6.7,-252.984
68,6.8,-252.761
69,6.9,-252.705
70,7.0,-253.217
71,7.1,-252.882
72,7.2,-252.919
73,7.3,-252.938
74,7.4,-253.227
75,7.5,-253.115
76,7.6,-253.376
77,7.7,-253.320
78,7.8,-253.459
79,7.9,-253.543
80,8.0,-253.487
81,8.1,-253.646
82,8.2,-253.431
83,8.3,-253.357
84,8.4,-253.422
85,8.5,-253.553
86,8.6,-253.636
87,8.7,-253.329
88,8.8,-253.888
89,8.9,-253.925
90,9.0,-253.916
91,9.1,-254.121
92,9.2,-254.177
93,9.3,-254.503
94,9.4,-254.596
95,9.5,-254.503
96,9.6,-254.456
97,9.7,-254.456
98,9.8,-254.763
99,9.9,-255.043
100,10.0,-254.763
101,10.1,-254.828
102,10.2,-255.154
103,10.3,-255.583
104,10.4,-255.750
105,10.5,-255.872
106,10.6,-256.207
107,10.7,-256.402
108,10.8,-256.514
109,10.9,-256.766
110,11.0,-256.766
111,11.1,-257.064
112,11.2,-257.418
113,11.3,-257.520
114,11.4,-257.688
115,11.5,-257.893
116,11.6,-258.135
117,11.7,-258.302
118,11.8,-258.544
119,11.9,-258.693
120,12.0,-259.010
121,12.1,-258.815
122,12.2,-259.224
123,12.3,-259.131
124,12.4,-259.168
125,12.5,-259.392
126,12.6,-259.401
127,12.7,-259.429
128,12.8,-259.541
129,12.9,-259.494
130,13.0,-259.355
131,13.1,-259.532
132,13.2,-259.746
133,13.3,-259.671
134,13.4,-259.895
135,13.5,-260.035
136,13.6,-259.988
137,13.7,-260.239
138,13.8,-260.286
139,13.9,-260.370
140,14.0,-260.323
141,14.1,-260.379
142,14.2,-260.407
143,14.3,-260.174
144,14.4,-260.463
145,14.5,-260.640
146,14.6,-260.733
147,14.7,-260.537
148,14.8,-260.426
149,14.9,-260.519
150,15.0,-260.798
151,15.1,-260.547
152,15.2,-260.379
153,15.3,-260.677
154,15.4,-260.808
155,15.5,-260.826
156,15.6,-260.286
157,15.7,-260.724
158,15.8,-261.040
159,15.9,-260.519
160,16.0,-260.081
161,16.1,-260.547
162,16.2,-260.342
163,16.3,-260.221
164,16.4,-260.156
165,16.5,-260.621
166,16.6,-260.537
167,16.7,-260.510
168,16.8,-260.314
169,16.9,-260.351
170,17.0,-260.007
171,17.1,-260.435
172,17.2,-260.258
173,17.3,-260.193
174,17.4,-260.212
175,17.5,-260.109
176,17.6,-260.258
177,17.7,-260.212
178,17.8,-260.202
179,17.9,-260.500
180,18.0,-260.333
181,18.1,-260.342
182,18.2,-260.472
183,18.3,-260.212
184,18.4,-260.584
185,18.5,-260.519
186,18.6,-260.361
187,18.7,-260.230
188,18.8,-260.500
189,18.9,-260.342
190,19.0,-260.584
191,19.1,-260.537
192,19.2,-260.472
193,19.3,-260.733
194,19.4,-260.985
195,19.5,-260.714
196,19.6,-260.975
197,19.7,-261.115
198,19.8,-261.515
199,19.9,-261.171
200,20.0,-261.590
201,20.1,-261.655
202,20.2,-261.683
203,20.3,-261.553
204,20.4,-261.972
205,20.5,-261.776
206,20.6,-261.553
207,20.7,-261.813
208,20.8,-261.776
209,20.9,-261.664
210,21.0,-261.525
211,21.1,-261.664
212,21.2,-261.404
213,21.3,-261.795
214,21.4,-261.553
215,21.5,-261.450
216,21.6,-261.394
217,21.7,-261.031
218,21.8,-261.134
219,21.9,-261.050
220,22.0,-260.482
221,22.1,-260.286
222,22.2,-260.351
223,22.3,-260.351
224,22.4,-260.016
225,22.5,-259.876
226,22.6,-260.239
227,22.7,-259.588
228,22.8,-259.522
229,22.9,-259.345
230,23.0,-259.262
231,23.1,-259.429
232,23.2,-259.392
233,23.3,-259.634
234,23.4,-259.029
235,23.5,-259.299
236,23.6,-258.973
237,23.7,-259.019
238,23.8,-259.029
239,23.9,-258.880
240,24.0,-258.982
241,24.1,-258.675
242,24.2,-258.647
243,24.3,-258.591
244,24.4,-258.200
245,24.5,-258.256
246,24.6,-258.237
247,24.7,-257.986
248,24.8,-257.883
249,24.9,-257.678
250,25.0,-257.706
251,25.1,-257.520
252,25.2,-257.352
253,25.3,-257.511
254,25.4,-257.362
255,25.5,-257.101
256,25.6,-256.980
257,25.7,-256.803
258,25.8,-256.542
259,25.9,-256.635
260,26.0,-256.421
261,26.1,-256.496
262,26.2,-255.983
263,26.3,-255.480
264,26.4,-255.676
265,26.5,-255.695
266,26.6,-255.406
267,26.7,-255.108
268,26.8,-254.996
269,26.9,-254.894
270,27.0,-254.828
271,27.1,-254.428
272,27.2,-254.437
273,27.3,-254.037
274,27.4,-253.636
275,27.5,-253.618
276,27.6,-253.255
277,27.7,-253.525
278,27.8,-252.891
279,27.9,-252.640
280,28.0,-252.584
281,28.1,-252.537
282,28.2,-251.988
283,28.3,-251.709
284,28.4,-251.327
285,28.5,-251.420
286,28.6,-251.448
287,28.7,-251.271
288,28.8,-250.749
289,28.9,-250.591
290,29.0,-250.526
291,29.1,-250.256
292,29.2,-250.218
293,29.3,-249.548
