Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 507
Start Time: 1/18/2023 3:38:34.6 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,3042.808
1,0.1,3039.883
2,0.2,3044.633
3,0.3,3047.558
4,0.4,3045.369
5,0.5,3045.080
6,0.6,3046.123
7,0.7,3046.794
8,0.8,3045.155
9,0.9,3042.342
10,1.0,3043.832
11,1.1,3048.321
12,1.2,3043.739
13,1.3,3040.489
14,1.4,3044.847
15,1.5,3048.489
16,1.6,3045.406
17,1.7,3041.886
18,1.8,3055.139
19,1.9,3051.329
20,2.0,3043.329
21,2.1,3041.578
22,2.2,3051.916
23,2.3,3065.104
24,2.4,3051.898
25,2.5,3041.886
26,2.6,3055.800
27,2.7,3053.341
28,2.8,3040.843
29,2.9,3034.966
30,3.0,3052.829
31,3.1,3051.972
32,3.2,3040.098
33,3.3,3044.894
34,3.4,3059.991
35,3.5,3053.704
36,3.6,3036.801
37,3.7,3041.103
38,3.8,3058.789
39,3.9,3057.038
40,4.0,3038.226
41,4.1,3035.804
42,4.2,3049.355
43,4.3,3054.049
44,4.4,3038.608
45,4.5,3038.021
46,4.6,3051.953
47,4.7,3050.892
48,4.8,3040.712
49,4.9,3038.971
50,5.0,3055.520
51,5.1,3051.739
52,5.2,3039.967
53,5.3,3036.857
54,5.4,3052.158
55,5.5,3052.950
56,5.6,3052.987
57,5.7,3038.961
58,5.8,3054.636
59,5.9,3056.554
60,6.0,3036.018
61,6.1,3031.623
62,6.2,3048.442
63,6.3,3052.382
64,6.4,3039.110
65,6.5,3031.595
66,6.6,3047.716
67,6.7,3055.716
68,6.8,3038.421
69,6.9,3035.786
70,7.0,3045.332
71,7.1,3048.843
72,7.2,3034.286
73,7.3,3043.544
74,7.4,3046.086
75,7.5,3046.272
76,7.6,3037.993
77,7.7,3041.448
78,7.8,3052.913
79,7.9,3052.065
80,8.0,3028.074
81,8.1,3030.421
82,8.2,3044.633
83,8.3,3046.105
84,8.4,3041.234
85,8.5,3032.610
86,8.6,3038.151
87,8.7,3047.436
88,8.8,3032.470
89,8.9,3034.119
90,9.0,3062.300
91,9.1,3055.511
92,9.2,3041.560
93,9.3,3042.528
94,9.4,3057.020
95,9.5,3052.698
96,9.6,3041.280
97,9.7,3040.684
98,9.8,3052.605
99,9.9,3046.673
100,10.0,3033.010
101,10.1,3044.782
102,10.2,3055.744
103,10.3,3050.594
104,10.4,3037.062
105,10.5,3046.719
106,10.6,3059.702
107,10.7,3048.982
108,10.8,3034.296
109,10.9,3046.570
110,11.0,3057.588
111,11.1,3050.584
112,11.2,3037.015
113,11.3,3041.578
114,11.4,3051.646
115,11.5,3052.233
116,11.6,3040.200
117,11.7,3042.389
118,11.8,3049.560
119,11.9,3046.719
120,12.0,3035.776
121,12.1,3041.448
122,12.2,3047.585
123,12.3,3042.063
124,12.4,3034.938
125,12.5,3038.105
126,12.6,3042.854
127,12.7,3042.258
128,12.8,3041.709
129,12.9,3041.839
130,13.0,3043.022
131,13.1,3040.470
132,13.2,3040.647
133,13.3,3050.007
134,13.4,3046.617
135,13.5,3040.442
136,13.6,3031.995
137,13.7,3036.857
138,13.8,3043.246
139,13.9,3036.233
140,14.0,3031.455
141,14.1,3039.669
142,14.2,3041.215
143,14.3,3033.001
144,14.4,3031.371
145,14.5,3038.300
146,14.6,3043.013
147,14.7,3035.385
148,14.8,3036.279
149,14.9,3048.247
150,15.0,3046.552
151,15.1,3036.745
152,15.2,3028.018
153,15.3,3037.862
154,15.4,3040.116
155,15.5,3035.106
156,15.6,3031.045
157,15.7,3041.057
158,15.8,3041.187
159,15.9,3036.987
160,16.0,3043.087
161,16.1,3051.478
162,16.2,3049.234
163,16.3,3040.936
164,16.4,3039.576
165,16.5,3052.009
166,16.6,3050.352
167,16.7,3043.106
168,16.8,3038.207
169,16.9,3051.674
170,17.0,3050.258
171,17.1,3042.528
172,17.2,3040.479
173,17.3,3049.374
174,17.4,3052.410
175,17.5,3041.839
176,17.6,3048.470
177,17.7,3050.715
178,17.8,3049.150
179,17.9,3046.300
180,18.0,3041.411
181,18.1,3051.860
182,18.2,3052.810
183,18.3,3043.627
184,18.4,3041.355
185,18.5,3047.315
186,18.6,3049.364
187,18.7,3042.640
188,18.8,3039.995
189,18.9,3051.972
190,19.0,3048.535
191,19.1,3038.915
192,19.2,3040.591
193,19.3,3049.122
194,19.4,3048.526
195,19.5,3038.561
196,19.6,3040.051
197,19.7,3050.361
198,19.8,3050.007
199,19.9,3038.226
200,20.0,3039.492
201,20.1,3050.296
202,20.2,3048.116
203,20.3,3039.455
204,20.4,3041.653
205,20.5,3050.696
206,20.6,3046.775
207,20.7,3038.151
208,20.8,3038.459
209,20.9,3048.582
210,21.0,3045.304
211,21.1,3036.931
212,21.2,3037.276
213,21.3,3045.229
214,21.4,3048.880
215,21.5,3038.300
216,21.6,3040.871
217,21.7,3048.740
218,21.8,3045.863
219,21.9,3035.543
220,22.0,3044.782
221,22.1,3055.893
222,22.2,3052.112
223,22.3,3037.229
224,22.4,3037.984
225,22.5,3046.449
226,22.6,3051.395
227,22.7,3043.124
228,22.8,3042.044
229,22.9,3050.240
230,23.0,3047.185
231,23.1,3040.945
232,23.2,3041.886
233,23.3,3047.427
234,23.4,3047.315
235,23.5,3044.726
236,23.6,3046.906
237,23.7,3052.987
238,23.8,3055.334
239,23.9,3042.659
240,24.0,3042.482
241,24.1,3050.482
242,24.2,3048.126
243,24.3,3041.876
244,24.4,3043.581
245,24.5,3049.728
246,24.6,3048.331
247,24.7,3040.144
248,24.8,3045.779
249,24.9,3051.246
250,25.0,3045.360
251,25.1,3040.303
252,25.2,3045.546
253,25.3,3049.532
254,25.4,3053.704
255,25.5,3041.364
256,25.6,3041.551
257,25.7,3049.793
258,25.8,3044.344
259,25.9,3041.001
260,26.0,3047.138
261,26.1,3054.421
