Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 508
Start Time: 1/18/2023 3:36:15.0 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,3033.867
1,0.1,3031.231
2,0.2,3030.440
3,0.3,3030.999
4,0.4,3031.436
5,0.5,3030.170
6,0.6,3030.011
7,0.7,3030.933
8,0.8,3031.027
9,0.9,3028.875
10,1.0,3028.279
11,1.1,3028.540
12,1.2,3028.838
13,1.3,3027.199
14,1.4,3026.761
15,1.5,3027.767
16,1.6,3028.773
17,1.7,3027.488
18,1.8,3026.845
19,1.9,3027.702
20,2.0,3028.885
21,2.1,3028.158
22,2.2,3027.776
23,2.3,3029.192
24,2.4,3029.732
25,2.5,3028.326
26,2.6,3028.326
27,2.7,3030.114
28,2.8,3030.570
29,2.9,3028.996
30,3.0,3028.093
31,3.1,3028.251
32,3.2,3029.378
33,3.3,3027.264
34,3.4,3026.845
35,3.5,3028.074
36,3.6,3029.807
37,3.7,3028.968
38,3.8,3029.369
39,3.9,3031.576
40,4.0,3032.777
41,4.1,3031.436
42,4.2,3030.030
43,4.3,3031.222
44,4.4,3032.489
45,4.5,3030.663
46,4.6,3030.021
47,4.7,3030.375
48,4.8,3029.993
49,4.9,3027.385
50,5.0,3026.417
51,5.1,3027.590
52,5.2,3028.959
53,5.3,3027.599
54,5.4,3027.255
55,5.5,3028.270
56,5.6,3029.155
57,5.7,3028.428
58,5.8,3028.875
59,5.9,3029.034
60,6.0,3029.788
61,6.1,3029.210
62,6.2,3029.304
63,6.3,3029.741
64,6.4,3030.105
65,6.5,3029.164
66,6.6,3030.580
67,6.7,3028.894
68,6.8,3028.149
69,6.9,3027.814
70,7.0,3030.021
71,7.1,3029.332
72,7.2,3028.130
73,7.3,3028.866
74,7.4,3030.933
75,7.5,3030.058
76,7.6,3029.779
77,7.7,3029.816
78,7.8,3031.800
79,7.9,3030.309
80,8.0,3027.990
81,8.1,3029.201
82,8.2,3032.284
83,8.3,3030.067
84,8.4,3027.413
85,8.5,3028.121
86,8.6,3030.747
87,8.7,3029.220
88,8.8,3026.994
89,8.9,3028.605
90,9.0,3031.716
91,9.1,3030.365
92,9.2,3027.804
93,9.3,3029.173
94,9.4,3030.645
95,9.5,3029.816
96,9.6,3027.860
97,9.7,3029.034
98,9.8,3031.474
99,9.9,3030.933
100,10.0,3027.990
101,10.1,3028.233
102,10.2,3029.704
103,10.3,3028.680
104,10.4,3026.780
105,10.5,3027.171
106,10.6,3028.661
107,10.7,3028.326
108,10.8,3025.979
109,10.9,3026.081
110,11.0,3027.478
111,11.1,3027.869
112,11.2,3026.109
113,11.3,3026.277
114,11.4,3027.096
115,11.5,3027.814
116,11.6,3026.528
117,11.7,3026.761
118,11.8,3027.469
119,11.9,3028.205
120,12.0,3026.715
121,12.1,3026.119
122,12.2,3026.519
123,12.3,3027.264
124,12.4,3025.774
125,12.5,3025.522
126,12.6,3025.690
127,12.7,3026.305
128,12.8,3025.029
129,12.9,3024.898
130,13.0,3026.295
131,13.1,3028.549
132,13.2,3026.687
133,13.3,3026.603
134,13.4,3027.823
135,13.5,3029.285
136,13.6,3027.152
137,13.7,3026.556
138,13.8,3026.975
139,13.9,3028.456
140,14.0,3027.441
141,14.1,3027.255
142,14.2,3027.990
143,14.3,3028.922
144,14.4,3026.938
145,14.5,3026.351
146,14.6,3026.957
147,14.7,3028.456
148,14.8,3027.134
149,14.9,3026.184
150,15.0,3026.668
151,15.1,3027.413
152,15.2,3025.793
153,15.3,3024.712
154,15.4,3025.867
155,15.5,3026.491
156,15.6,3025.774
157,15.7,3025.318
158,15.8,3026.687
159,15.9,3027.963
160,16.0,3026.305
161,16.1,3025.420
162,16.2,3027.096
163,16.3,3029.648
164,16.4,3027.804
165,16.5,3026.882
166,16.6,3027.515
167,16.7,3029.285
168,16.8,3028.037
169,16.9,3027.245
170,17.0,3028.745
171,17.1,3029.741
172,17.2,3028.335
173,17.3,3026.817
