Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 508
Start Time: 1/18/2023 3:30:54.3 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-1011.454
1,0.1,-1011.752
2,0.2,-1012.376
3,0.3,-1012.599
4,0.4,-1012.227
5,0.5,-1012.944
6,0.6,-1012.953
7,0.7,-1013.549
8,0.8,-1013.931
9,0.9,-1013.763
10,1.0,-1014.210
11,1.1,-1014.164
12,1.2,-1014.443
13,1.3,-1014.676
14,1.4,-1014.713
15,1.5,-1015.197
16,1.6,-1014.611
17,1.7,-1015.170
18,1.8,-1015.151
19,1.9,-1014.918
20,2.0,-1015.291
21,2.1,-1015.039
22,2.2,-1015.458
23,2.3,-1015.300
24,2.4,-1015.235
25,2.5,-1015.663
26,2.6,-1015.589
27,2.7,-1015.766
28,2.8,-1015.663
29,2.9,-1015.831
30,3.0,-1016.138
31,3.1,-1015.496
32,3.2,-1016.362
33,3.3,-1015.645
34,3.4,-1015.877
35,3.5,-1015.915
36,3.6,-1015.887
37,3.7,-1016.157
38,3.8,-1015.877
39,3.9,-1016.436
40,4.0,-1015.859
41,4.1,-1015.961
42,4.2,-1016.194
43,4.3,-1015.933
44,4.4,-1016.073
45,4.5,-1015.943
46,4.6,-1016.008
47,4.7,-1016.119
48,4.8,-1015.887
49,4.9,-1016.036
50,5.0,-1015.803
51,5.1,-1015.691
52,5.2,-1015.887
53,5.3,-1015.645
54,5.4,-1015.859
55,5.5,-1015.468
56,5.6,-1015.710
57,5.7,-1015.728
58,5.8,-1015.458
59,5.9,-1015.505
60,6.0,-1015.440
61,6.1,-1015.393
62,6.2,-1015.142
63,6.3,-1014.872
64,6.4,-1015.197
65,6.5,-1014.667
66,6.6,-1015.263
67,6.7,-1014.750
68,6.8,-1015.011
69,6.9,-1014.993
70,7.0,-1014.788
71,7.1,-1015.011
72,7.2,-1014.955
73,7.3,-1015.188
74,7.4,-1014.881
75,7.5,-1014.322
76,7.6,-1015.076
77,7.7,-1014.639
78,7.8,-1014.993
79,7.9,-1015.123
80,8.0,-1014.927
81,8.1,-1014.983
82,8.2,-1015.030
83,8.3,-1015.151
84,8.4,-1015.114
85,8.5,-1015.011
86,8.6,-1015.756
87,8.7,-1015.151
88,8.8,-1015.328
89,8.9,-1014.918
90,9.0,-1015.160
91,9.1,-1015.570
92,9.2,-1014.909
93,9.3,-1015.682
94,9.4,-1014.946
95,9.5,-1015.542
96,9.6,-1015.244
97,9.7,-1015.365
98,9.8,-1015.458
99,9.9,-1015.328
100,10.0,-1015.142
101,10.1,-1015.523
102,10.2,-1015.244
103,10.3,-1015.766
104,10.4,-1015.319
105,10.5,-1015.440
106,10.6,-1015.356
107,10.7,-1015.374
108,10.8,-1015.794
109,10.9,-1015.440
110,11.0,-1015.849
111,11.1,-1015.235
112,11.2,-1015.458
113,11.3,-1015.617
114,11.4,-1015.309
115,11.5,-1015.747
116,11.6,-1015.440
117,11.7,-1015.458
118,11.8,-1015.570
119,11.9,-1015.458
120,12.0,-1015.989
121,12.1,-1014.965
122,12.2,-1015.626
123,12.3,-1015.924
124,12.4,-1015.496
125,12.5,-1015.970
126,12.6,-1015.533
127,12.7,-1015.663
128,12.8,-1015.579
129,12.9,-1015.719
130,13.0,-1016.138
131,13.1,-1015.542
132,13.2,-1015.663
133,13.3,-1015.728
134,13.4,-1015.374
135,13.5,-1015.859
136,13.6,-1015.961
137,13.7,-1015.496
138,13.8,-1015.719
139,13.9,-1015.924
140,14.0,-1015.523
141,14.1,-1015.402
142,14.2,-1015.449
143,14.3,-1015.374
144,14.4,-1015.635
145,14.5,-1015.654
146,14.6,-1015.700
147,14.7,-1015.645
148,14.8,-1015.589
149,14.9,-1015.421
150,15.0,-1015.831
151,15.1,-1015.831
152,15.2,-1015.663
153,15.3,-1015.728
154,15.4,-1015.784
155,15.5,-1016.026
156,15.6,-1016.250
157,15.7,-1015.831
158,15.8,-1016.017
159,15.9,-1016.092
160,16.0,-1015.915
161,16.1,-1015.747
162,16.2,-1015.821
163,16.3,-1016.110
164,16.4,-1016.175
165,16.5,-1016.138
166,16.6,-1016.399
167,16.7,-1016.706
168,16.8,-1016.306
