Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 509
Start Time: 1/18/2023 3:44:47.4 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-1051.472
1,0.1,-1051.314
2,0.2,-1051.053
3,0.3,-1051.193
4,0.4,-1051.016
5,0.5,-1050.523
6,0.6,-1050.942
7,0.7,-1049.992
8,0.8,-1050.327
9,0.9,-1050.076
10,1.0,-1050.001
11,1.1,-1050.206
12,1.2,-1049.899
13,1.3,-1049.982
14,1.4,-1050.131
15,1.5,-1050.271
16,1.6,-1049.638
17,1.7,-1050.066
18,1.8,-1048.865
19,1.9,-1048.474
20,2.0,-1047.924
21,2.1,-1047.300
22,2.2,-1047.356
23,2.3,-1047.095
24,2.4,-1046.779
25,2.5,-1046.509
26,2.6,-1045.754
27,2.7,-1045.708
28,2.8,-1044.897
29,2.9,-1044.516
30,3.0,-1043.538
31,3.1,-1043.193
32,3.2,-1042.653
33,3.3,-1041.330
34,3.4,-1039.961
35,3.5,-1038.974
36,3.6,-1038.825
37,3.7,-1038.993
38,3.8,-1038.713
39,3.9,-1038.155
40,4.0,-1038.807
41,4.1,-1038.648
42,4.2,-1038.490
43,4.3,-1038.117
44,4.4,-1038.425
45,4.5,-1038.434
46,4.6,-1038.285
47,4.7,-1038.089
48,4.8,-1037.978
49,4.9,-1037.857
50,5.0,-1037.987
51,5.1,-1038.183
52,5.2,-1037.316
53,5.3,-1037.018
54,5.4,-1036.339
55,5.5,-1035.929
56,5.6,-1035.538
57,5.7,-1035.742
58,5.8,-1036.301
59,5.9,-1035.612
60,6.0,-1035.100
61,6.1,-1033.414
62,6.2,-1032.148
63,6.3,-1031.086
64,6.4,-1030.667
65,6.5,-1031.021
66,6.6,-1031.216
67,6.7,-1031.617
68,6.8,-1031.328
69,6.9,-1030.760
70,7.0,-1029.251
71,7.1,-1027.398
72,7.2,-1024.595
73,7.3,-1022.136
74,7.4,-1021.214
75,7.5,-1020.012
76,7.6,-1020.553
77,7.7,-1021.316
78,7.8,-1022.462
79,7.9,-1022.536
80,8.0,-1023.039
81,8.1,-1023.123
82,8.2,-1022.751
83,8.3,-1022.387
84,8.4,-1022.099
85,8.5,-1021.959
86,8.6,-1021.829
87,8.7,-1022.099
88,8.8,-1021.447
89,8.9,-1021.642
90,9.0,-1020.813
91,9.1,-1020.916
92,9.2,-1020.078
93,9.3,-1020.543
94,9.4,-1019.714
95,9.5,-1019.342
96,9.6,-1019.407
97,9.7,-1018.746
98,9.8,-1018.252
99,9.9,-1017.572
100,10.0,-1018.066
101,10.1,-1018.150
102,10.2,-1018.243
103,10.3,-1018.513
104,10.4,-1018.187
105,10.5,-1017.936
106,10.6,-1018.308
107,10.7,-1018.401
108,10.8,-1017.712
109,10.9,-1016.967
110,11.0,-1016.119
111,11.1,-1016.241
112,11.2,-1015.645
113,11.3,-1014.667
114,11.4,-1012.683
115,11.5,-1011.780
116,11.6,-1011.267
117,11.7,-1010.587
118,11.8,-1009.684
119,11.9,-1008.827
120,12.0,-1007.663
121,12.1,-1006.983
122,12.2,-1006.387
123,12.3,-1006.601
124,12.4,-1006.229
125,12.5,-1005.800
126,12.6,-1006.098
127,12.7,-1005.884
128,12.8,-1006.164
129,12.9,-1006.508
130,13.0,-1006.825
131,13.1,-1006.648
132,13.2,-1006.722
133,13.3,-1004.944
134,13.4,-1001.367
135,13.5,-998.462
136,13.6,-1002.345
137,13.7,-1005.903
138,13.8,-1007.020
139,13.9,-1007.663
140,14.0,-1009.954
141,14.1,-1011.193
142,14.2,-1013.475
143,14.3,-1016.296
144,14.4,-1017.805
145,14.5,-1019.295
146,14.6,-1021.884
147,14.7,-1023.617
148,14.8,-1026.290
149,14.9,-1025.572
150,15.0,-1026.895
151,15.1,-1027.333
152,15.2,-1028.068
153,15.3,-1028.748
154,15.4,-1028.217
155,15.5,-1027.938
156,15.6,-1028.460
157,15.7,-1028.497
158,15.8,-1028.636
159,15.9,-1028.841
160,16.0,-1029.568
161,16.1,-1029.931
162,16.2,-1030.117
163,16.3,-1030.071
164,16.4,-1030.331
165,16.5,-1030.425
166,16.6,-1030.080
167,16.7,-1029.912
168,16.8,-1030.117
169,16.9,-1030.331
170,17.0,-1030.415
171,17.1,-1030.136
172,17.2,-1030.387
173,17.3,-1030.089
174,17.4,-1030.359
175,17.5,-1030.229
176,17.6,-1030.145
177,17.7,-1029.922
178,17.8,-1029.903
179,17.9,-1030.173
180,18.0,-1029.782
181,18.1,-1030.006
182,18.2,-1029.670
183,18.3,-1030.033
184,18.4,-1029.912
185,18.5,-1030.257
186,18.6,-1030.341
187,18.7,-1029.549
188,18.8,-1029.493
189,18.9,-1029.167
190,19.0,-1028.981
191,19.1,-1027.342
192,19.2,-1027.090
193,19.3,-1025.656
194,19.4,-1024.138
195,19.5,-1023.812
196,19.6,-1022.024
197,19.7,-1020.962
198,19.8,-1019.137
199,19.9,-1017.787
200,20.0,-1017.079
201,20.1,-1016.567
202,20.2,-1016.716
203,20.3,-1016.976
204,20.4,-1016.632
205,20.5,-1016.902
206,20.6,-1016.641
207,20.7,-1016.846
208,20.8,-1016.585
209,20.9,-1017.069
210,21.0,-1017.302
211,21.1,-1017.433
212,21.2,-1017.293
213,21.3,-1017.675
214,21.4,-1018.178
215,21.5,-1016.781
216,21.6,-1015.840
217,21.7,-1015.142
218,21.8,-1014.853
219,21.9,-1014.154
220,22.0,-1013.950
221,22.1,-1012.739
222,22.2,-1012.096
223,22.3,-1012.012
224,22.4,-1010.066
225,22.5,-1010.112
226,22.6,-1009.665
227,22.7,-1009.824
228,22.8,-1009.637
229,22.9,-1009.293
230,23.0,-1009.516
231,23.1,-1009.377
232,23.2,-1009.488
233,23.3,-1009.339
234,23.4,-1008.669
235,23.5,-1008.408
236,23.6,-1007.114
237,23.7,-1006.136
238,23.8,-1004.031
239,23.9,-1002.252
240,24.0,-1001.181
241,24.1,-1001.209
242,24.2,-1000.799
243,24.3,-999.793
244,24.4,-999.700
245,24.5,-1000.268
246,24.6,-1001.637
247,24.7,-1001.898
248,24.8,-1001.991
249,24.9,-1004.171
250,25.0,-1005.419
251,25.1,-1006.071
252,25.2,-1006.443
253,25.3,-1006.015
254,25.4,-1006.089
255,25.5,-1006.648
256,25.6,-1005.987
257,25.7,-1006.154
258,25.8,-1004.888
259,25.9,-1003.779
260,26.0,-1003.575
261,26.1,-1005.195
262,26.2,-1007.151
263,26.3,-1009.060
264,26.4,-1011.770
265,26.5,-1013.437
266,26.6,-1015.197
267,26.7,-1016.641
268,26.8,-1017.312
269,26.9,-1018.764
270,27.0,-1021.447
271,27.1,-1022.806
272,27.2,-1023.300
273,27.3,-1024.054
274,27.4,-1024.604
275,27.5,-1023.998
276,27.6,-1023.989
277,27.7,-1023.291
278,27.8,-1022.629
279,27.9,-1021.838
280,28.0,-1021.558
281,28.1,-1021.205
282,28.2,-1020.823
283,28.3,-1020.366
284,28.4,-1020.757
285,28.5,-1020.916
286,28.6,-1019.510
287,28.7,-1018.336
288,28.8,-1018.299
289,28.9,-1017.991
290,29.0,-1017.991
291,29.1,-1017.302
292,29.2,-1017.228
293,29.3,-1016.697
294,29.4,-1016.976
295,29.5,-1016.529
296,29.6,-1016.539
297,29.7,-1016.967
298,29.8,-1017.349
299,29.9,-1017.479
300,30.0,-1017.340
301,30.1,-1017.721
302,30.2,-1017.815
303,30.3,-1018.373
304,30.4,-1018.709
305,30.5,-1018.634
306,30.6,-1019.398
307,30.7,-1019.360
308,30.8,-1019.994
309,30.9,-1019.519
310,31.0,-1020.255
311,31.1,-1020.543
312,31.2,-1020.627
313,31.3,-1020.618
314,31.4,-1020.636
315,31.5,-1020.962
316,31.6,-1020.432
317,31.7,-1020.823
318,31.8,-1021.009
319,31.9,-1021.065
320,32.0,-1021.726
321,32.1,-1022.136
322,32.2,-1022.285
323,32.3,-1023.300
324,32.4,-1023.719
325,32.5,-1023.728
326,32.6,-1024.073
327,32.7,-1023.831
328,32.8,-1023.933
329,32.9,-1024.446
330,33.0,-1024.837
331,33.1,-1024.958
332,33.2,-1025.153
333,33.3,-1024.995
334,33.4,-1025.088
335,33.5,-1024.427
336,33.6,-1024.026
