Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 11871
Start Time: 2/8/2023 2:18:16.849 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.268
1,0.001,0.269
2,0.002,0.268
3,0.003,0.270
4,0.004,0.270
5,0.005,0.268
6,0.006,0.268
7,0.007,0.270
8,0.008,0.269
9,0.009,0.269
10,0.010,0.268
11,0.011,0.270
12,0.012,0.268
13,0.013,0.269
14,0.014,0.268
15,0.015,0.271
16,0.016,0.268
17,0.017,0.269
18,0.018,0.269
19,0.019,0.269
20,0.020,0.270
21,0.021,0.269
22,0.022,0.267
23,0.023,0.268
24,0.024,0.268
25,0.025,0.267
26,0.026,0.269
27,0.027,0.268
28,0.028,0.269
29,0.029,0.269
30,0.030,0.269
31,0.031,0.269
32,0.032,0.269
33,0.033,0.268
34,0.034,0.268
35,0.035,0.268
36,0.036,0.268
37,0.037,0.267
38,0.038,0.269
39,0.039,0.268
40,0.040,0.270
41,0.041,0.270
42,0.042,0.269
43,0.043,0.269
44,0.044,0.268
45,0.045,0.268
46,0.046,0.268
47,0.047,0.269
48,0.048,0.269
49,0.049,0.269
50,0.050,0.269
51,0.051,0.268
52,0.052,0.270
53,0.053,0.270
54,0.054,0.269
55,0.055,0.270
56,0.056,0.269
57,0.057,0.269
58,0.058,0.268
59,0.059,0.268
60,0.060,0.269
61,0.061,0.269
62,0.062,0.269
63,0.063,0.270
64,0.064,0.268
65,0.065,0.269
66,0.066,0.270
67,0.067,0.270
68,0.068,0.269
69,0.069,0.269
70,0.070,0.268
71,0.071,0.267
72,0.072,0.266
73,0.073,0.268
74,0.074,0.268
75,0.075,0.270
76,0.076,0.267
77,0.077,0.269
78,0.078,0.269
79,0.079,0.268
80,0.080,0.268
81,0.081,0.271
82,0.082,0.268
83,0.083,0.270
84,0.084,0.268
85,0.085,0.270
86,0.086,0.271
87,0.087,0.269
88,0.088,0.268
89,0.089,0.269
90,0.090,0.268
91,0.091,0.270
92,0.092,0.269
93,0.093,0.268
94,0.094,0.269
95,0.095,0.268
96,0.096,0.267
97,0.097,0.268
98,0.098,0.268
99,0.099,0.268
100,0.100,0.267
101,0.101,0.268
102,0.102,0.270
103,0.103,0.267
104,0.104,0.269
105,0.105,0.269
106,0.106,0.270
107,0.107,0.266
108,0.108,0.269
109,0.109,0.269
110,0.110,0.269
111,0.111,0.267
112,0.112,0.268
113,0.113,0.270
114,0.114,0.270
115,0.115,0.269
116,0.116,0.270
117,0.117,0.269
118,0.118,0.268
119,0.119,0.268
120,0.120,0.270
121,0.121,0.270
122,0.122,0.268
123,0.123,0.271
124,0.124,0.268
125,0.125,0.269
126,0.126,0.268
127,0.127,0.271
128,0.128,0.271
129,0.129,0.269
130,0.130,0.269
131,0.131,0.270
132,0.132,0.268
133,0.133,0.268
134,0.134,0.269
135,0.135,0.268
136,0.136,0.269
137,0.137,0.269
138,0.138,0.268
139,0.139,0.268
140,0.140,0.268
141,0.141,0.270
142,0.142,0.268
143,0.143,0.268
144,0.144,0.267
145,0.145,0.268
146,0.146,0.268
147,0.147,0.268
148,0.148,0.269
149,0.149,0.269
150,0.150,0.269
151,0.151,0.268
152,0.152,0.270
153,0.153,0.269
154,0.154,0.269
155,0.155,0.268
156,0.156,0.269
157,0.157,0.268
158,0.158,0.270
159,0.159,0.268
160,0.160,0.271
161,0.161,0.268
162,0.162,0.270
163,0.163,0.270
164,0.164,0.270
165,0.165,0.269
166,0.166,0.268
167,0.167,0.269
168,0.168,0.270
169,0.169,0.270
170,0.170,0.268
171,0.171,0.269
172,0.172,0.268
173,0.173,0.268
174,0.174,0.270
175,0.175,0.267
176,0.176,0.267
177,0.177,0.269
178,0.178,0.269
179,0.179,0.269
180,0.180,0.267
181,0.181,0.269
182,0.182,0.268
183,0.183,0.270
