Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 5423
Start Time: 2/1/2023 2:25:06.994 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.247
1,0.001,0.245
2,0.002,0.247
3,0.003,0.246
4,0.004,0.247
5,0.005,0.248
6,0.006,0.246
7,0.007,0.247
8,0.008,0.246
9,0.009,0.246
10,0.010,0.246
11,0.011,0.245
12,0.012,0.247
13,0.013,0.245
14,0.014,0.247
15,0.015,0.245
16,0.016,0.248
17,0.017,0.246
18,0.018,0.244
19,0.019,0.247
20,0.020,0.245
21,0.021,0.246
22,0.022,0.247
23,0.023,0.244
24,0.024,0.245
25,0.025,0.246
26,0.026,0.247
27,0.027,0.246
28,0.028,0.247
29,0.029,0.246
30,0.030,0.245
31,0.031,0.245
32,0.032,0.248
33,0.033,0.247
34,0.034,0.246
35,0.035,0.245
36,0.036,0.245
37,0.037,0.245
38,0.038,0.245
39,0.039,0.248
40,0.040,0.247
41,0.041,0.246
42,0.042,0.246
43,0.043,0.245
44,0.044,0.245
45,0.045,0.247
46,0.046,0.245
47,0.047,0.246
48,0.048,0.246
49,0.049,0.245
50,0.050,0.247
51,0.051,0.246
52,0.052,0.245
53,0.053,0.244
54,0.054,0.245
55,0.055,0.245
56,0.056,0.245
57,0.057,0.244
58,0.058,0.247
59,0.059,0.245
60,0.060,0.244
61,0.061,0.247
62,0.062,0.246
63,0.063,0.246
64,0.064,0.245
65,0.065,0.245
66,0.066,0.247
67,0.067,0.247
68,0.068,0.244
69,0.069,0.246
70,0.070,0.246
71,0.071,0.247
72,0.072,0.246
73,0.073,0.246
74,0.074,0.247
75,0.075,0.245
76,0.076,0.247
77,0.077,0.246
78,0.078,0.245
79,0.079,0.247
80,0.080,0.246
81,0.081,0.247
82,0.082,0.246
83,0.083,0.246
84,0.084,0.247
85,0.085,0.246
86,0.086,0.246
87,0.087,0.246
88,0.088,0.246
89,0.089,0.245
90,0.090,0.246
91,0.091,0.247
92,0.092,0.245
93,0.093,0.245
94,0.094,0.245
95,0.095,0.247
96,0.096,0.245
97,0.097,0.247
98,0.098,0.246
99,0.099,0.245
100,0.100,0.247
101,0.101,0.244
102,0.102,0.247
103,0.103,0.246
104,0.104,0.246
105,0.105,0.246
106,0.106,0.244
107,0.107,0.247
108,0.108,0.245
109,0.109,0.246
110,0.110,0.246
111,0.111,0.245
112,0.112,0.244
113,0.113,0.246
114,0.114,0.246
115,0.115,0.246
116,0.116,0.244
117,0.117,0.246
118,0.118,0.246
119,0.119,0.245
120,0.120,0.247
121,0.121,0.244
122,0.122,0.246
123,0.123,0.245
124,0.124,0.246
125,0.125,0.246
126,0.126,0.245
127,0.127,0.245
128,0.128,0.246
129,0.129,0.246
130,0.130,0.246
131,0.131,0.245
132,0.132,0.246
133,0.133,0.245
134,0.134,0.247
135,0.135,0.247
136,0.136,0.246
137,0.137,0.246
138,0.138,0.246
139,0.139,0.246
140,0.140,0.247
141,0.141,0.248
142,0.142,0.245
143,0.143,0.246
144,0.144,0.247
145,0.145,0.247
146,0.146,0.246
147,0.147,0.246
148,0.148,0.245
149,0.149,0.246
150,0.150,0.244
151,0.151,0.247
152,0.152,0.245
153,0.153,0.246
154,0.154,0.246
155,0.155,0.246
156,0.156,0.248
157,0.157,0.246
158,0.158,0.246
159,0.159,0.248
160,0.160,0.246
161,0.161,0.246
162,0.162,0.247
163,0.163,0.246
164,0.164,0.246
165,0.165,0.246
166,0.166,0.245
167,0.167,0.247
168,0.168,0.247
169,0.169,0.246
170,0.170,0.246
171,0.171,0.246
172,0.172,0.245
173,0.173,0.246
174,0.174,0.246
175,0.175,0.246
176,0.176,0.247
177,0.177,0.246
178,0.178,0.246
179,0.179,0.246
180,0.180,0.246
181,0.181,0.245
182,0.182,0.246
183,0.183,0.246
184,0.184,0.246
185,0.185,0.246
186,0.186,0.244
187,0.187,0.245
188,0.188,0.245
189,0.189,0.248
190,0.190,0.246
191,0.191,0.245
192,0.192,0.245
193,0.193,0.245
194,0.194,0.246
195,0.195,0.246
196,0.196,0.245
197,0.197,0.245
198,0.198,0.246
199,0.199,0.246
200,0.200,0.246
201,0.201,0.245
202,0.202,0.246
203,0.203,0.245
204,0.204,0.245
205,0.205,0.246
206,0.206,0.245
207,0.207,0.247
208,0.208,0.246
209,0.209,0.245
210,0.210,0.246
211,0.211,0.246
212,0.212,0.248
213,0.213,0.245
214,0.214,0.246
215,0.215,0.247
216,0.216,0.246
217,0.217,0.244
218,0.218,0.244
219,0.219,0.246
220,0.220,0.245
221,0.221,0.246
222,0.222,0.246
223,0.223,0.247
224,0.224,0.247
225,0.225,0.245
226,0.226,0.246
227,0.227,0.247
228,0.228,0.246
229,0.229,0.246
230,0.230,0.246
231,0.231,0.245
232,0.232,0.246
233,0.233,0.246
234,0.234,0.245
235,0.235,0.246
236,0.236,0.245
237,0.237,0.245
238,0.238,0.246
239,0.239,0.246
240,0.240,0.244
241,0.241,0.245
242,0.242,0.246
243,0.243,0.247
244,0.244,0.245
245,0.245,0.246
246,0.246,0.247
247,0.247,0.246
248,0.248,0.245
249,0.249,0.245
250,0.250,0.246
251,0.251,0.245
252,0.252,0.247
253,0.253,0.245
254,0.254,0.245
255,0.255,0.246
256,0.256,0.247
257,0.257,0.244
258,0.258,0.245
259,0.259,0.246
260,0.260,0.246
261,0.261,0.245
262,0.262,0.245
263,0.263,0.246
264,0.264,0.245
265,0.265,0.245
266,0.266,0.245
267,0.267,0.245
268,0.268,0.246
269,0.269,0.247
270,0.270,0.245
271,0.271,0.246
272,0.272,0.246
273,0.273,0.245
274,0.274,0.245
275,0.275,0.246
276,0.276,0.246
277,0.277,0.246
278,0.278,0.245
279,0.279,0.246
280,0.280,0.246
281,0.281,0.245
282,0.282,0.246
283,0.283,0.247
284,0.284,0.244
285,0.285,0.246
286,0.286,0.245
287,0.287,0.243
288,0.288,0.244
289,0.289,0.245
290,0.290,0.245
291,0.291,0.245
292,0.292,0.244
293,0.293,0.245
294,0.294,0.245
295,0.295,0.245
296,0.296,0.245
297,0.297,0.245
298,0.298,0.245
299,0.299,0.246
300,0.300,0.246
301,0.301,0.246
302,0.302,0.246
303,0.303,0.246
304,0.304,0.246
305,0.305,0.244
306,0.306,0.246
307,0.307,0.245
308,0.308,0.246
309,0.309,0.246
310,0.310,0.245
311,0.311,0.245
312,0.312,0.246
313,0.313,0.246
314,0.314,0.246
315,0.315,0.246
316,0.316,0.245
317,0.317,0.246
318,0.318,0.246
319,0.319,0.246
320,0.320,0.245
321,0.321,0.246
322,0.322,0.246
323,0.323,0.246
324,0.324,0.247
325,0.325,0.246
326,0.326,0.246
327,0.327,0.246
328,0.328,0.247
329,0.329,0.246
330,0.330,0.245
331,0.331,0.246
332,0.332,0.245
333,0.333,0.246
334,0.334,0.246
335,0.335,0.247
336,0.336,0.246
337,0.337,0.245
338,0.338,0.246
339,0.339,0.245
340,0.340,0.246
341,0.341,0.246
342,0.342,0.245
343,0.343,0.245
344,0.344,0.245
345,0.345,0.244
346,0.346,0.246
347,0.347,0.246
348,0.348,0.244
349,0.349,0.247
350,0.350,0.246
351,0.351,0.246
352,0.352,0.246
353,0.353,0.246
354,0.354,0.247
355,0.355,0.246
356,0.356,0.246
357,0.357,0.247
358,0.358,0.246
359,0.359,0.245
360,0.360,0.246
361,0.361,0.246
362,0.362,0.246
363,0.363,0.246
364,0.364,0.246
365,0.365,0.246
366,0.366,0.244
367,0.367,0.247
368,0.368,0.245
369,0.369,0.246
370,0.370,0.247
371,0.371,0.246
372,0.372,0.245
373,0.373,0.246
374,0.374,0.245
375,0.375,0.246
376,0.376,0.246
377,0.377,0.246
378,0.378,0.245
379,0.379,0.246
380,0.380,0.245
381,0.381,0.246
382,0.382,0.244
383,0.383,0.245
384,0.384,0.246
385,0.385,0.244
386,0.386,0.244
387,0.387,0.245
388,0.388,0.246
389,0.389,0.247
390,0.390,0.246
391,0.391,0.246
392,0.392,0.246
393,0.393,0.246
394,0.394,0.247
395,0.395,0.245
396,0.396,0.244
397,0.397,0.244
398,0.398,0.247
399,0.399,0.247
400,0.400,0.247
401,0.401,0.245
402,0.402,0.246
403,0.403,0.246
404,0.404,0.246
405,0.405,0.246
406,0.406,0.246
407,0.407,0.246
408,0.408,0.245
409,0.409,0.245
410,0.410,0.245
411,0.411,0.248
412,0.412,0.246
413,0.413,0.245
414,0.414,0.246
415,0.415,0.245
416,0.416,0.247
417,0.417,0.247
418,0.418,0.245
419,0.419,0.246
420,0.420,0.246
421,0.421,0.245
422,0.422,0.245
423,0.423,0.245
424,0.424,0.245
425,0.425,0.247
426,0.426,0.244
427,0.427,0.246
428,0.428,0.245
429,0.429,0.246
430,0.430,0.245
431,0.431,0.246
432,0.432,0.246
433,0.433,0.246
434,0.434,0.245
435,0.435,0.247
436,0.436,0.245
437,0.437,0.246
438,0.438,0.246
439,0.439,0.247
440,0.440,0.247
441,0.441,0.245
442,0.442,0.246
443,0.443,0.245
444,0.444,0.246
445,0.445,0.245
446,0.446,0.245
447,0.447,0.245
448,0.448,0.246
449,0.449,0.247
450,0.450,0.245
451,0.451,0.245
452,0.452,0.247
453,0.453,0.244
454,0.454,0.247
455,0.455,0.244
456,0.456,0.245
457,0.457,0.246
458,0.458,0.246
459,0.459,0.247
460,0.460,0.245
461,0.461,0.245
462,0.462,0.246
463,0.463,0.246
464,0.464,0.246
465,0.465,0.245
466,0.466,0.247
467,0.467,0.245
468,0.468,0.247
469,0.469,0.246
470,0.470,0.246
471,0.471,0.245
472,0.472,0.245
473,0.473,0.246
474,0.474,0.247
475,0.475,0.246
476,0.476,0.246
477,0.477,0.246
478,0.478,0.244
479,0.479,0.245
480,0.480,0.244
481,0.481,0.245
482,0.482,0.245
483,0.483,0.245
484,0.484,0.247
485,0.485,0.245
486,0.486,0.246
487,0.487,0.245
488,0.488,0.246
489,0.489,0.245
490,0.490,0.245
491,0.491,0.245
492,0.492,0.244
493,0.493,0.247
494,0.494,0.248
495,0.495,0.246
496,0.496,0.246
497,0.497,0.246
498,0.498,0.246
499,0.499,0.246
500,0.500,0.247
501,0.501,0.247
502,0.502,0.244
503,0.503,0.246
504,0.504,0.247
505,0.505,0.247
506,0.506,0.246
507,0.507,0.246
