Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 10847
Start Time: 2/8/2023 2:44:03.413 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.830
1,0.001,0.830
2,0.002,0.831
3,0.003,0.828
4,0.004,0.828
5,0.005,0.829
6,0.006,0.829
7,0.007,0.829
8,0.008,0.829
9,0.009,0.829
10,0.010,0.830
11,0.011,0.829
12,0.012,0.827
13,0.013,0.830
14,0.014,0.830
15,0.015,0.827
16,0.016,0.827
17,0.017,0.829
18,0.018,0.829
19,0.019,0.829
20,0.020,0.829
21,0.021,0.831
22,0.022,0.829
23,0.023,0.828
24,0.024,0.830
25,0.025,0.831
26,0.026,0.830
27,0.027,0.830
28,0.028,0.831
29,0.029,0.832
30,0.030,0.831
31,0.031,0.829
32,0.032,0.830
33,0.033,0.832
34,0.034,0.832
35,0.035,0.831
36,0.036,0.832
37,0.037,0.830
38,0.038,0.830
39,0.039,0.830
40,0.040,0.829
41,0.041,0.828
42,0.042,0.830
43,0.043,0.830
44,0.044,0.829
45,0.045,0.829
46,0.046,0.830
47,0.047,0.828
48,0.048,0.830
49,0.049,0.829
50,0.050,0.828
51,0.051,0.830
52,0.052,0.828
53,0.053,0.829
54,0.054,0.828
55,0.055,0.829
56,0.056,0.827
57,0.057,0.829
58,0.058,0.829
59,0.059,0.829
60,0.060,0.828
61,0.061,0.828
62,0.062,0.828
63,0.063,0.830
64,0.064,0.829
65,0.065,0.828
66,0.066,0.828
67,0.067,0.829
68,0.068,0.829
69,0.069,0.828
70,0.070,0.829
71,0.071,0.828
72,0.072,0.828
73,0.073,0.829
74,0.074,0.828
75,0.075,0.829
76,0.076,0.830
77,0.077,0.829
78,0.078,0.829
79,0.079,0.831
80,0.080,0.830
81,0.081,0.829
82,0.082,0.831
83,0.083,0.829
84,0.084,0.828
85,0.085,0.829
86,0.086,0.827
87,0.087,0.829
88,0.088,0.826
89,0.089,0.829
90,0.090,0.827
91,0.091,0.828
92,0.092,0.828
93,0.093,0.829
94,0.094,0.829
95,0.095,0.831
96,0.096,0.833
97,0.097,0.837
98,0.098,0.842
99,0.099,0.845
100,0.100,0.849
101,0.101,0.852
102,0.102,0.857
103,0.103,0.860
104,0.104,0.868
105,0.105,0.870
106,0.106,0.875
107,0.107,0.880
108,0.108,0.886
109,0.109,0.888
110,0.110,0.894
111,0.111,0.898
112,0.112,0.902
113,0.113,0.905
114,0.114,0.907
115,0.115,0.910
116,0.116,0.912
117,0.117,0.914
118,0.118,0.917
119,0.119,0.917
120,0.120,0.919
121,0.121,0.920
122,0.122,0.918
123,0.123,0.920
124,0.124,0.918
125,0.125,0.918
126,0.126,0.915
127,0.127,0.914
128,0.128,0.917
129,0.129,0.915
130,0.130,0.913
131,0.131,0.912
132,0.132,0.911
133,0.133,0.910
134,0.134,0.908
135,0.135,0.906
136,0.136,0.906
137,0.137,0.905
138,0.138,0.905
139,0.139,0.904
140,0.140,0.902
141,0.141,0.904
142,0.142,0.900
143,0.143,0.899
144,0.144,0.898
145,0.145,0.898
146,0.146,0.897
147,0.147,0.895
148,0.148,0.894
149,0.149,0.895
150,0.150,0.894
151,0.151,0.894
152,0.152,0.892
153,0.153,0.891
154,0.154,0.890
155,0.155,0.889
156,0.156,0.889
157,0.157,0.891
158,0.158,0.892
159,0.159,0.891
160,0.160,0.891
161,0.161,0.893
162,0.162,0.891
163,0.163,0.891
164,0.164,0.890
165,0.165,0.893
166,0.166,0.892
167,0.167,0.893
168,0.168,0.894
169,0.169,0.895
170,0.170,0.897
171,0.171,0.900
172,0.172,0.902
173,0.173,0.903
174,0.174,0.906
175,0.175,0.908
176,0.176,0.913
177,0.177,0.915
178,0.178,0.919
179,0.179,0.924
180,0.180,0.928
181,0.181,0.932
182,0.182,0.938
183,0.183,0.941
184,0.184,0.947
185,0.185,0.952
186,0.186,0.957
187,0.187,0.964
188,0.188,0.970
189,0.189,0.977
190,0.190,0.981
191,0.191,0.986
192,0.192,0.993
193,0.193,0.999
194,0.194,1.004
195,0.195,1.011
196,0.196,1.017
197,0.197,1.023
198,0.198,1.027
199,0.199,1.034
200,0.200,1.037
201,0.201,1.043
202,0.202,1.046
203,0.203,1.050
204,0.204,1.057
205,0.205,1.057
206,0.206,1.060
207,0.207,1.065
208,0.208,1.066
209,0.209,1.070
210,0.210,1.070
211,0.211,1.072
212,0.212,1.076
213,0.213,1.075
214,0.214,1.075
215,0.215,1.075
216,0.216,1.074
217,0.217,1.074
218,0.218,1.073
219,0.219,1.074
220,0.220,1.072
221,0.221,1.071
222,0.222,1.072
223,0.223,1.071
224,0.224,1.072
225,0.225,1.072
226,0.226,1.071
227,0.227,1.070
228,0.228,1.071
229,0.229,1.070
230,0.230,1.071
231,0.231,1.069
232,0.232,1.072
233,0.233,1.071
234,0.234,1.071
235,0.235,1.074
236,0.236,1.074
237,0.237,1.075
238,0.238,1.076
239,0.239,1.079
240,0.240,1.081
241,0.241,1.083
242,0.242,1.087
243,0.243,1.089
244,0.244,1.091
245,0.245,1.094
246,0.246,1.098
247,0.247,1.102
248,0.248,1.104
249,0.249,1.108
250,0.250,1.114
251,0.251,1.118
252,0.252,1.124
253,0.253,1.126
254,0.254,1.132
255,0.255,1.140
256,0.256,1.145
257,0.257,1.149
258,0.258,1.158
259,0.259,1.164
260,0.260,1.171
261,0.261,1.176
262,0.262,1.185
263,0.263,1.189
264,0.264,1.196
265,0.265,1.204
266,0.266,1.208
267,0.267,1.217
268,0.268,1.221
269,0.269,1.225
270,0.270,1.233
271,0.271,1.238
272,0.272,1.244
273,0.273,1.250
274,0.274,1.254
275,0.275,1.258
276,0.276,1.263
277,0.277,1.264
278,0.278,1.269
279,0.279,1.273
280,0.280,1.276
281,0.281,1.281
282,0.282,1.282
283,0.283,1.285
284,0.284,1.288
285,0.285,1.288
286,0.286,1.292
287,0.287,1.293
288,0.288,1.297
289,0.289,1.298
290,0.290,1.300
