Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 3167
Start Time: 2/1/2023 2:53:37.373 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,1.169
1,0.001,1.169
2,0.002,1.169
3,0.003,1.169
4,0.004,1.168
5,0.005,1.169
6,0.006,1.169
7,0.007,1.167
8,0.008,1.167
9,0.009,1.168
10,0.010,1.167
11,0.011,1.168
12,0.012,1.169
13,0.013,1.169
14,0.014,1.169
15,0.015,1.169
16,0.016,1.169
17,0.017,1.170
18,0.018,1.169
19,0.019,1.169
20,0.020,1.170
21,0.021,1.169
22,0.022,1.170
23,0.023,1.170
24,0.024,1.168
25,0.025,1.170
26,0.026,1.170
27,0.027,1.170
28,0.028,1.170
29,0.029,1.171
30,0.030,1.169
31,0.031,1.170
32,0.032,1.170
33,0.033,1.169
34,0.034,1.169
35,0.035,1.169
36,0.036,1.169
37,0.037,1.169
38,0.038,1.169
39,0.039,1.170
40,0.040,1.169
41,0.041,1.169
42,0.042,1.170
43,0.043,1.169
44,0.044,1.169
45,0.045,1.167
46,0.046,1.169
47,0.047,1.167
48,0.048,1.169
49,0.049,1.168
50,0.050,1.168
51,0.051,1.168
52,0.052,1.168
53,0.053,1.167
54,0.054,1.168
55,0.055,1.168
56,0.056,1.168
57,0.057,1.170
58,0.058,1.168
59,0.059,1.168
60,0.060,1.168
61,0.061,1.167
62,0.062,1.170
63,0.063,1.170
64,0.064,1.168
65,0.065,1.167
66,0.066,1.170
67,0.067,1.170
68,0.068,1.169
69,0.069,1.168
70,0.070,1.167
71,0.071,1.168
72,0.072,1.170
73,0.073,1.170
74,0.074,1.167
75,0.075,1.170
76,0.076,1.170
77,0.077,1.168
78,0.078,1.170
79,0.079,1.168
80,0.080,1.170
81,0.081,1.169
82,0.082,1.169
83,0.083,1.169
84,0.084,1.169
85,0.085,1.168
86,0.086,1.169
87,0.087,1.168
88,0.088,1.169
89,0.089,1.169
90,0.090,1.169
91,0.091,1.168
92,0.092,1.167
93,0.093,1.168
94,0.094,1.168
95,0.095,1.169
96,0.096,1.169
97,0.097,1.171
98,0.098,1.170
99,0.099,1.168
100,0.100,1.168
101,0.101,1.170
102,0.102,1.168
103,0.103,1.170
104,0.104,1.168
105,0.105,1.168
106,0.106,1.169
107,0.107,1.167
108,0.108,1.168
109,0.109,1.168
110,0.110,1.169
111,0.111,1.168
112,0.112,1.168
113,0.113,1.168
114,0.114,1.170
115,0.115,1.168
116,0.116,1.170
117,0.117,1.169
118,0.118,1.170
119,0.119,1.169
120,0.120,1.170
121,0.121,1.169
122,0.122,1.170
123,0.123,1.169
124,0.124,1.171
125,0.125,1.169
126,0.126,1.169
127,0.127,1.170
128,0.128,1.171
129,0.129,1.169
130,0.130,1.171
131,0.131,1.171
132,0.132,1.170
133,0.133,1.169
134,0.134,1.170
135,0.135,1.170
136,0.136,1.169
137,0.137,1.171
138,0.138,1.172
139,0.139,1.170
140,0.140,1.171
141,0.141,1.170
142,0.142,1.170
143,0.143,1.168
144,0.144,1.169
145,0.145,1.170
146,0.146,1.169
147,0.147,1.171
148,0.148,1.170
149,0.149,1.171
150,0.150,1.167
151,0.151,1.171
152,0.152,1.169
153,0.153,1.169
154,0.154,1.169
155,0.155,1.169
156,0.156,1.167
157,0.157,1.168
158,0.158,1.169
159,0.159,1.169
160,0.160,1.169
161,0.161,1.169
162,0.162,1.170
163,0.163,1.169
164,0.164,1.169
165,0.165,1.169
166,0.166,1.168
167,0.167,1.168
168,0.168,1.169
169,0.169,1.168
170,0.170,1.169
171,0.171,1.168
172,0.172,1.167
173,0.173,1.168
174,0.174,1.168
175,0.175,1.168
176,0.176,1.169
177,0.177,1.167
178,0.178,1.167
179,0.179,1.166
180,0.180,1.167
181,0.181,1.170
182,0.182,1.167
183,0.183,1.169
184,0.184,1.168
185,0.185,1.169
186,0.186,1.170
187,0.187,1.169
188,0.188,1.170
189,0.189,1.169
190,0.190,1.168
191,0.191,1.169
192,0.192,1.168
193,0.193,1.170
194,0.194,1.168
195,0.195,1.170
196,0.196,1.170
197,0.197,1.171
198,0.198,1.168
199,0.199,1.169
200,0.200,1.169
201,0.201,1.169
202,0.202,1.169
203,0.203,1.170
204,0.204,1.169
205,0.205,1.169
206,0.206,1.170
207,0.207,1.169
208,0.208,1.170
209,0.209,1.170
210,0.210,1.169
211,0.211,1.170
212,0.212,1.170
213,0.213,1.169
214,0.214,1.171
215,0.215,1.170
216,0.216,1.170
217,0.217,1.170
218,0.218,1.170
219,0.219,1.168
220,0.220,1.170
221,0.221,1.169
222,0.222,1.171
223,0.223,1.169
224,0.224,1.170
225,0.225,1.170
226,0.226,1.170
227,0.227,1.169
228,0.228,1.170
229,0.229,1.169
230,0.230,1.169
231,0.231,1.171
232,0.232,1.169
233,0.233,1.171
234,0.234,1.169
235,0.235,1.171
236,0.236,1.169
237,0.237,1.170
238,0.238,1.170
239,0.239,1.170
240,0.240,1.169
241,0.241,1.169
242,0.242,1.170
243,0.243,1.169
244,0.244,1.169
245,0.245,1.170
246,0.246,1.170
247,0.247,1.168
248,0.248,1.169
249,0.249,1.169
250,0.250,1.170
251,0.251,1.170
252,0.252,1.169
253,0.253,1.168
254,0.254,1.168
255,0.255,1.169
256,0.256,1.170
257,0.257,1.168
258,0.258,1.169
259,0.259,1.170
260,0.260,1.169
261,0.261,1.169
262,0.262,1.169
263,0.263,1.170
264,0.264,1.168
265,0.265,1.168
266,0.266,1.168
267,0.267,1.166
268,0.268,1.169
269,0.269,1.168
270,0.270,1.168
271,0.271,1.168
272,0.272,1.167
