Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 4095
Start Time: 2/1/2023 2:41:31.956 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.250
1,0.001,0.250
2,0.002,0.251
3,0.003,0.251
4,0.004,0.249
5,0.005,0.249
6,0.006,0.250
7,0.007,0.249
8,0.008,0.250
9,0.009,0.250
10,0.010,0.249
11,0.011,0.250
12,0.012,0.250
13,0.013,0.249
14,0.014,0.248
15,0.015,0.249
16,0.016,0.250
17,0.017,0.250
18,0.018,0.252
19,0.019,0.251
20,0.020,0.250
21,0.021,0.250
22,0.022,0.250
23,0.023,0.249
24,0.024,0.249
25,0.025,0.249
26,0.026,0.249
27,0.027,0.250
28,0.028,0.251
29,0.029,0.249
30,0.030,0.251
31,0.031,0.249
32,0.032,0.250
33,0.033,0.249
34,0.034,0.249
35,0.035,0.251
36,0.036,0.249
37,0.037,0.250
38,0.038,0.250
39,0.039,0.251
40,0.040,0.250
41,0.041,0.250
42,0.042,0.250
43,0.043,0.250
44,0.044,0.249
45,0.045,0.250
46,0.046,0.249
47,0.047,0.249
48,0.048,0.250
49,0.049,0.249
50,0.050,0.248
51,0.051,0.250
52,0.052,0.249
53,0.053,0.249
54,0.054,0.251
55,0.055,0.249
56,0.056,0.249
57,0.057,0.248
58,0.058,0.250
59,0.059,0.250
60,0.060,0.249
61,0.061,0.249
62,0.062,0.250
63,0.063,0.249
64,0.064,0.248
65,0.065,0.249
66,0.066,0.251
67,0.067,0.249
68,0.068,0.249
69,0.069,0.250
70,0.070,0.250
71,0.071,0.249
72,0.072,0.252
73,0.073,0.249
74,0.074,0.249
75,0.075,0.249
76,0.076,0.251
77,0.077,0.249
78,0.078,0.249
79,0.079,0.248
80,0.080,0.250
81,0.081,0.250
82,0.082,0.249
83,0.083,0.250
84,0.084,0.249
85,0.085,0.250
86,0.086,0.249
87,0.087,0.249
88,0.088,0.250
89,0.089,0.250
90,0.090,0.251
91,0.091,0.248
92,0.092,0.249
93,0.093,0.249
94,0.094,0.249
95,0.095,0.249
96,0.096,0.250
97,0.097,0.249
98,0.098,0.249
99,0.099,0.249
100,0.100,0.250
101,0.101,0.250
102,0.102,0.249
103,0.103,0.250
104,0.104,0.251
105,0.105,0.250
106,0.106,0.249
107,0.107,0.249
108,0.108,0.250
109,0.109,0.250
110,0.110,0.248
111,0.111,0.249
112,0.112,0.249
113,0.113,0.248
114,0.114,0.250
115,0.115,0.251
116,0.116,0.250
117,0.117,0.250
118,0.118,0.249
119,0.119,0.248
120,0.120,0.249
121,0.121,0.250
122,0.122,0.250
123,0.123,0.248
124,0.124,0.247
125,0.125,0.249
126,0.126,0.248
127,0.127,0.248
128,0.128,0.248
129,0.129,0.248
130,0.130,0.248
131,0.131,0.250
132,0.132,0.249
133,0.133,0.249
134,0.134,0.250
135,0.135,0.249
136,0.136,0.249
137,0.137,0.249
138,0.138,0.249
139,0.139,0.250
140,0.140,0.249
141,0.141,0.250
142,0.142,0.249
143,0.143,0.250
144,0.144,0.250
145,0.145,0.249
146,0.146,0.248
147,0.147,0.249
148,0.148,0.250
149,0.149,0.247
150,0.150,0.250
151,0.151,0.248
152,0.152,0.249
153,0.153,0.250
154,0.154,0.251
155,0.155,0.249
156,0.156,0.249
157,0.157,0.249
158,0.158,0.252
159,0.159,0.249
160,0.160,0.247
161,0.161,0.251
162,0.162,0.250
163,0.163,0.249
164,0.164,0.250
165,0.165,0.249
166,0.166,0.250
167,0.167,0.249
168,0.168,0.249
169,0.169,0.248
170,0.170,0.249
171,0.171,0.249
172,0.172,0.249
173,0.173,0.250
174,0.174,0.247
175,0.175,0.249
176,0.176,0.250
177,0.177,0.250
178,0.178,0.249
179,0.179,0.248
180,0.180,0.250
181,0.181,0.250
182,0.182,0.250
183,0.183,0.250
184,0.184,0.250
185,0.185,0.249
186,0.186,0.250
187,0.187,0.250
188,0.188,0.249
189,0.189,0.249
190,0.190,0.249
191,0.191,0.249
192,0.192,0.249
193,0.193,0.250
194,0.194,0.249
195,0.195,0.250
196,0.196,0.248
197,0.197,0.249
198,0.198,0.248
199,0.199,0.248
200,0.200,0.249
201,0.201,0.250
202,0.202,0.250
203,0.203,0.251
204,0.204,0.249
205,0.205,0.250
206,0.206,0.249
207,0.207,0.250
208,0.208,0.250
209,0.209,0.250
210,0.210,0.250
211,0.211,0.249
212,0.212,0.250
213,0.213,0.249
214,0.214,0.248
215,0.215,0.250
216,0.216,0.250
217,0.217,0.248
218,0.218,0.251
219,0.219,0.249
220,0.220,0.250
221,0.221,0.250
222,0.222,0.249
223,0.223,0.250
224,0.224,0.249
225,0.225,0.251
226,0.226,0.248
227,0.227,0.249
228,0.228,0.249
229,0.229,0.249
230,0.230,0.250
231,0.231,0.249
232,0.232,0.248
233,0.233,0.249
234,0.234,0.249
235,0.235,0.250
236,0.236,0.249
237,0.237,0.250
238,0.238,0.249
239,0.239,0.250
240,0.240,0.250
241,0.241,0.249
242,0.242,0.250
243,0.243,0.249
244,0.244,0.250
245,0.245,0.249
246,0.246,0.249
247,0.247,0.250
248,0.248,0.250
249,0.249,0.249
250,0.250,0.250
251,0.251,0.248
252,0.252,0.249
253,0.253,0.251
254,0.254,0.250
255,0.255,0.249
256,0.256,0.250
257,0.257,0.249
258,0.258,0.249
259,0.259,0.249
260,0.260,0.249
261,0.261,0.249
262,0.262,0.249
263,0.263,0.249
264,0.264,0.250
265,0.265,0.249
266,0.266,0.249
267,0.267,0.249
268,0.268,0.249
269,0.269,0.249
270,0.270,0.249
271,0.271,0.248
272,0.272,0.250
273,0.273,0.248
274,0.274,0.249
275,0.275,0.250
276,0.276,0.249
277,0.277,0.248
278,0.278,0.249
279,0.279,0.249
280,0.280,0.249
281,0.281,0.249
282,0.282,0.248
283,0.283,0.249
284,0.284,0.250
285,0.285,0.248
286,0.286,0.249
